"Município";"Sim";"Não";"Total"
"351070 Cardoso";3;1;4
"351080 Casa Branca";22;5;27
"351090 Cássia dos Coqueiros";1;-;1
"351100 Castilho";3;2;5
"351110 Catanduva";29;58;87
"351120 Catiguá";1;-;1
"351130 Cedral";1;1;2
"351140 Cerqueira César";12;5;17
"351150 Cerquilho";1;26;27
"351160 Cesário Lange";3;1;4
"351170 Charqueada";1;4;5
"355720 Chavantes";5;-;5
"351190 Clementina";2;-;2
"351200 Colina";3;4;7
"351210 Colômbia";4;-;4
"351220 Conchal";8;-;8
"351230 Conchas";1;1;2
"351240 Cordeirópolis";9;4;13
"351260 Coronel Macedo";1;-;1
"351270 Corumbataí";1;-;1
"351280 Cosmópolis";13;9;22
"351290 Cosmorama";1;-;1
"351300 Cotia";21;23;44
"351310 Cravinhos";5;4;9
"351320 Cristais Paulista";4;-;4
"351330 Cruzália";1;-;1
"351340 Cruzeiro";18;37;55
"351350 Cubatão";26;21;47
"351360 Cunha";3;3;6
"351370 Descalvado";12;22;34
"351380 Diadema";50;9;59
"351385 Dirce Reis";1;-;1
"351390 Divinolândia";6;2;8
"351400 Dobrada";1;-;1
"351410 Dois Córregos";3;5;8
"351420 Dolcinópolis";2;-;2
"351430 Dourado";2;1;3
"351440 Dracena";13;43;56
"351450 Duartina";6;1;7
"351460 Dumont";1;-;1
"351470 Echaporã";1;-;1
"351480 Eldorado";1;-;1
"351490 Elias Fausto";5;-;5
"351492 Elisiário";1;-;1
"351495 Embaúba";2;-;2
"351500 Embu das Artes";21;23;44
"351510 Embu-Guaçu";7;7;14
"351512 Emilianópolis";1;-;1
"351515 Engenheiro Coelho";4;12;16
"351518 Espírito Santo do Pinhal";14;12;26
"351519 Espírito Santo do Turvo";3;-;3
"355730 Estiva Gerbi";1;1;2
"351520 Estrela d'Oeste";6;1;7
"351530 Estrela do Norte";1;-;1
"351535 Euclides da Cunha Paulista";2;-;2
"351540 Fartura";4;-;4
"351560 Fernando Prestes";1;-;1
"351550 Fernandópolis";16;71;87
"351565 Fernão";2;-;2
"351570 Ferraz de Vasconcelos";24;4;28
"351590 Floreal";2;-;2
"351600 Flórida Paulista";3;1;4
"351610 Florínia";1;-;1
"351620 Franca";70;53;123
"351630 Francisco Morato";13;6;19
"351640 Franco da Rocha";63;8;71
"351650 Gabriel Monteiro";1;-;1
"351660 Gália";4;-;4
"351670 Garça";14;4;18
"351680 Gastão Vidigal";1;-;1
"351685 Gavião Peixoto";4;-;4
"351690 General Salgado";4;2;6
"351700 Getulina";2;1;3
"351710 Glicério";1;-;1
"351720 Guaiçara";1;-;1
"351730 Guaimbê";1;-;1
"351740 Guaíra";7;4;11
"351750 Guapiaçu";7;-;7
"351760 Guapiara";1;1;2
"351770 Guará";7;7;14
"351780 Guaraçaí";1;-;1
"351790 Guaraci";3;-;3
"351800 Guarani d'Oeste";1;-;1
"351810 Guarantã";2;-;2
"351820 Guararapes";6;7;13
"351830 Guararema";7;1;8
"351840 Guaratinguetá";13;52;65
"351850 Guareí";5;-;5
"351860 Guariba";7;5;12
"351870 Guarujá";41;33;74
"351880 Guarulhos";169;119;288
"351885 Guatapará";2;-;2
"351890 Guzolândia";2;-;2
"351900 Herculândia";4;-;4
"351905 Holambra";1;1;2
"351907 Hortolândia";26;17;43
"351910 Iacanga";3;2;5
"351920 Iacri";1;-;1
"351925 Iaras";17;-;17
"351930 Ibaté";3;3;6
"351940 Ibirá";2;-;2
"351950 Ibirarema";1;-;1
"351960 Ibitinga";6;7;13
"351970 Ibiúna";8;9;17
"351980 Icém";1;1;2
"351990 Iepê";2;-;2
"352000 Igaraçu do Tietê";3;-;3
"352010 Igarapava";7;6;13
"352020 Igaratá";3;-;3
"352030 Iguape";3;1;4
"352042 Ilha Comprida";1;-;1
"352044 Ilha Solteira";14;17;31
"352040 Ilhabela";26;1;27
"352050 Indaiatuba";36;57;93
"352060 Indiana";2;-;2
"352070 Indiaporã";2;-;2
"352080 Inúbia Paulista";1;-;1
"352090 Ipaussu";3;3;6
"352100 Iperó";7;2;9
"352110 Ipeúna";3;-;3
"352115 Ipiguá";2;-;2
"352130 Ipuã";6;4;10
"352140 Iracemápolis";5;-;5
"352150 Irapuã";1;-;1
"352160 Irapuru";5;3;8
"352170 Itaberá";2;-;2
"352180 Itaí";6;-;6
"352190 Itajobi";3;-;3
"352200 Itaju";1;1;2
"352210 Itanhaém";22;6;28
"352215 Itaóca";1;-;1
"352220 Itapecerica da Serra";12;30;42
"352230 Itapetininga";34;59;93
"352240 Itapeva";17;36;53
"352250 Itapevi";19;6;25
"352260 Itapira";19;20;39
"352265 Itapirapuã Paulista";2;-;2
"352270 Itápolis";14;4;18
"352280 Itaporanga";3;-;3
"352290 Itapuí";3;-;3
"352300 Itapura";2;-;2
"352310 Itaquaquecetuba";18;11;29
"352320 Itararé";4;2;6
"352330 Itariri";1;1;2
"352340 Itatiba";22;24;46
"352350 Itatinga";3;2;5
"352360 Itirapina";7;-;7
"352370 Itirapuã";2;-;2
"352380 Itobi";2;-;2
"352390 Itu";27;52;79
"352400 Itupeva";17;4;21
"352410 Ituverava";17;14;31
"352420 Jaborandi";1;-;1
"352430 Jaboticabal";13;17;30
"352440 Jacareí";43;92;135
"352450 Jaci";11;1;12
"352460 Jacupiranga";1;2;3
"352470 Jaguariúna";15;22;37
"352480 Jales";14;32;46
"352490 Jambeiro";-;1;1
"352500 Jandira";10;7;17
"352510 Jardinópolis";12;3;15
"352520 Jarinu";4;2;6
"352530 Jaú";33;44;77
"352540 Jeriquara";1;-;1
"352550 Joanópolis";2;1;3
"352560 João Ramalho";1;-;1
"352570 José Bonifácio";7;6;13
"352580 Júlio Mesquita";1;1;2
"352590 Jundiaí";95;235;330
"352600 Junqueirópolis";5;5;10
"352610 Juquiá";2;1;3
"352620 Juquitiba";5;-;5
"352630 Lagoinha";-;1;1
"352640 Laranjal Paulista";5;7;12
"352650 Lavínia";4;-;4
"352660 Lavrinhas";1;-;1
"352670 Leme";26;20;46
"352680 Lençóis Paulista";13;24;37
"352690 Limeira";56;91;147
"352700 Lindóia";1;1;2
"352710 Lins";21;55;76
"352720 Lorena";16;32;48
"352725 Lourdes";2;-;2
"352730 Louveira";14;5;19
"352740 Lucélia";5;5;10
"352760 Luís Antônio";5;-;5
"352770 Luiziânia";1;-;1
"352780 Lupércio";1;-;1
"352790 Lutécia";1;-;1
"352800 Macatuba";5;2;7
"352810 Macaubal";4;-;4
"352820 Macedônia";1;-;1
"352830 Magda";2;-;2
"352840 Mairinque";4;4;8
"352850 Mairiporã";19;16;35
"352860 Manduri";1;-;1
"352870 Marabá Paulista";2;-;2
"352880 Maracaí";4;-;4
"352885 Marapoama";1;-;1
"352890 Mariápolis";1;-;1
"352900 Marília";109;127;236
"352910 Marinópolis";1;-;1
"352920 Martinópolis";15;2;17
"352930 Matão";25;21;46
"352940 Mauá";44;48;92
"352950 Mendonça";1;1;2
"352960 Meridiano";1;-;1
"352965 Mesópolis";2;-;2
"352970 Miguelópolis";4;1;5
"352980 Mineiros do Tietê";4;1;5
"353000 Mira Estrela";3;-;3
"352990 Miracatu";4;-;4
"353010 Mirandópolis";6;5;11
"353020 Mirante do Paranapanema";3;1;4
"353030 Mirassol";22;21;43
"353040 Mirassolândia";1;-;1
"353050 Mococa";18;40;58
"353060 Mogi das Cruzes";63;131;194
"353070 Mogi Guaçu";14;23;37
"353080 Mogi Mirim";39;10;49
"353090 Mombuca";1;-;1
"353100 Monções";3;-;3
"353110 Mongaguá";5;5;10
"353120 Monte Alegre do Sul";2;-;2
"353130 Monte Alto";8;40;48
"353140 Monte Aprazível";3;3;6
"353150 Monte Azul Paulista";3;6;9
"353160 Monte Castelo";1;-;1
"353180 Monte Mor";7;1;8
"353170 Monteiro Lobato";1;-;1
"353190 Morro Agudo";8;9;17
"353200 Morungaba";3;1;4
"353205 Motuca";3;-;3
"353210 Murutinga do Sul";-;1;1
"353215 Nantes";1;-;1
"353220 Narandiba";2;-;2
"353230 Natividade da Serra";1;-;1
"353240 Nazaré Paulista";3;1;4
"353250 Neves Paulista";2;-;2
"353260 Nhandeara";4;2;6
"353270 Nipoã";1;-;1
"353280 Nova Aliança";1;-;1
"353282 Nova Campina";1;-;1
"353284 Nova Canaã Paulista";2;-;2
"353290 Nova Europa";2;-;2
"353300 Nova Granada";4;4;8
"353310 Nova Guataporanga";2;-;2
"353320 Nova Independência";1;-;1
"353330 Nova Luzitânia";2;-;2
"353340 Nova Odessa";5;11;16
"353325 Novais";2;-;2
"353350 Novo Horizonte";8;11;19
"353360 Nuporanga";2;1;3
"353370 Ocauçu";1;-;1
"353380 Óleo";1;-;1
"353390 Olímpia";14;16;30
"353400 Onda Verde";2;-;2
"353410 Oriente";-;4;4
"353420 Orindiúva";4;-;4
"353430 Orlândia";7;23;30
"353440 Osasco";64;239;303
"353450 Oscar Bressane";2;-;2
"353460 Osvaldo Cruz";6;5;11
"353470 Ourinhos";36;60;96
"353480 Ouro Verde";-;1;1
"353475 Ouroeste";4;3;7
"353490 Pacaembu";6;2;8
"353500 Palestina";1;4;5
"353510 Palmares Paulista";1;2;3
"353520 Palmeira d'Oeste";3;1;4
"353530 Palmital";7;5;12
"353540 Panorama";3;1;4
"353550 Paraguaçu Paulista";11;17;28
"353560 Paraibuna";1;-;1
"353570 Paraíso";1;-;1
"353580 Paranapanema";5;1;6
"353590 Paranapuã";2;-;2
"353600 Parapuã";3;-;3
"353610 Pardinho";1;-;1
"353620 Pariquera-Açu";11;2;13
"353625 Parisi";2;-;2
"353630 Patrocínio Paulista";3;-;3
"353640 Paulicéia";1;-;1
"353650 Paulínia";27;47;74
"353660 Paulo de Faria";2;-;2
"353670 Pederneiras";11;5;16
"353680 Pedra Bela";1;-;1
"353690 Pedranópolis";1;-;1
"353700 Pedregulho";4;1;5
"353710 Pedreira";9;15;24
"353715 Pedrinhas Paulista";1;-;1
"353720 Pedro de Toledo";3;-;3
"353730 Penápolis";12;19;31
"353740 Pereira Barreto";5;10;15
"353750 Pereiras";2;-;2
"353760 Peruíbe";5;9;14
"353770 Piacatu";2;-;2
"353780 Piedade";2;7;9
"353790 Pilar do Sul";5;-;5
"353800 Pindamonhangaba";15;52;67
"353810 Pindorama";2;-;2
"353820 Pinhalzinho";2;1;3
"353830 Piquerobi";2;-;2
"353850 Piquete";1;-;1
"353860 Piracaia";8;1;9
"353870 Piracicaba";42;151;193
"353880 Piraju";4;10;14
"353890 Pirajuí";13;6;19
"353900 Pirangi";3;1;4
"353910 Pirapora do Bom Jesus";2;-;2
"353920 Pirapozinho";9;5;14
"353930 Pirassununga";26;25;51
"353940 Piratininga";2;-;2
"353950 Pitangueiras";9;9;18
"353960 Planalto";1;-;1
"353970 Platina";1;-;1
"353980 Poá";12;15;27
"353990 Poloni";2;1;3
"354000 Pompéia";11;23;34
"354010 Pongaí";1;-;1
"354020 Pontal";7;11;18
"354025 Pontalinda";2;-;2
"354030 Pontes Gestal";1;-;1
"354040 Populina";1;-;1
"354050 Porangaba";1;-;1
"354060 Porto Feliz";5;17;22
"354070 Porto Ferreira";13;20;33
"354075 Potim";4;-;4
"354080 Potirendaba";2;6;8
"354085 Pracinha";2;-;2
"354090 Pradópolis";1;3;4
"354100 Praia Grande";32;51;83
"354105 Pratânia";2;-;2
"354110 Presidente Alves";1;-;1
"354120 Presidente Bernardes";11;2;13
"354130 Presidente Epitácio";5;6;11
"354140 Presidente Prudente";62;160;222
"354150 Presidente Venceslau";10;8;18
"354160 Promissão";5;7;12
"354170 Quatá";4;4;8
"354180 Queiroz";3;-;3
"354190 Queluz";2;-;2
"354200 Quintana";1;5;6
"354210 Rafard";2;-;2
"354220 Rancharia";7;2;9
"354230 Redenção da Serra";2;-;2
"354240 Regente Feijó";2;5;7
"354250 Reginópolis";2;-;2
"354260 Registro";12;7;19
"354270 Restinga";3;-;3
"354280 Ribeira";1;-;1
"354290 Ribeirão Bonito";1;2;3
"354310 Ribeirão Corrente";1;-;1
"354320 Ribeirão do Sul";1;-;1
"354323 Ribeirão dos Índios";1;-;1
"354330 Ribeirão Pires";26;33;59
"354340 Ribeirão Preto";169;360;529
"354360 Rifaina";2;2;4
"354370 Rincão";2;-;2
"354380 Rinópolis";2;-;2
"354390 Rio Claro";43;73;116
"354400 Rio das Pedras";6;3;9
"354410 Rio Grande da Serra";12;-;12
"354420 Riolândia";4;-;4
"354350 Riversul";1;-;1
"354425 Rosana";3;4;7
"354430 Roseira";4;1;5
"354440 Rubiácea";1;-;1
"354450 Rubinéia";2;-;2
"354460 Sabino";1;-;1
"354480 Sales";2;-;2
"354490 Sales Oliveira";1;5;6
"354500 Salesópolis";2;-;2
"354510 Salmourão";1;-;1
"354515 Saltinho";1;-;1
"354520 Salto";14;33;47
"354530 Salto de Pirapora";7;3;10
"354540 Salto Grande";1;1;2
"354550 Sandovalina";1;-;1
"354560 Santa Adélia";3;-;3
"354570 Santa Albertina";1;-;1
"354580 Santa Bárbara d'Oeste";17;36;53
"354600 Santa Branca";3;3;6
"354610 Santa Clara d'Oeste";2;1;3
"354620 Santa Cruz da Conceição";1;-;1
"354630 Santa Cruz das Palmeiras";5;8;13
"354640 Santa Cruz do Rio Pardo";8;12;20
"354650 Santa Ernestina";1;-;1
"354660 Santa Fé do Sul";14;8;22
"354670 Santa Gertrudes";6;2;8
"354680 Santa Isabel";7;3;10
"354690 Santa Lúcia";1;-;1
"354710 Santa Mercedes";1;-;1
"354740 Santa Rita d'Oeste";2;-;2
"354750 Santa Rita do Passa Quatro";11;3;14
"354760 Santa Rosa de Viterbo";4;6;10
"354765 Santa Salete";2;-;2
"354720 Santana da Ponte Pensa";1;-;1
"354730 Santana de Parnaíba";42;4;46
"354770 Santo Anastácio";3;6;9
"354780 Santo André";95;151;246
"354790 Santo Antônio da Alegria";3;-;3
"354800 Santo Antônio de Posse";8;1;9
"354805 Santo Antônio do Aracanguá";1;-;1
"354810 Santo Antônio do Jardim";1;-;1
"354820 Santo Antônio do Pinhal";1;-;1
"354830 Santo Expedito";1;-;1
"354840 Santópolis do Aguapeí";1;-;1
"354850 Santos";113;294;407
"354860 São Bento do Sapucaí";2;-;2
"354870 São Bernardo do Campo";111;259;370
"354880 São Caetano do Sul";54;30;84
"354890 São Carlos";51;56;107
"354900 São Francisco";2;-;2
"354910 São João da Boa Vista";31;72;103
"354920 São João das Duas Pontes";2;-;2
"354930 São João do Pau d'Alho";1;-;1
"354940 São Joaquim da Barra";8;24;32
"354950 São José da Bela Vista";1;2;3
"354960 São José do Barreiro";2;-;2
"354970 São José do Rio Pardo";14;18;32
"354980 São José do Rio Preto";189;157;346
"354990 São José dos Campos";74;222;296
"354995 São Lourenço da Serra";2;-;2
"355000 São Luís do Paraitinga";1;-;1
"355010 São Manuel";9;13;22
"355020 São Miguel Arcanjo";5;2;7
"355030 São Paulo";2602;1458;4060
"355040 São Pedro";6;7;13
"355050 São Pedro do Turvo";2;-;2
"355060 São Roque";13;36;49
"355070 São Sebastião";19;8;27
"355080 São Sebastião da Grama";4;3;7
"355090 São Simão";6;-;6
"355100 São Vicente";42;33;75
"355110 Sarapuí";2;-;2
"355130 Sebastianópolis do Sul";2;-;2
"355140 Serra Azul";6;-;6
"355160 Serra Negra";6;4;10
"355150 Serrana";12;6;18
"355170 Sertãozinho";12;54;66
"355180 Sete Barras";2;-;2
"355190 Severínia";2;1;3
"355200 Silveiras";2;-;2
"355210 Socorro";10;6;16
"355220 Sorocaba";81;260;341
"355230 Sud Mennucci";2;1;3
"355240 Sumaré";33;26;59
"355255 Suzanápolis";3;-;3
"355250 Suzano";48;40;88
"355260 Tabapuã";3;1;4
"355270 Tabatinga";3;1;4
"355280 Taboão da Serra";42;13;55
"355290 Taciba";2;-;2
"355300 Taguaí";1;-;1
"355310 Taiaçu";1;1;2
"355320 Taiúva";2;-;2
"355330 Tambaú";4;11;15
"355340 Tanabi";6;2;8
"355350 Tapiraí";1;-;1
"355360 Tapiratiba";2;1;3
"355365 Taquaral";1;-;1
"355370 Taquaritinga";18;11;29
"355380 Taquarituba";10;-;10
"355385 Taquarivaí";2;-;2
"355390 Tarabai";2;-;2
"355395 Tarumã";5;1;6
"355400 Tatuí";17;42;59
"355410 Taubaté";57;183;240
"355430 Teodoro Sampaio";4;1;5
"355440 Terra Roxa";1;-;1
"355450 Tietê";2;15;17
"355460 Timburi";1;-;1
"355465 Torre de Pedra";1;-;1
"355470 Torrinha";1;1;2
"355475 Trabiju";1;-;1
"355480 Tremembé";16;5;21
"355490 Três Fronteiras";2;-;2
"355495 Tuiuti";2;-;2
"355500 Tupã";19;25;44
"355510 Tupi Paulista";6;3;9
"355520 Turiúba";2;-;2
"355530 Turmalina";1;-;1
"355535 Ubarana";1;-;1
"355540 Ubatuba";13;7;20
"355550 Ubirajara";3;-;3
"355560 Uchoa";4;2;6
"355570 União Paulista";1;-;1
"355580 Urânia";1;-;1
"355590 Uru";1;-;1
"355600 Urupês";3;5;8
"355610 Valentim Gentil";5;1;6
"355620 Valinhos";24;24;48
"355630 Valparaíso";12;6;18
"355635 Vargem";1;-;1
"355640 Vargem Grande do Sul";3;23;26
"355645 Vargem Grande Paulista";4;14;18
"355650 Várzea Paulista";5;5;10
"355660 Vera Cruz";1;4;5
"355670 Vinhedo";24;35;59
"355680 Viradouro";3;3;6
"355690 Vista Alegre do Alto";1;1;2
"355700 Votorantim";9;9;18
"355710 Votuporanga";12;61;73
"Total";8941;9875;18816
&
"Município";"Sim";"Não";"Total"
"350010 Adamantina";13;28;41
"350020 Adolfo";3;-;3
"350030 Aguaí";5;10;15
"350040 Águas da Prata";1;-;1
"350050 Águas de Lindóia";4;3;7
"350055 Águas de Santa Bárbara";1;1;2
"350060 Águas de São Pedro";1;-;1
"350070 Agudos";13;4;17
"350075 Alambari";1;-;1
"350080 Alfredo Marcondes";1;-;1
"350090 Altair";1;-;1
"350100 Altinópolis";8;2;10
"350110 Alto Alegre";1;-;1
"350115 Alumínio";2;1;3
"350120 Álvares Florence";1;-;1
"350130 Álvares Machado";11;1;12
"350140 Álvaro de Carvalho";3;-;3
"350150 Alvinlândia";1;-;1
"350160 Americana";26;238;264
"350170 Américo Brasiliense";9;1;10
"350180 Américo de Campos";1;-;1
"350190 Amparo";25;25;50
"350210 Andradina";22;43;65
"350220 Angatuba";4;2;6
"350230 Anhembi";1;-;1
"350240 Anhumas";2;-;2
"350250 Aparecida";5;3;8
"350260 Aparecida d'Oeste";2;-;2
"350270 Apiaí";4;1;5
"350275 Araçariguama";6;1;7
"350280 Araçatuba";47;108;155
"350290 Araçoiaba da Serra";4;10;14
"350300 Aramina";1;-;1
"350315 Arapeí";1;-;1
"350320 Araraquara";66;97;163
"350330 Araras";22;36;58
"350335 Arco-Íris";1;-;1
"350340 Arealva";3;1;4
"350350 Areias";1;-;1
"350360 Areiópolis";2;1;3
"350370 Ariranha";9;-;9
"350380 Artur Nogueira";8;10;18
"350390 Arujá";7;21;28
"350395 Aspásia";2;-;2
"350400 Assis";27;70;97
"350410 Atibaia";21;92;113
"350420 Auriflama";3;2;5
"350430 Avaí";1;-;1
"350440 Avanhandava";2;-;2
"350450 Avaré";23;36;59
"350460 Bady Bassitt";4;-;4
"350470 Balbinos";1;-;1
"350480 Bálsamo";3;-;3
"350490 Bananal";2;-;2
"350500 Barão de Antonina";1;-;1
"350510 Barbosa";2;-;2
"350520 Bariri";4;3;7
"350530 Barra Bonita";5;16;21
"350535 Barra do Chapéu";1;-;1
"350540 Barra do Turvo";1;-;1
"350550 Barretos";45;28;73
"350560 Barrinha";4;1;5
"350570 Barueri";71;54;125
"350580 Bastos";6;2;8
"350590 Batatais";16;28;44
"350600 Bauru";76;123;199
"350610 Bebedouro";23;34;57
"350620 Bento de Abreu";1;-;1
"350630 Bernardino de Campos";4;1;5
"350635 Bertioga";5;6;11
"350640 Bilac";2;-;2
"350650 Birigui";15;24;39
"350660 Biritiba-Mirim";2;2;4
"350670 Boa Esperança do Sul";3;1;4
"350680 Bocaina";1;4;5
"350690 Bofete";1;-;1
"350700 Boituva";13;19;32
"350710 Bom Jesus dos Perdões";3;-;3
"350715 Bom Sucesso de Itararé";1;-;1
"350720 Borá";1;-;1
"350730 Boracéia";1;-;1
"350740 Borborema";1;2;3
"350745 Borebi";2;-;2
"350750 Botucatu";84;94;178
"350760 Bragança Paulista";36;43;79
"350770 Braúna";1;-;1
"350775 Brejo Alegre";2;-;2
"350780 Brodowski";8;5;13
"350790 Brotas";4;7;11
"350800 Buri";2;-;2
"350810 Buritama";3;3;6
"350820 Buritizal";1;-;1
"350830 Cabrália Paulista";1;-;1
"350840 Cabreúva";10;11;21
"350850 Caçapava";11;52;63
"350860 Cachoeira Paulista";17;13;30
"350870 Caconde";5;2;7
"350880 Cafelândia";7;8;15
"350890 Caiabu";1;-;1
"350900 Caieiras";19;17;36
"350910 Caiuá";6;-;6
"350920 Cajamar";14;7;21
"350925 Cajati";7;3;10
"350930 Cajobi";4;-;4
"350940 Cajuru";5;7;12
"350945 Campina do Monte Alegre";1;-;1
"350950 Campinas";271;324;595
"350960 Campo Limpo Paulista";16;3;19
"350970 Campos do Jordão";9;7;16
"350980 Campos Novos Paulista";3;-;3
"350990 Cananéia";1;-;1
"350995 Canas";2;-;2
"351000 Cândido Mota";7;8;15
"351010 Cândido Rodrigues";1;-;1
"351015 Canitar";1;-;1
"351020 Capão Bonito";11;2;13
"351030 Capela do Alto";3;3;6
"351040 Capivari";11;22;33
"351050 Caraguatatuba";20;27;47
"351060 Carapicuíba";40;9;49
"351070 Cardoso";3;1;4
"351080 Casa Branca";23;5;28
"351090 Cássia dos Coqueiros";1;-;1
"351100 Castilho";3;2;5
"351110 Catanduva";29;51;80
"351120 Catiguá";1;-;1
"351130 Cedral";1;1;2
"351140 Cerqueira César";3;3;6
"351150 Cerquilho";1;25;26
"351160 Cesário Lange";3;1;4
"351170 Charqueada";1;5;6
"355720 Chavantes";5;-;5
"351190 Clementina";2;-;2
"351200 Colina";3;3;6
"351210 Colômbia";4;-;4
"351220 Conchal";9;-;9
"351230 Conchas";1;1;2
"351240 Cordeirópolis";9;4;13
"351260 Coronel Macedo";1;-;1
"351270 Corumbataí";1;-;1
"351280 Cosmópolis";12;9;21
"351290 Cosmorama";1;-;1
"351300 Cotia";22;23;45
"351310 Cravinhos";5;4;9
"351320 Cristais Paulista";3;-;3
"351330 Cruzália";1;-;1
"351340 Cruzeiro";18;37;55
"351350 Cubatão";25;21;46
"351360 Cunha";3;3;6
"351370 Descalvado";11;22;33
"351380 Diadema";51;8;59
"351385 Dirce Reis";1;-;1
"351390 Divinolândia";6;2;8
"351400 Dobrada";1;-;1
"351410 Dois Córregos";3;5;8
"351420 Dolcinópolis";2;-;2
"351430 Dourado";2;1;3
"351440 Dracena";12;42;54
"351450 Duartina";6;1;7
"351460 Dumont";1;-;1
"351470 Echaporã";1;-;1
"351480 Eldorado";1;-;1
"351490 Elias Fausto";4;-;4
"351492 Elisiário";1;-;1
"351495 Embaúba";2;-;2
"351500 Embu das Artes";21;17;38
"351510 Embu-Guaçu";6;7;13
"351512 Emilianópolis";1;-;1
"351515 Engenheiro Coelho";4;12;16
"351518 Espírito Santo do Pinhal";13;13;26
"351519 Espírito Santo do Turvo";3;-;3
"355730 Estiva Gerbi";5;1;6
"351520 Estrela d'Oeste";5;1;6
"351530 Estrela do Norte";1;-;1
"351535 Euclides da Cunha Paulista";2;-;2
"351540 Fartura";4;-;4
"351560 Fernando Prestes";1;-;1
"351550 Fernandópolis";17;70;87
"351565 Fernão";2;-;2
"351570 Ferraz de Vasconcelos";24;4;28
"351590 Floreal";2;-;2
"351600 Flórida Paulista";3;1;4
"351610 Florínia";1;-;1
