"Município";"Federal";"Estadual";"Municipal";"Privada";"Total"
"351160 Cesário Lange";-;-;4;9;13
"351170 Charqueada";-;-;6;14;20
"355720 Chavantes";-;-;4;12;16
"351190 Clementina";-;-;1;3;4
"351200 Colina";-;-;9;36;45
"351210 Colômbia";-;-;6;5;11
"351220 Conchal";-;-;10;34;44
"351230 Conchas";-;-;10;32;42
"351240 Cordeirópolis";-;-;11;13;24
"351250 Coroados";-;-;2;-;2
"351260 Coronel Macedo";-;-;3;-;3
"351270 Corumbataí";-;-;3;1;4
"351280 Cosmópolis";-;-;20;53;73
"351290 Cosmorama";-;-;4;1;5
"351300 Cotia";-;1;42;49;92
"351310 Cravinhos";-;-;7;24;31
"351320 Cristais Paulista";-;-;5;5;10
"351330 Cruzália";-;-;4;1;5
"351340 Cruzeiro";-;-;31;211;242
"351350 Cubatão";-;-;28;126;154
"351360 Cunha";-;-;10;7;17
"351370 Descalvado";-;-;16;67;83
"351380 Diadema";-;2;35;101;138
"351385 Dirce Reis";-;-;2;-;2
"351390 Divinolândia";-;-;5;16;21
"351400 Dobrada";-;-;2;2;4
"351410 Dois Córregos";-;-;8;27;35
"351420 Dolcinópolis";-;-;3;1;4
"351430 Dourado";-;-;5;7;12
"351440 Dracena";-;1;13;140;154
"351450 Duartina";-;-;5;28;33
"351460 Dumont";-;-;2;-;2
"351470 Echaporã";-;-;4;-;4
"351480 Eldorado";-;-;6;2;8
"351490 Elias Fausto";-;-;3;3;6
"351492 Elisiário";-;-;2;-;2
"351495 Embaúba";-;-;2;-;2
"351500 Embu das Artes";-;-;24;12;36
"351510 Embu-Guaçu";-;-;12;5;17
"351512 Emilianópolis";-;-;2;-;2
"351515 Engenheiro Coelho";-;-;6;3;9
"351518 Espírito Santo do Pinhal";-;-;10;115;125
"351519 Espírito Santo do Turvo";-;-;4;-;4
"355730 Estiva Gerbi";-;-;6;4;10
"351520 Estrela d'Oeste";-;-;3;15;18
"351530 Estrela do Norte";-;-;1;-;1
"351535 Euclides da Cunha Paulista";-;-;4;1;5
"351540 Fartura";-;-;3;25;28
"351560 Fernando Prestes";-;-;3;-;3
"351550 Fernandópolis";-;-;31;214;245
"351565 Fernão";-;-;2;-;2
"351570 Ferraz de Vasconcelos";-;1;24;10;35
"351580 Flora Rica";-;-;1;-;1
"351590 Floreal";-;-;2;2;4
"351600 Flórida Paulista";-;1;6;6;13
"351610 Florínia";-;-;3;-;3
"351620 Franca";-;7;45;550;602
"351630 Francisco Morato";-;1;21;21;43
"351640 Franco da Rocha";-;15;23;29;67
"351650 Gabriel Monteiro";-;-;2;-;2
"351660 Gália";-;-;3;8;11
"351670 Garça";-;-;17;37;54
"351680 Gastão Vidigal";-;-;2;-;2
"351685 Gavião Peixoto";-;-;5;1;6
"351690 General Salgado";-;-;5;10;15
"351700 Getulina";-;1;3;11;15
"351710 Glicério";-;-;4;-;4
"351720 Guaiçara";-;-;6;6;12
"351730 Guaimbê";-;-;3;1;4
"351740 Guaíra";-;-;15;42;57
"351750 Guapiaçu";-;-;9;8;17
"351760 Guapiara";-;-;11;1;12
"351770 Guará";-;-;14;19;33
"351780 Guaraçaí";-;-;2;11;13
"351790 Guaraci";-;-;5;4;9
"351800 Guarani d'Oeste";-;-;2;-;2
"351810 Guarantã";-;-;2;2;4
"351820 Guararapes";-;-;5;29;34
"351830 Guararema";-;-;5;9;14
"351840 Guaratinguetá";-;1;27;189;217
"351850 Guareí";-;1;3;-;4
"351860 Guariba";-;-;10;21;31
"351870 Guarujá";-;-;42;207;249
"351880 Guarulhos";1;2;108;472;583
"351885 Guatapará";-;-;3;-;3
"351890 Guzolândia";-;-;3;-;3
"351900 Herculândia";-;-;7;2;9
"351905 Holambra";-;-;5;8;13
"351907 Hortolândia";-;4;36;54;94
"351910 Iacanga";-;-;3;7;10
"351920 Iacri";-;-;3;4;7
"351925 Iaras";-;1;4;-;5
"351930 Ibaté";-;-;12;15;27
"351940 Ibirá";-;-;5;7;12
"351950 Ibirarema";-;-;2;1;3
"351960 Ibitinga";-;-;11;94;105
"351970 Ibiúna";-;-;20;15;35
"351980 Icém";-;-;5;5;10
"351990 Iepê";-;-;6;3;9
"352000 Igaraçu do Tietê";-;-;5;3;8
"352010 Igarapava";-;-;8;39;47
"352020 Igaratá";-;-;4;-;4
"352030 Iguape";-;-;8;8;16
"352042 Ilha Comprida";-;-;6;1;7
"352044 Ilha Solteira";-;-;13;62;75
"352040 Ilhabela";-;-;12;5;17
"352050 Indaiatuba";-;1;31;270;302
"352060 Indiana";-;-;4;3;7
"352070 Indiaporã";-;-;2;2;4
"352080 Inúbia Paulista";-;-;2;-;2
"352090 Ipaussu";-;-;5;8;13
"352100 Iperó";-;1;7;10;18
"352110 Ipeúna";-;-;2;1;3
"352115 Ipiguá";-;-;3;-;3
"352120 Iporanga";-;-;2;-;2
"352130 Ipuã";-;-;8;22;30
"352140 Iracemápolis";-;-;14;5;19
"352150 Irapuã";-;-;2;-;2
"352160 Irapuru";-;-;5;1;6
"352170 Itaberá";-;-;11;3;14
"352180 Itaí";-;1;7;19;27
"352190 Itajobi";-;-;6;8;14
"352200 Itaju";-;-;2;-;2
"352210 Itanhaém";-;-;26;26;52
"352215 Itaóca";-;-;2;-;2
"352220 Itapecerica da Serra";-;3;16;27;46
"352230 Itapetininga";-;6;37;218;261
"352240 Itapeva";-;2;32;99;133
"352250 Itapevi";-;2;23;34;59
"352260 Itapira";-;-;21;133;154
"352265 Itapirapuã Paulista";-;-;3;-;3
"352270 Itápolis";-;-;9;69;78
"352280 Itaporanga";-;-;6;4;10
"352290 Itapuí";-;-;6;3;9
"352300 Itapura";-;-;2;1;3
"352310 Itaquaquecetuba";-;1;28;19;48
"352320 Itararé";-;-;19;51;70
"352330 Itariri";-;-;4;2;6
"352340 Itatiba";-;1;25;82;108
"352350 Itatinga";-;-;3;13;16
"352360 Itirapina";-;2;8;18;28
"352370 Itirapuã";-;-;4;-;4
"352380 Itobi";-;-;2;2;4
"352390 Itu";-;3;41;170;214
"352400 Itupeva";-;-;24;22;46
"352410 Ituverava";-;-;15;120;135
"352420 Jaborandi";-;-;2;4;6
"352430 Jaboticabal";-;-;17;92;109
"352440 Jacareí";-;-;27;266;293
"352450 Jaci";-;-;4;6;10
"352460 Jacupiranga";-;-;8;6;14
"352470 Jaguariúna";-;-;14;44;58
"352480 Jales";-;5;12;139;156
"352490 Jambeiro";-;-;2;-;2
"352500 Jandira";-;-;17;13;30
"352510 Jardinópolis";-;-;14;23;37
"352520 Jarinu";-;-;7;9;16
"352530 Jaú";-;3;27;336;366
"352540 Jeriquara";-;-;1;-;1
"352550 Joanópolis";-;-;3;4;7
"352560 João Ramalho";-;-;2;-;2
"352570 José Bonifácio";-;-;11;27;38
"352580 Júlio Mesquita";-;-;2;-;2
"352585 Jumirim";-;-;2;2;4
"352590 Jundiaí";-;1;59;1302;1362
"352600 Junqueirópolis";-;-;13;9;22
"352610 Juquiá";-;-;9;3;12
"352620 Juquitiba";-;-;9;3;12
"352630 Lagoinha";-;-;4;-;4
"352640 Laranjal Paulista";-;-;14;50;64
"352650 Lavínia";-;-;5;-;5
"352660 Lavrinhas";-;-;5;-;5
"352670 Leme";-;-;25;118;143
"352680 Lençóis Paulista";-;-;19;117;136
"352690 Limeira";-;2;34;456;492
"352700 Lindóia";-;-;5;6;11
"352710 Lins";-;3;18;289;310
"352720 Lorena";-;-;22;159;181
"352725 Lourdes";-;-;3;-;3
"352730 Louveira";-;-;6;22;28
"352740 Lucélia";-;1;6;20;27
"352750 Lucianópolis";-;-;2;-;2
"352760 Luís Antônio";-;-;7;8;15
"352770 Luiziânia";-;-;2;5;7
"352780 Lupércio";-;-;3;-;3
"352790 Lutécia";-;-;2;-;2
"352800 Macatuba";-;-;9;17;26
"352810 Macaubal";-;-;3;7;10
"352820 Macedônia";-;-;2;2;4
"352830 Magda";-;-;2;-;2
"352840 Mairinque";-;-;23;18;41
"352850 Mairiporã";-;-;20;25;45
"352860 Manduri";-;-;5;7;12
"352870 Marabá Paulista";-;-;4;-;4
"352880 Maracaí";-;-;7;6;13
"352885 Marapoama";-;-;2;-;2
"352890 Mariápolis";-;-;2;-;2
"352900 Marília";-;6;64;513;583
"352910 Marinópolis";-;-;2;-;2
"352920 Martinópolis";-;-;11;19;30
"352930 Matão";-;1;21;122;144
"352940 Mauá";-;1;43;162;206
"352950 Mendonça";-;-;2;-;2
"352960 Meridiano";-;-;4;-;4
"352965 Mesópolis";-;-;2;-;2
"352970 Miguelópolis";-;-;10;18;28
"352980 Mineiros do Tietê";-;-;5;4;9
"353000 Mira Estrela";-;-;2;1;3
"352990 Miracatu";-;-;8;3;11
"353010 Mirandópolis";-;1;17;32;50
"353020 Mirante do Paranapanema";-;-;8;11;19
"353030 Mirassol";-;-;14;83;97
"353040 Mirassolândia";-;-;2;-;2
"353050 Mococa";-;2;24;142;168
"353060 Mogi das Cruzes";-;6;51;225;282
"353070 Mogi Guaçu";-;1;25;249;275
"353080 Mogi Mirim";-;1;22;151;174
"353090 Mombuca";-;-;2;-;2
"353100 Monções";-;-;5;-;5
"353110 Mongaguá";-;1;17;11;29
"353120 Monte Alegre do Sul";-;-;5;4;9
"353130 Monte Alto";-;-;17;152;169
"353140 Monte Aprazível";-;-;8;20;28
"353150 Monte Azul Paulista";-;-;5;19;24
"353160 Monte Castelo";-;-;2;-;2
"353180 Monte Mor";-;-;19;29;48
"353170 Monteiro Lobato";-;-;4;2;6
"353190 Morro Agudo";-;-;12;40;52
"353200 Morungaba";-;-;8;5;13
"353205 Motuca";-;-;4;1;5
"353210 Murutinga do Sul";-;-;2;2;4
"353215 Nantes";-;-;3;-;3
"353220 Narandiba";-;-;3;-;3
"353230 Natividade da Serra";-;-;2;-;2
"353240 Nazaré Paulista";-;-;3;3;6
"353250 Neves Paulista";-;-;5;7;12
"353260 Nhandeara";-;-;5;24;29
"353270 Nipoã";-;-;2;-;2
"353280 Nova Aliança";-;-;3;1;4
"353282 Nova Campina";-;-;4;-;4
"353284 Nova Canaã Paulista";-;-;3;-;3
"353286 Nova Castilho";-;-;1;-;1
"353290 Nova Europa";-;-;4;5;9
"353300 Nova Granada";-;-;7;9;16
"353310 Nova Guataporanga";-;-;2;-;2
"353320 Nova Independência";-;-;2;2;4
"353330 Nova Luzitânia";-;-;2;-;2
"353340 Nova Odessa";-;-;7;42;49
"353325 Novais";-;-;2;-;2
"353350 Novo Horizonte";-;-;10;43;53
"353360 Nuporanga";-;-;6;14;20
"353370 Ocauçu";-;-;3;-;3
"353380 Óleo";-;-;4;-;4
"353390 Olímpia";-;1;14;75;90
"353400 Onda Verde";-;-;4;-;4
"353410 Oriente";-;-;4;7;11
"353420 Orindiúva";-;-;3;3;6
"353430 Orlândia";-;1;16;112;129
"353440 Osasco";-;7;63;572;642
"353450 Oscar Bressane";-;-;3;-;3
"353460 Osvaldo Cruz";-;2;11;42;55
"353470 Ourinhos";-;-;27;269;296
"353480 Ouro Verde";-;-;5;1;6
"353475 Ouroeste";-;-;5;9;14
"353490 Pacaembu";-;2;5;11;18
"353500 Palestina";-;-;4;9;13
"353510 Palmares Paulista";-;-;3;4;7
"353520 Palmeira d'Oeste";-;-;6;6;12
"353530 Palmital";-;-;8;25;33
"353540 Panorama";-;-;5;7;12
"353550 Paraguaçu Paulista";-;1;17;56;74
"353560 Paraibuna";-;-;8;6;14
"353570 Paraíso";-;-;2;2;4
"353580 Paranapanema";-;-;5;6;11
"353590 Paranapuã";-;-;2;-;2
"353600 Parapuã";-;-;5;1;6
"353610 Pardinho";-;-;2;1;3
"353620 Pariquera-Açu";-;-;12;4;16
"353625 Parisi";-;-;2;-;2
"353630 Patrocínio Paulista";-;-;7;3;10
"353640 Paulicéia";-;-;2;1;3
"353650 Paulínia";-;-;20;96;116
"353657 Paulistânia";-;-;2;-;2
"353660 Paulo de Faria";-;-;2;3;5
"353670 Pederneiras";-;-;15;43;58
"353680 Pedra Bela";-;-;2;1;3
"353690 Pedranópolis";-;-;4;-;4
"353700 Pedregulho";-;-;10;9;19
"353710 Pedreira";-;-;11;27;38
"353715 Pedrinhas Paulista";-;-;4;4;8
"353720 Pedro de Toledo";-;-;6;2;8
"353730 Penápolis";-;-;19;112;131
"353740 Pereira Barreto";-;-;11;29;40
"353750 Pereiras";-;-;5;3;8
"353760 Peruíbe";-;-;18;24;42
"353770 Piacatu";-;-;2;-;2
"353780 Piedade";-;-;10;25;35
"353790 Pilar do Sul";-;-;10;7;17
"353800 Pindamonhangaba";-;-;29;203;232
"353810 Pindorama";-;-;8;5;13
"353820 Pinhalzinho";-;-;6;3;9
"353830 Piquerobi";-;-;2;-;2
"353850 Piquete";-;-;7;6;13
"353860 Piracaia";-;-;4;6;10
"353870 Piracicaba";-;7;80;681;768
"353880 Piraju";-;1;11;62;74
"353890 Pirajuí";-;2;9;29;40
"353900 Pirangi";-;-;5;10;15
"353910 Pirapora do Bom Jesus";-;-;7;1;8
"353920 Pirapozinho";-;-;10;15;25
"353930 Pirassununga";-;-;27;154;181
"353940 Piratininga";-;-;5;1;6
"353950 Pitangueiras";-;-;12;49;61
"353960 Planalto";-;-;2;-;2
"353970 Platina";-;-;2;-;2
"353980 Poá";-;-;26;20;46
"353990 Poloni";-;-;3;3;6
"354000 Pompéia";-;-;13;77;90
"354010 Pongaí";-;-;2;1;3
"354020 Pontal";-;-;14;29;43
"354025 Pontalinda";-;-;2;1;3
"354030 Pontes Gestal";-;-;2;-;2
"354040 Populina";-;-;2;1;3
"354050 Porangaba";-;-;4;6;10
"354060 Porto Feliz";-;-;13;47;60
"354070 Porto Ferreira";-;-;16;111;127
"354075 Potim";-;-;8;-;8
"354080 Potirendaba";-;-;7;11;18
"354085 Pracinha";-;1;2;-;3
"354090 Pradópolis";-;-;7;8;15
"354100 Praia Grande";-;1;36;100;137
"354105 Pratânia";-;-;2;2;4
"354110 Presidente Alves";-;-;3;-;3
"354120 Presidente Bernardes";-;2;8;14;24
"354130 Presidente Epitácio";-;-;12;25;37
"354140 Presidente Prudente";-;12;38;568;618
"354150 Presidente Venceslau";-;1;13;43;57
"354160 Promissão";-;2;14;41;57
"354165 Quadra";-;-;3;1;4
"354170 Quatá";-;-;7;13;20
"354180 Queiroz";-;-;2;-;2
"354190 Queluz";-;-;7;1;8
"354200 Quintana";-;-;5;5;10
"354210 Rafard";-;-;3;-;3
"354220 Rancharia";-;-;11;33;44
"354230 Redenção da Serra";-;-;3;1;4
"354240 Regente Feijó";-;-;10;6;16
"354250 Reginópolis";-;2;2;3;7
"354260 Registro";-;2;21;70;93
"354270 Restinga";-;-;4;-;4
"354280 Ribeira";-;-;3;-;3
"354290 Ribeirão Bonito";-;-;7;17;24
"354300 Ribeirão Branco";-;-;8;1;9
"354310 Ribeirão Corrente";-;-;3;1;4
"354320 Ribeirão do Sul";-;-;2;-;2
"354323 Ribeirão dos Índios";-;-;1;-;1
"354325 Ribeirão Grande";-;-;2;2;4
"354330 Ribeirão Pires";-;-;18;79;97
"354340 Ribeirão Preto";-;14;112;1435;1561
"354360 Rifaina";-;-;1;1;2
"354370 Rincão";-;-;5;7;12
"354380 Rinópolis";-;-;5;5;10
"354390 Rio Claro";-;4;35;300;339
"354400 Rio das Pedras";-;-;7;61;68
"354410 Rio Grande da Serra";-;-;11;5;16
"354420 Riolândia";-;1;3;2;6
"354350 Riversul";-;-;2;1;3
"354425 Rosana";-;1;11;24;36
"354430 Roseira";-;-;5;2;7
"354440 Rubiácea";-;-;4;-;4
"354450 Rubinéia";-;-;3;-;3
"354460 Sabino";-;-;2;3;5
"354470 Sagres";-;-;2;-;2
"354480 Sales";-;-;2;-;2
"354490 Sales Oliveira";-;-;6;24;30
"354500 Salesópolis";-;-;7;2;9
"354510 Salmourão";-;-;2;-;2
"354515 Saltinho";-;-;1;2;3
"354520 Salto";-;-;18;98;116
"354530 Salto de Pirapora";-;-;10;36;46
"354540 Salto Grande";-;-;3;2;5
"354550 Sandovalina";-;-;3;-;3
"354560 Santa Adélia";-;-;8;13;21
"354570 Santa Albertina";-;-;3;2;5
"354580 Santa Bárbara d'Oeste";-;2;21;184;207
"354600 Santa Branca";-;-;4;4;8
"354610 Santa Clara d'Oeste";-;-;3;-;3
"354620 Santa Cruz da Conceição";-;-;4;-;4
"354625 Santa Cruz da Esperança";-;-;2;-;2
"354630 Santa Cruz das Palmeiras";-;-;5;54;59
"354640 Santa Cruz do Rio Pardo";-;-;14;112;126
"354650 Santa Ernestina";-;-;1;-;1
"354660 Santa Fé do Sul";-;1;17;64;82
"354670 Santa Gertrudes";-;-;14;35;49
"354680 Santa Isabel";-;-;14;8;22
"354690 Santa Lúcia";-;-;4;2;6
"354700 Santa Maria da Serra";-;-;4;-;4
"354710 Santa Mercedes";-;-;3;-;3
"354740 Santa Rita d'Oeste";-;-;2;-;2
"354750 Santa Rita do Passa Quatro";-;3;9;54;66
"354760 Santa Rosa de Viterbo";-;-;8;46;54
"354765 Santa Salete";-;-;2;-;2
"354720 Santana da Ponte Pensa";-;-;2;-;2
"354730 Santana de Parnaíba";-;-;18;15;33
"354770 Santo Anastácio";-;-;6;28;34
"354780 Santo André";-;6;62;684;752
"354790 Santo Antônio da Alegria";-;-;8;1;9
"354800 Santo Antônio de Posse";-;-;10;10;20
"354805 Santo Antônio do Aracanguá";-;-;4;-;4
"354810 Santo Antônio do Jardim";-;-;3;-;3
"354820 Santo Antônio do Pinhal";-;-;10;2;12
"354830 Santo Expedito";-;-;1;-;1
"354840 Santópolis do Aguapeí";-;-;2;-;2
"354850 Santos";-;7;68;1220;1295
"354860 São Bento do Sapucaí";-;-;4;4;8
"354870 São Bernardo do Campo";-;1;72;659;732
"354880 São Caetano do Sul";-;-;37;515;552
"354890 São Carlos";1;1;39;316;357
"354900 São Francisco";-;-;2;-;2
"354910 São João da Boa Vista";-;5;26;363;394
"354920 São João das Duas Pontes";-;-;3;-;3
"354925 São João de Iracema";-;-;2;-;2
"354930 São João do Pau d'Alho";-;-;2;2;4
"354940 São Joaquim da Barra";-;-;18;125;143
"354950 São José da Bela Vista";-;-;6;4;10
"354960 São José do Barreiro";-;-;4;-;4
"354970 São José do Rio Pardo";-;-;16;109;125
"354980 São José do Rio Preto";-;10;59;668;737
"354990 São José dos Campos";1;7;69;1245;1322
"354995 São Lourenço da Serra";-;-;6;1;7
"355000 São Luís do Paraitinga";-;-;5;3;8
"355010 São Manuel";-;-;9;87;96
"355020 São Miguel Arcanjo";-;-;11;24;35
"355030 São Paulo";2;139;864;12616;13621
"355040 São Pedro";-;-;6;60;66
"355050 São Pedro do Turvo";-;-;4;1;5
"355060 São Roque";-;-;14;186;200
"355070 São Sebastião";-;-;23;113;136
"355080 São Sebastião da Grama";-;-;8;16;24
"355090 São Simão";-;-;8;24;32
"355100 São Vicente";-;1;63;179;243
"355110 Sarapuí";-;-;4;1;5
"355120 Sarutaiá";-;-;2;-;2
"355130 Sebastianópolis do Sul";-;-;2;1;3
"355140 Serra Azul";-;3;4;2;9
"355160 Serra Negra";-;-;13;47;60
"355150 Serrana";-;-;15;13;28
"355170 Sertãozinho";-;-;18;191;209
"355180 Sete Barras";-;-;6;-;6
"355190 Severínia";-;-;5;8;13
"355200 Silveiras";-;-;4;1;5
"355210 Socorro";-;-;14;33;47
"355220 Sorocaba";-;7;57;564;628
"355230 Sud Mennucci";-;-;7;2;9
"355240 Sumaré";-;2;33;130;165
"355255 Suzanápolis";-;-;2;-;2
"355250 Suzano";-;-;33;126;159
"355260 Tabapuã";-;-;5;5;10
"355270 Tabatinga";-;-;6;34;40
"355280 Taboão da Serra";-;1;29;76;106
"355290 Taciba";-;-;4;-;4
"355300 Taguaí";-;-;3;8;11
"355310 Taiaçu";-;-;2;6;8
"355320 Taiúva";-;-;4;7;11
"355330 Tambaú";-;-;9;31;40
"355340 Tanabi";-;-;11;21;32
"355350 Tapiraí";-;-;4;-;4
"355360 Tapiratiba";-;-;5;2;7
"355365 Taquaral";-;-;2;-;2
"355370 Taquaritinga";-;-;18;105;123
"355380 Taquarituba";-;-;6;5;11
"355385 Taquarivaí";-;-;3;-;3
"355390 Tarabai";-;-;6;-;6
"355395 Tarumã";-;-;11;2;13
"355400 Tatuí";-;-;33;283;316
"355410 Taubaté";-;3;70;514;587
"355420 Tejupá";-;-;4;-;4
"355430 Teodoro Sampaio";-;-;12;16;28
"355440 Terra Roxa";-;-;7;7;14
"355450 Tietê";-;-;11;80;91
"355460 Timburi";-;-;2;-;2
"355465 Torre de Pedra";-;-;2;-;2
"355470 Torrinha";-;-;3;2;5
"355475 Trabiju";-;-;3;-;3
"355480 Tremembé";-;-;15;17;32
"355490 Três Fronteiras";-;-;3;-;3
"355495 Tuiuti";-;-;3;-;3
"355500 Tupã";-;2;19;132;153
"355510 Tupi Paulista";-;-;9;23;32
"355520 Turiúba";-;-;2;-;2
"355530 Turmalina";-;-;3;-;3
"355535 Ubarana";-;-;2;-;2
"355540 Ubatuba";-;-;31;36;67
"355550 Ubirajara";-;-;2;1;3
"355560 Uchoa";-;-;5;4;9
"355570 União Paulista";-;-;3;-;3
"355580 Urânia";-;-;4;2;6
"355590 Uru";-;-;2;-;2
"355600 Urupês";-;-;5;5;10
"355610 Valentim Gentil";-;-;6;3;9
"355620 Valinhos";-;-;23;259;282
"355630 Valparaíso";-;1;7;14;22
"355635 Vargem";-;-;2;1;3
"355640 Vargem Grande do Sul";-;-;10;64;74
"355645 Vargem Grande Paulista";-;-;14;10;24
"355650 Várzea Paulista";-;-;19;13;32
"355660 Vera Cruz";-;-;4;9;13
"355670 Vinhedo";-;-;11;230;241
"355680 Viradouro";-;-;10;26;36
"355690 Vista Alegre do Alto";-;-;4;5;9
"355695 Vitória Brasil";-;-;2;-;2
"355700 Votorantim";-;-;26;47;73
"355710 Votuporanga";-;4;20;223;247
"355715 Zacarias";-;-;2;-;2
"Total";5;463;7774;48381;56623
&
"Município";"Federal";"Estadual";"Municipal";"Privada";"Total"
"350010 Adamantina";-;1;10;95;106
"350020 Adolfo";-;-;2;2;4
"350030 Aguaí";-;-;11;30;41
"350040 Águas da Prata";-;-;4;3;7
"350050 Águas de Lindóia";-;-;7;21;28
"350055 Águas de Santa Bárbara";-;-;2;4;6
