"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"121-0 Consórcio Público de Direito Público (Associação Pública)";"124-4 Município";"127-9 Fundação Pública de Direito Privado Municipal";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"212-7 Sociedade em Conta de Participação";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"232-1 Sociedade Unipessoal de Advogados";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"322-0 Organização Religiosa";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"350910 Caiuá";-;2;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350920 Cajamar";-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;1;17;-;4;-;-;-;-;8;-;2;2;-;-;-;-;-;-;2;-;56
"350925 Cajati";-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;2;4;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;26
"350930 Cajobi";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;12
"350940 Cajuru";-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;15;-;7;-;-;-;-;6;-;-;-;-;-;-;-;-;-;3;-;51
"350945 Campina do Monte Alegre";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";-;6;-;-;1;27;-;4;-;-;117;-;-;1;4;15;415;-;31;7;-;-;10;262;-;55;17;-;3;-;-;-;-;31;-;1006
"350960 Campo Limpo Paulista";-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;1;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;25
"350970 Campos do Jordão";-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;14;-;7;-;-;-;5;-;-;1;-;-;-;-;-;-;-;2;-;52
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351000 Cândido Mota";-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;12;-;11;-;-;-;-;1;-;3;-;-;-;-;-;1;-;2;-;43
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351015 Canitar";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351020 Capão Bonito";-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;5;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;3;-;38
"351030 Capela do Alto";-;2;-;-;-;-;-;-;-;-;10;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"351040 Capivari";-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;21;-;4;1;-;-;1;14;-;2;-;-;-;-;-;2;-;3;-;66
"351050 Caraguatatuba";-;5;-;-;-;-;-;1;-;-;47;-;-;-;-;-;57;-;5;1;-;-;-;10;-;8;1;-;-;-;-;-;-;6;-;141
"351060 Carapicuíba";-;2;-;-;-;-;-;-;-;-;39;-;-;-;-;2;29;-;-;-;-;-;1;19;-;5;2;-;-;-;-;-;-;1;-;100
"351070 Cardoso";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;15
"351080 Casa Branca";-;5;-;-;-;-;-;-;-;-;12;-;-;-;-;-;4;-;3;-;-;-;-;4;-;1;-;-;-;-;-;-;-;2;-;31
"351090 Cássia dos Coqueiros";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;2;-;10;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;19
"351110 Catanduva";-;1;-;-;-;-;-;-;-;-;42;-;-;-;-;-;113;-;57;5;-;-;4;50;-;11;-;-;3;-;-;-;-;9;-;295
"351120 Catiguá";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351130 Cedral";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;7;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;17
"351140 Cerqueira César";-;1;-;-;-;-;-;-;-;-;8;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;15
"351150 Cerquilho";-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;1;13;-;1;-;-;-;-;7;-;1;1;-;-;-;-;1;-;2;-;43
"351160 Cesário Lange";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;11
"351170 Charqueada";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"355720 Chavantes";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;2;-;12
"351190 Clementina";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"351200 Colina";-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;3;-;1;-;-;-;-;2;1;-;-;-;-;-;-;-;-;3;-;19
"351210 Colômbia";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"351220 Conchal";-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;3;-;1;1;-;-;2;5;-;-;-;-;-;-;-;1;-;2;-;28
"351230 Conchas";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;7;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;22
"351240 Cordeirópolis";-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;6;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;29
"351250 Coroados";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351270 Corumbataí";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351280 Cosmópolis";-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;8;-;1;-;-;-;-;9;-;3;-;-;1;-;-;-;-;4;-;48
"351290 Cosmorama";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351300 Cotia";-;1;-;-;-;-;-;-;-;-;50;-;-;-;3;2;48;-;10;-;-;-;-;24;-;10;1;-;-;-;-;-;-;4;-;153
"351310 Cravinhos";-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;6;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;3;-;31
"351320 Cristais Paulista";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"351330 Cruzália";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351340 Cruzeiro";-;-;-;-;-;1;-;-;-;-;34;-;-;-;1;1;37;-;9;-;-;-;25;69;-;3;2;-;-;-;-;-;-;5;-;187
"351350 Cubatão";-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;4;18;-;1;1;-;-;-;10;-;3;-;-;-;1;-;-;-;4;-;81
"351360 Cunha";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;16
"351370 Descalvado";-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;29;-;6;-;-;-;2;1;-;1;1;-;-;-;-;-;-;5;-;65
"351380 Diadema";-;3;-;-;-;-;-;-;-;-;50;-;-;-;1;3;31;-;2;-;-;-;-;36;-;9;3;-;-;-;-;-;-;2;-;140
"351385 Dirce Reis";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351390 Divinolândia";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;7;-;4;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2;-;22
"351400 Dobrada";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351410 Dois Córregos";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;3;-;20
"351420 Dolcinópolis";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11
"351440 Dracena";-;2;-;-;-;-;-;-;-;2;16;-;-;-;-;-;29;-;3;2;-;-;-;6;-;5;-;-;-;-;-;-;-;3;-;68
"351450 Duartina";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;9;-;8;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;27
"351460 Dumont";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351470 Echaporã";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351480 Eldorado";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"351490 Elias Fausto";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"351492 Elisiário";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351495 Embaúba";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351500 Embu das Artes";-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;21;-;6;-;-;-;-;4;-;5;-;-;-;-;-;-;-;-;-;72
"351510 Embu-Guaçu";-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;7;-;3;-;-;-;-;3;-;-;-;-;-;-;-;-;-;2;-;37
"351512 Emilianópolis";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;2;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;17
"351518 Espírito Santo do Pinhal";-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;15;-;2;1;-;-;-;16;-;1;-;-;1;-;-;1;-;5;-;56
"351519 Espírito Santo do Turvo";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355730 Estiva Gerbi";-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;12
"351520 Estrela d'Oeste";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;2;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;3;-;14
"351530 Estrela do Norte";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351535 Euclides da Cunha Paulista";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"351540 Fartura";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;4;-;5;-;-;-;-;-;-;3;-;-;-;-;-;-;-;3;-;21
"351560 Fernando Prestes";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351550 Fernandópolis";-;2;-;-;-;-;-;-;-;1;38;-;-;-;-;-;113;-;37;2;-;-;2;33;-;3;1;-;3;-;-;-;-;4;-;239
"351565 Fernão";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;1;-;-;-;-;-;-;-;-;36;-;-;-;-;-;8;-;3;-;-;-;-;5;-;2;-;-;-;-;-;-;-;1;-;56
"351580 Flora Rica";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351590 Floreal";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351600 Flórida Paulista";-;1;-;-;-;-;-;-;-;-;9;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;14
"351610 Florínia";-;1;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"351620 Franca";-;6;-;-;1;-;-;1;-;-;54;-;-;-;-;1;44;-;14;1;-;-;2;31;-;14;3;-;3;-;-;-;-;4;-;179
"351630 Francisco Morato";-;1;23;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;4;-;-;-;-;3;-;-;1;-;-;-;-;-;-;3;-;59
"351640 Franco da Rocha";-;14;-;-;-;-;-;2;-;-;37;-;-;-;-;-;17;-;7;-;-;-;1;4;-;4;-;-;-;-;-;-;-;2;-;88
"351650 Gabriel Monteiro";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351660 Gália";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;6
"351670 Garça";-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;6;-;2;-;-;-;-;4;-;2;-;-;-;-;-;1;-;4;-;45
"351680 Gastão Vidigal";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351690 General Salgado";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;3;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;15
"351700 Getulina";-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"351710 Glicério";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351720 Guaiçara";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"351730 Guaimbê";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351740 Guaíra";-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;11;-;-;1;-;-;2;5;-;1;-;-;-;-;-;-;-;2;-;38
"351750 Guapiaçu";-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;17
"351760 Guapiara";-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;21
"351770 Guará";-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;5;-;6;-;-;-;1;2;-;-;-;-;-;-;-;-;-;2;-;32
"351780 Guaraçaí";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7
"351790 Guaraci";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"351800 Guarani d'Oeste";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351810 Guarantã";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351820 Guararapes";-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;12;-;4;-;-;-;-;2;-;-;-;-;-;-;-;1;-;2;-;37
"351830 Guararema";-;-;-;-;-;-;-;-;-;-;10;-;-;-;1;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;16
"351840 Guaratinguetá";1;2;-;-;-;-;-;-;-;-;34;-;-;-;3;1;59;-;23;-;-;-;-;30;-;2;1;-;-;1;-;-;-;12;-;169
"351850 Guareí";-;2;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;12
"351860 Guariba";-;-;-;-;-;-;-;-;-;-;13;-;-;-;1;-;3;-;-;2;-;-;1;7;-;-;-;-;-;-;-;-;-;1;-;28
"351870 Guarujá";-;1;-;-;-;-;-;-;-;-;60;-;-;-;-;4;64;-;16;3;-;-;-;18;-;6;1;-;-;-;-;-;-;18;-;191
"351880 Guarulhos";-;6;-;-;-;-;-;3;-;-;141;-;-;-;5;3;121;-;29;6;-;-;2;77;-;24;5;-;-;-;-;-;2;8;-;432
"351885 Guatapará";-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"351890 Guzolândia";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351900 Herculândia";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"351905 Holambra";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;12
"351907 Hortolândia";-;4;-;-;-;-;-;-;-;-;48;-;-;-;-;-;53;-;7;-;-;-;-;4;-;14;-;-;-;-;-;-;-;2;-;132
"351910 Iacanga";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;12
"351920 Iacri";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"351925 Iaras";-;1;-;-;-;-;-;2;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"351930 Ibaté";-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;3;-;1;-;-;-;1;4;-;-;-;-;-;-;-;-;-;1;-;24
"351940 Ibirá";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;9;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;19
"351950 Ibirarema";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351960 Ibitinga";-;-;1;-;-;-;-;-;-;-;22;-;-;-;-;-;17;-;3;1;-;-;-;14;-;1;-;-;1;-;-;-;-;3;-;63
"351970 Ibiúna";-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;9;-;4;1;-;-;1;2;-;2;-;-;-;-;1;-;-;2;-;49
"351980 Icém";-;1;-;-;-;-;-;-;-;-;8;-;-;-;-;-;3;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;17
"351990 Iepê";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;3;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"352000 Igaraçu do Tietê";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"352010 Igarapava";-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;10;-;6;-;-;-;1;2;-;1;1;-;-;-;-;-;-;2;-;39
"352020 Igaratá";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"352030 Iguape";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;3;-;1;-;-;-;-;1;-;2;-;-;-;-;-;-;-;2;-;20
"352042 Ilha Comprida";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;11
"352044 Ilha Solteira";-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;17;-;-;-;-;7;-;2;1;-;-;-;-;-;-;3;-;66
"352040 Ilhabela";-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;26
"352050 Indaiatuba";-;1;-;-;-;-;-;-;-;-;37;-;-;-;1;-;104;-;13;-;-;-;2;36;-;8;2;-;1;-;1;-;-;5;-;211
"352060 Indiana";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352070 Indiaporã";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"352080 Inúbia Paulista";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352090 Ipaussu";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;13
"352100 Iperó";-;1;-;-;-;-;-;-;-;-;13;-;-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"352110 Ipeúna";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"352115 Ipiguá";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352130 Ipuã";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;4;-;7;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;24
"352140 Iracemápolis";-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;9;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;26
"352150 Irapuã";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"352160 Irapuru";-;1;-;-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352170 Itaberá";-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"352180 Itaí";-;1;-;-;-;-;-;-;-;-;13;-;-;-;-;-;1;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;20
"352190 Itajobi";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;6;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;20
"352200 Itaju";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"352210 Itanhaém";-;1;-;-;-;-;-;-;-;-;34;-;-;-;-;1;13;-;4;-;-;-;-;7;-;6;-;-;-;-;-;-;-;2;-;68
"352215 Itaóca";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352220 Itapecerica da Serra";-;1;-;-;-;21;-;-;-;-;1;-;-;-;-;-;14;-;2;-;-;-;1;4;-;2;-;-;-;-;-;-;-;3;-;49
"352230 Itapetininga";-;5;-;-;-;-;-;1;-;-;50;-;-;-;-;-;61;-;11;3;-;-;-;17;-;7;-;-;1;-;-;2;-;5;-;163
"352240 Itapeva";-;3;-;-;-;-;-;-;-;-;39;-;-;-;-;1;34;-;9;3;-;-;-;6;-;11;-;-;-;-;-;-;-;8;-;114
"352250 Itapevi";-;2;-;-;-;-;-;-;-;-;43;-;-;-;-;3;30;-;5;-;-;-;1;14;-;3;-;-;-;-;-;-;-;1;-;102
"352260 Itapira";-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;9;-;1;-;-;-;11;15;-;7;3;-;1;-;-;-;-;2;-;74
"352265 Itapirapuã Paulista";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
