"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"105-8 Órgão Público do Poder Legislativo Estadual ou do Distrito Federal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"121-0 Consórcio Público de Direito Público (Associação Pública)";"124-4 Município";"127-9 Fundação Pública de Direito Privado Municipal";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"212-7 Sociedade em Conta de Participação";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"322-0 Organização Religiosa";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"353720 Pedro de Toledo";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;10
"353730 Penápolis";-;-;-;-;-;-;-;-;-;-;4;16;-;-;-;-;-;29;-;8;1;-;-;-;2;-;2;-;-;-;-;-;-;4;-;66
"353740 Pereira Barreto";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;4;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;31
"353750 Pereiras";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"353760 Peruíbe";-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;8;-;3;-;-;-;-;5;-;2;-;-;-;-;-;-;2;-;47
"353770 Piacatu";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353780 Piedade";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;14;-;2;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;32
"353790 Pilar do Sul";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;3;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;21
"353800 Pindamonhangaba";-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;55;-;5;4;-;-;1;24;-;1;-;1;-;-;-;-;4;-;139
"353810 Pindorama";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;12
"353820 Pinhalzinho";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;2;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;12
"353830 Piquerobi";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353850 Piquete";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"353860 Piracaia";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;2;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;2;-;13
"353870 Piracicaba";-;9;-;-;-;1;-;-;-;-;-;107;-;-;-;-;1;203;-;21;12;-;-;4;103;-;16;3;-;1;-;1;-;12;-;494
"353880 Piraju";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;14;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;36
"353890 Pirajuí";-;3;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;7;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;5;-;28
"353900 Pirangi";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;2;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2;-;12
"353910 Pirapora do Bom Jesus";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"353920 Pirapozinho";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;4;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;2;-;25
"353930 Pirassununga";-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;2;49;-;1;1;-;-;4;7;-;2;-;-;-;-;-;-;3;-;96
"353940 Piratininga";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"353950 Pitangueiras";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;4;-;3;1;-;-;3;5;-;-;-;-;-;-;-;-;2;-;31
"353960 Planalto";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353970 Platina";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353980 Poá";-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;7;-;4;-;-;-;-;4;-;1;-;-;-;-;-;-;1;-;43
"353990 Poloni";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"354000 Pompéia";-;-;13;-;-;-;-;-;-;-;-;1;-;-;-;-;-;11;-;20;-;-;-;-;2;-;1;-;-;-;-;-;-;2;-;50
"354010 Pongaí";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354020 Pontal";-;1;-;-;-;-;-;-;-;-;-;20;-;-;-;-;2;13;-;13;1;-;-;3;10;-;1;-;-;-;-;-;-;2;-;66
"354025 Pontalinda";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354030 Pontes Gestal";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354040 Populina";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3
"354050 Porangaba";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;9
"354060 Porto Feliz";-;1;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;14;-;4;-;-;-;-;4;-;2;-;-;-;-;-;-;2;-;44
"354070 Porto Ferreira";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;25;-;4;-;-;-;1;19;-;4;3;-;-;-;-;-;3;-;75
"354075 Potim";-;2;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"354080 Potirendaba";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;3;-;2;-;-;-;-;3;-;-;-;-;-;-;-;-;2;-;18
"354085 Pracinha";-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354090 Pradópolis";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;3;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;13
"354100 Praia Grande";-;2;-;-;-;-;-;-;-;-;-;54;1;-;-;1;4;53;-;16;1;-;-;1;22;-;7;-;-;-;-;-;-;6;-;168
"354105 Pratânia";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354110 Presidente Alves";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"354120 Presidente Bernardes";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;2;-;15
"354130 Presidente Epitácio";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;10;-;4;-;-;-;-;5;-;1;-;-;-;-;-;-;3;-;39
"354140 Presidente Prudente";-;10;1;-;-;1;-;-;-;-;-;54;-;-;-;-;1;89;-;15;3;-;-;33;114;-;15;8;2;2;-;1;-;12;-;361
"354150 Presidente Venceslau";-;3;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;12;-;4;-;-;-;-;6;-;1;1;-;-;-;-;-;2;-;43
"354160 Promissão";-;2;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;9;-;6;-;-;-;-;7;-;1;-;-;-;-;-;-;2;-;39
"354165 Quadra";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354170 Quatá";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;5;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;21
"354180 Queiroz";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354190 Queluz";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"354200 Quintana";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"354210 Rafard";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"354220 Rancharia";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;17;-;3;-;-;-;-;4;-;-;-;-;-;-;-;-;3;-;39
"354230 Redenção da Serra";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354240 Regente Feijó";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;4;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;2;-;19
"354250 Reginópolis";-;2;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"354260 Registro";1;3;-;-;-;-;-;-;-;-;2;26;-;-;-;-;-;18;-;2;-;-;-;-;8;-;-;-;-;-;-;-;-;4;-;64
"354270 Restinga";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354280 Ribeira";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354290 Ribeirão Bonito";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;3;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;14
"354300 Ribeirão Branco";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"354310 Ribeirão Corrente";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"354320 Ribeirão do Sul";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354323 Ribeirão dos Índios";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354325 Ribeirão Grande";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354330 Ribeirão Pires";-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;3;11;-;1;-;-;-;-;36;-;6;1;-;-;-;-;-;2;-;81
"354340 Ribeirão Preto";-;12;-;-;-;3;2;-;-;-;-;80;-;-;-;1;5;296;1;50;4;-;-;337;129;13;40;17;7;-;-;-;-;24;-;1021
"354360 Rifaina";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"354370 Rincão";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"354380 Rinópolis";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;10
"354390 Rio Claro";-;4;-;-;-;-;-;-;-;45;-;-;-;-;-;1;1;107;-;10;3;-;-;1;57;-;11;1;-;1;-;-;-;6;-;248
"354400 Rio das Pedras";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;1;10;-;1;2;-;-;-;9;-;-;-;-;-;-;1;-;1;-;34
"354410 Rio Grande da Serra";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;20
"354420 Riolândia";-;2;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;9
"354350 Riversul";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354425 Rosana";-;1;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;17
"354430 Roseira";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11
"354440 Rubiácea";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354450 Rubinéia";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354460 Sabino";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354470 Sagres";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354480 Sales";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354490 Sales Oliveira";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;6;-;5;-;-;-;-;-;-;1;2;-;-;-;-;-;3;-;26
"354500 Salesópolis";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;13
"354510 Salmourão";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354515 Saltinho";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354520 Salto";-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;39;-;10;2;-;-;-;6;-;2;-;-;-;-;-;-;3;-;89
"354530 Salto de Pirapora";-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;1;7;-;5;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;34
"354540 Salto Grande";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;7
"354550 Sandovalina";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354560 Santa Adélia";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;16
"354570 Santa Albertina";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"354580 Santa Bárbara d'Oeste";-;2;-;-;-;-;-;-;-;-;-;29;-;-;-;-;3;55;-;4;2;-;-;1;8;-;2;-;-;1;-;-;-;6;-;113
"354600 Santa Branca";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;1;-;10
"354610 Santa Clara d'Oeste";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354620 Santa Cruz da Conceição";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354625 Santa Cruz da Esperança";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"354630 Santa Cruz das Palmeiras";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;11;-;2;-;-;-;-;5;-;3;-;-;-;-;-;-;2;-;32
"354640 Santa Cruz do Rio Pardo";-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;19;-;16;-;-;-;-;6;-;2;-;-;1;-;-;-;4;-;67
"354650 Santa Ernestina";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354660 Santa Fé do Sul";-;1;-;-;-;-;-;-;-;-;1;22;-;-;-;-;-;33;-;11;-;-;-;-;10;-;2;-;-;-;-;-;-;3;-;83
"354670 Santa Gertrudes";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;8;-;1;1;-;-;-;1;-;-;-;-;-;-;1;-;2;-;27
"354680 Santa Isabel";-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;3;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;3;-;27
"354690 Santa Lúcia";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"354700 Santa Maria da Serra";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354710 Santa Mercedes";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354740 Santa Rita d'Oeste";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354750 Santa Rita do Passa Quatro";-;2;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;8;-;3;1;-;-;-;12;-;-;-;-;-;-;-;-;3;-;39
"354760 Santa Rosa de Viterbo";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;6;-;2;1;-;-;5;4;-;1;-;-;-;-;-;-;3;-;35
"354765 Santa Salete";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354720 Santana da Ponte Pensa";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354730 Santana de Parnaíba";-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;11;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;35
"354770 Santo Anastácio";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;5;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;2;-;17
"354780 Santo André";-;5;-;-;-;-;1;-;-;-;-;81;1;-;-;8;16;147;-;11;-;-;-;4;214;-;12;12;1;-;-;-;-;15;-;528
