"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"120-1 Fundo Público";"121-0 Consórcio Público de Direito Público (Associação Pública)";"122-8 Consórcio Público de Direito Privado";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"350090 Altair";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350100 Altinópolis";-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;20
"350110 Alto Alegre";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350115 Alumínio";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"350120 Álvares Florence";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350130 Álvares Machado";-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;3;-;-;-;-;-;-;-;3;-;17
"350140 Álvaro de Carvalho";-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350150 Alvinlândia";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350160 Americana";-;2;40;-;-;-;-;-;2;-;-;-;-;-;-;2;82;4;6;-;-;9;38;-;4;-;-;1;-;-;7;-;197
"350170 Américo Brasiliense";-;2;11;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;5;-;-;-;-;-;-;-;1;-;23
"350180 Américo de Campos";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350190 Amparo";-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;1;25;4;2;-;-;35;10;-;-;-;-;-;-;-;5;-;114
"350200 Analândia";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350210 Andradina";-;2;14;-;-;-;-;-;-;-;2;-;-;-;-;-;7;1;-;-;-;-;6;-;-;1;-;-;-;-;2;-;35
"350220 Angatuba";-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;-;-;-;1;-;-;-;-;-;-;-;1;-;18
"350230 Anhembi";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350240 Anhumas";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350250 Aparecida";-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;24
"350260 Aparecida d'Oeste";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;5
"350270 Apiaí";-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;1;-;-;-;-;-;-;1;1;-;25
"350275 Araçariguama";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;10
"350280 Araçatuba";-;6;48;-;5;-;-;-;-;-;-;-;-;-;1;-;78;11;3;-;-;-;60;-;1;-;1;1;-;-;10;-;225
"350290 Araçoiaba da Serra";-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"350300 Aramina";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350310 Arandu";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350315 Arapeí";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350320 Araraquara";-;7;83;-;3;-;-;-;-;-;-;-;-;-;-;-;64;8;7;-;-;101;51;-;1;-;1;1;-;-;14;-;341
"350330 Araras";-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;16;3;2;-;-;55;12;-;-;1;1;-;-;-;5;-;132
"350335 Arco-Íris";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350340 Arealva";-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;9
"350350 Areias";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350360 Areiópolis";-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"350370 Ariranha";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7
"350380 Artur Nogueira";-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;8;-;-;-;-;-;-;-;2;-;36
"350390 Arujá";-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;2;8;1;-;-;-;-;16;-;-;-;-;-;-;-;1;-;42
"350395 Aspásia";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350400 Assis";-;5;33;-;-;-;-;-;-;-;-;-;-;-;-;-;36;2;1;-;-;-;17;-;-;-;-;-;-;1;2;-;97
"350410 Atibaia";-;1;33;-;-;-;-;-;-;-;-;-;-;-;-;7;25;1;-;-;-;-;25;-;2;-;-;-;-;-;5;-;99
"350420 Auriflama";-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;7;1;-;-;-;-;2;-;-;-;-;-;-;-;2;-;22
"350430 Avaí";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;1;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;11
"350450 Avaré";-;4;26;-;-;-;-;-;-;-;-;-;-;-;-;-;25;3;4;-;-;-;8;-;-;-;-;-;-;1;2;-;73
"350460 Bady Bassitt";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"350470 Balbinos";-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350490 Bananal";-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"350500 Barão de Antonina";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350510 Barbosa";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350520 Bariri";-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;2;-;-;1;-;-;-;-;1;-;18
"350530 Barra Bonita";-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;9;2;-;-;-;-;4;-;-;-;-;-;-;1;2;-;29
"350535 Barra do Chapéu";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350540 Barra do Turvo";-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"350550 Barretos";-;5;36;-;1;-;-;-;-;-;-;-;-;-;-;-;21;2;-;-;-;12;27;-;-;-;3;1;-;1;6;-;115
"350560 Barrinha";-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;5;-;1;-;-;-;-;-;-;-;21
"350570 Barueri";-;-;37;-;-;-;-;-;-;-;-;-;-;-;3;4;36;4;-;-;-;2;82;-;4;2;-;-;-;-;1;-;175
"350580 Bastos";-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;6;-;-;-;-;-;-;-;2;-;22
"350590 Batatais";-;-;21;-;-;-;-;1;-;-;-;-;-;-;-;1;11;1;1;-;-;-;8;-;-;-;-;-;-;-;8;-;52
"350600 Bauru";-;15;84;-;2;-;-;-;-;-;-;-;-;-;-;1;133;11;1;-;-;1;45;-;4;-;2;1;-;-;8;-;308
"350610 Bebedouro";-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;1;14;3;5;-;-;34;9;-;1;-;1;-;-;-;2;-;97
"350620 Bento de Abreu";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350630 Bernardino de Campos";-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;2;-;11
"350635 Bertioga";-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;12;2;-;-;-;-;3;-;-;-;-;-;-;-;1;-;33
"350640 Bilac";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"350650 Birigui";-;2;23;-;-;-;-;-;-;-;-;-;-;-;-;-;33;5;1;-;-;-;13;-;-;-;-;-;-;-;3;-;80
"350660 Biritiba-Mirim";-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;16
"350670 Boa Esperança do Sul";-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11
"350680 Bocaina";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;9
"350690 Bofete";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350700 Boituva";-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;22;3;-;-;-;-;8;-;-;-;-;-;-;-;1;-;48
"350710 Bom Jesus dos Perdões";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;8
"350715 Bom Sucesso de Itararé";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350720 Borá";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350740 Borborema";-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1;-;-;-;-;4;-;-;-;-;-;-;-;1;-;20
"350745 Borebi";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350750 Botucatu";-;8;27;-;5;-;-;1;-;-;-;-;-;1;-;-;45;6;4;-;-;-;21;-;1;-;1;1;-;-;5;-;126
"350760 Bragança Paulista";-;2;2;-;-;-;-;-;-;47;-;-;-;-;-;-;25;3;1;-;-;37;44;2;2;1;-;1;-;-;6;1;174
"350770 Braúna";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350780 Brodowski";-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;14
"350790 Brotas";-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;-;-;-;-;3;-;-;-;-;-;-;1;4;-;22
"350800 Buri";-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;16
"350810 Buritama";-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2;-;-;-;-;1;-;-;-;-;-;-;-;2;-;19
"350820 Buritizal";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"350830 Cabrália Paulista";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350840 Cabreúva";-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;7;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;22
"350850 Caçapava";-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;1;20;1;2;-;-;-;38;-;-;-;2;-;-;-;2;-;92
"350860 Cachoeira Paulista";-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;3;-;-;-;1;-;-;-;2;-;29
"350870 Caconde";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;7;-;-;-;-;-;-;-;2;-;18
"350880 Cafelândia";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;15
"350890 Caiabu";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350900 Caieiras";-;1;20;-;-;-;-;-;-;-;-;-;-;-;1;1;8;1;-;-;-;-;15;-;1;-;-;-;-;-;3;-;51
"350910 Caiuá";-;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350920 Cajamar";-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;1;9;-;-;-;-;-;4;-;-;-;-;-;-;-;2;-;35
"350925 Cajati";-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;19
"350930 Cajobi";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;-;-;-;-;-;-;2;-;10
"350940 Cajuru";-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1;-;-;-;-;4;-;-;-;-;-;-;-;2;-;26
"350945 Campina do Monte Alegre";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";-;5;132;-;1;1;-;3;-;-;-;-;-;-;2;10;287;4;5;-;-;14;352;-;15;1;3;2;-;-;26;1;864
"350960 Campo Limpo Paulista";-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;1;9;-;-;-;-;-;8;-;-;-;-;-;-;-;2;-;33
"350970 Campos do Jordão";-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1;1;-;-;-;-;-;-;-;1;-;-;-;2;-;28
"350980 Campos Novos Paulista";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351000 Cândido Mota";-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;8;5;-;-;-;-;1;-;-;-;-;-;-;1;2;-;27
"351010 Cândido Rodrigues";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351015 Canitar";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;4;-;-;-;-;-;-;-;2;-;29
"351030 Capela do Alto";-;2;9;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"351040 Capivari";-;-;14;-;-;-;-;-;-;-;-;-;-;-;2;1;17;3;2;-;-;1;20;-;-;-;-;-;-;2;2;-;64
"351050 Caraguatatuba";-;3;40;-;-;-;-;1;-;-;-;-;-;-;-;-;30;1;-;-;-;-;9;-;1;1;-;-;-;-;2;-;88
"351060 Carapicuíba";-;2;34;-;-;-;-;-;-;-;-;-;-;-;-;2;19;1;-;-;-;-;24;-;1;-;-;-;-;-;1;-;84
"351070 Cardoso";-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;13
"351080 Casa Branca";-;5;12;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;6;-;-;-;-;-;-;-;2;-;29
"351090 Cássia dos Coqueiros";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"351110 Catanduva";-;1;42;-;-;-;-;-;-;-;-;-;-;-;-;-;49;16;5;-;-;2;45;-;2;-;7;-;-;-;8;-;177
"351120 Catiguá";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351130 Cedral";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;12
"351140 Cerqueira César";-;1;7;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;13
"351150 Cerquilho";-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;1;8;-;-;-;-;-;10;-;-;-;-;-;-;1;1;-;34
"351160 Cesário Lange";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;9
"351170 Charqueada";-;-;7;-;-;-;-;-;-;1;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;17
"355720 Chavantes";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;2;-;11
"351190 Clementina";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3
"351200 Colina";-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;14
"351210 Colômbia";-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;10
"351220 Conchal";-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;2;7;-;-;-;-;-;-;1;1;-;25
"351230 Conchas";-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;10;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;24
"351240 Cordeirópolis";-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;22
"351250 Coroados";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;2;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351270 Corumbataí";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351280 Cosmópolis";-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;9;-;-;-;1;-;-;-;4;-;43
"351290 Cosmorama";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351300 Cotia";-;1;49;-;-;-;-;-;-;-;-;-;-;-;2;1;20;-;-;-;-;-;25;-;1;-;-;-;-;-;3;-;102
"351310 Cravinhos";-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;1;-;-;-;-;-;-;-;2;-;21
"351320 Cristais Paulista";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351330 Cruzália";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351340 Cruzeiro";-;-;31;-;-;-;-;-;-;1;-;-;-;-;-;-;36;4;1;-;-;12;71;-;-;2;-;-;-;-;5;-;163
"351350 Cubatão";-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;3;22;-;-;-;-;-;12;-;-;-;-;1;-;-;3;-;78
"351360 Cunha";-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;4;-;17
"351370 Descalvado";-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;17;2;-;-;-;1;1;-;-;-;-;-;-;-;3;-;43
"351380 Diadema";-;1;63;-;-;-;-;-;-;-;-;-;-;-;-;3;23;1;1;-;-;-;37;-;1;1;-;-;-;-;2;-;133
"351385 Dirce Reis";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351390 Divinolândia";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;13
"351400 Dobrada";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351410 Dois Córregos";-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;6;-;-;-;-;-;-;-;2;-;19
"351420 Dolcinópolis";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"351440 Dracena";-;2;14;-;-;-;-;-;-;-;-;1;1;-;-;-;16;1;2;-;-;-;4;-;2;-;-;-;-;-;2;-;45
"351450 Duartina";-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;4;3;-;-;-;-;1;-;-;-;-;-;-;-;2;-;17
"351460 Dumont";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351470 Echaporã";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351480 Eldorado";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
