"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"120-1 Fundo Público";"121-0 Consórcio Público de Direito Público (Associação Pública)";"122-8 Consórcio Público de Direito Privado";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"354460 Sabino";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354470 Sagres";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354480 Sales";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354490 Sales Oliveira";-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2;-;-;-;1;-;-;-;-;-;-;-;-;3;-;18
"354500 Salesópolis";-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11
"354510 Salmourão";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354515 Saltinho";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354520 Salto";-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;29;7;2;-;-;-;6;-;1;-;-;-;-;-;3;-;70
"354530 Salto de Pirapora";-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;1;5;2;-;-;1;-;1;-;-;-;-;-;-;-;1;-;24
"354540 Salto Grande";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;5
"354550 Sandovalina";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354560 Santa Adélia";-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"354570 Santa Albertina";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"354580 Santa Bárbara d'Oeste";-;2;23;-;-;-;-;-;-;-;-;-;-;-;-;-;26;1;6;-;-;1;11;-;-;-;-;1;-;-;3;-;74
"354600 Santa Branca";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;9
"354610 Santa Clara d'Oeste";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354620 Santa Cruz da Conceição";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354625 Santa Cruz da Esperança";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"354630 Santa Cruz das Palmeiras";-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;13;2;-;-;-;-;6;-;1;-;-;-;-;-;2;-;33
"354640 Santa Cruz do Rio Pardo";-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;15;9;-;-;-;-;7;-;-;-;-;1;-;2;4;-;56
"354650 Santa Ernestina";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354660 Santa Fé do Sul";-;1;22;-;-;-;-;-;-;-;-;-;-;-;-;-;20;7;-;-;-;-;11;-;-;-;1;-;-;-;3;-;65
"354670 Santa Gertrudes";-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;7;1;1;-;-;-;4;-;-;-;-;-;-;1;2;-;30
"354680 Santa Isabel";-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;3;-;24
"354690 Santa Lúcia";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"354700 Santa Maria da Serra";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354710 Santa Mercedes";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354740 Santa Rita d'Oeste";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354750 Santa Rita do Passa Quatro";-;3;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10;2;1;-;-;-;12;-;-;-;-;-;-;-;2;-;40
"354760 Santa Rosa de Viterbo";-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1;1;-;-;6;4;-;-;-;1;-;-;-;3;-;30
"354765 Santa Salete";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354720 Santana da Ponte Pensa";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354730 Santana de Parnaíba";-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;1;4;1;-;-;-;-;6;-;-;-;-;-;-;-;1;-;33
"354770 Santo Anastácio";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;14
"354780 Santo André";-;6;65;-;-;1;-;-;18;-;-;-;-;-;3;14;114;8;2;-;-;3;295;-;3;1;2;1;-;-;9;-;545
"354790 Santo Antônio da Alegria";-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;12
"354800 Santo Antônio de Posse";-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;14
"354805 Santo Antônio do Aracanguá";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354810 Santo Antônio do Jardim";-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"354820 Santo Antônio do Pinhal";-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"354830 Santo Expedito";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354840 Santópolis do Aguapeí";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354850 Santos";-;8;78;-;1;-;-;-;-;-;-;-;-;-;1;8;196;11;6;-;-;-;152;-;4;2;-;-;-;8;13;1;489
"354860 São Bento do Sapucaí";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;8
"354870 São Bernardo do Campo";-;1;99;-;-;1;-;-;-;-;-;-;-;-;5;22;133;8;5;-;-;11;267;-;2;4;1;1;-;-;18;-;578
"354880 São Caetano do Sul";-;-;41;-;-;1;-;-;1;-;-;-;-;-;-;3;72;5;-;-;-;6;196;-;4;5;1;1;-;1;4;-;341
"354890 São Carlos";-;1;48;-;-;-;-;1;-;-;-;-;-;-;-;-;35;1;3;-;-;96;49;-;-;-;1;1;-;1;4;-;241
"354900 São Francisco";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354910 São João da Boa Vista";-;4;30;-;1;1;-;-;-;-;-;-;-;-;-;-;53;10;2;-;-;2;9;-;1;-;-;-;-;3;8;-;124
"354920 São João das Duas Pontes";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354925 São João de Iracema";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354930 São João do Pau d'Alho";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354940 São Joaquim da Barra";-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;26;23;1;-;-;16;8;-;-;-;-;-;-;-;3;-;96
"354950 São José da Bela Vista";-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"354960 São José do Barreiro";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354970 São José do Rio Pardo";-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;25;4;2;-;-;18;22;-;2;1;-;-;-;-;2;-;96
"354980 São José do Rio Preto";-;11;76;-;2;-;-;1;-;-;-;-;-;-;1;-;286;17;6;-;-;17;232;-;4;2;3;1;-;-;11;-;670
"354990 São José dos Campos";1;6;82;-;2;-;-;-;1;-;-;-;-;1;-;7;157;10;5;-;-;1;322;-;4;1;1;1;-;-;21;-;623
"354995 São Lourenço da Serra";-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;9
"355000 São Luís do Paraitinga";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7
"355010 São Manuel";-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;2;10;2;-;-;-;-;1;-;1;-;-;-;-;-;3;-;29
"355020 São Miguel Arcanjo";-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;9;5;-;-;-;-;1;-;-;-;-;-;-;-;4;-;31
"355030 São Paulo";2;90;1055;1;6;6;10;38;-;-;-;-;1;6;142;119;1998;224;18;-;-;70;5470;-;111;108;16;4;-;7;215;-;9717
"355040 São Pedro";-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;1;-;-;-;1;-;1;-;-;-;-;-;2;-;24
"355050 São Pedro do Turvo";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355060 São Roque";-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;22;12;4;-;-;16;20;-;2;-;-;-;-;-;8;-;101
"355070 São Sebastião";-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;1;15;2;-;1;-;-;9;-;-;-;-;-;-;-;2;-;64
"355080 São Sebastião da Grama";-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;12
"355090 São Simão";-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;2;2;-;-;-;-;-;-;-;2;-;19
"355100 São Vicente";-;3;67;-;1;-;-;-;-;-;-;-;-;-;-;3;40;3;-;-;-;1;12;-;1;-;2;-;-;-;5;-;138
"355110 Sarapuí";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"355120 Sarutaiá";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355130 Sebastianópolis do Sul";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355140 Serra Azul";-;3;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"355160 Serra Negra";-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;1;-;-;4;-;-;-;-;-;-;-;-;1;-;38
"355150 Serrana";-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;-;-;-;2;2;-;-;-;-;-;-;-;2;-;29
"355170 Sertãozinho";-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;40;8;1;-;-;8;49;-;3;2;-;1;-;-;1;-;135
"355180 Sete Barras";-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"355190 Severínia";-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;12
"355200 Silveiras";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355210 Socorro";-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;6;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;29
"355220 Sorocaba";-;9;68;-;-;1;-;-;-;-;-;-;-;-;-;8;191;12;2;-;-;2;123;-;4;-;2;2;-;-;25;-;449
"355230 Sud Mennucci";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"355240 Sumaré";-;2;35;-;-;-;-;-;-;-;-;-;-;-;-;-;37;5;-;-;-;1;17;-;2;-;-;-;-;-;4;-;103
"355255 Suzanápolis";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3
"355250 Suzano";-;1;43;-;-;-;-;-;-;-;-;-;-;-;2;2;41;3;-;-;-;-;46;-;-;-;-;-;-;-;4;-;142
"355260 Tabapuã";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;2;-;10
"355270 Tabatinga";-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;15
"355280 Taboão da Serra";-;2;37;-;-;-;-;-;-;-;-;-;-;-;1;1;14;4;-;-;-;1;25;-;-;-;-;-;-;-;-;-;85
"355290 Taciba";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355300 Taguaí";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;10
"355310 Taiaçu";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;7
"355320 Taiúva";-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;3;-;-;-;-;-;-;-;-;-;12
"355330 Tambaú";-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;3;-;-;-;-;-;-;-;3;-;24
"355340 Tanabi";-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;11;1;-;-;-;-;5;-;-;-;-;-;-;-;2;-;31
"355350 Tapiraí";-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"355360 Tapiratiba";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;8
"355365 Taquaral";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355370 Taquaritinga";-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2;1;-;-;13;15;-;2;-;-;-;-;1;3;-;64
"355380 Taquarituba";-;1;8;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;15
"355385 Taquarivaí";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355390 Tarabai";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"355395 Tarumã";-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"355400 Tatuí";-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;53;5;5;-;-;-;10;-;-;-;-;-;-;1;4;-;116
"355410 Taubaté";-;6;55;-;-;-;-;1;-;-;-;-;-;-;-;1;178;4;-;-;-;1;42;-;1;-;-;1;-;-;5;-;295
"355420 Tejupá";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355430 Teodoro Sampaio";-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;3;-;-;-;-;-;-;-;3;-;22
"355440 Terra Roxa";-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"355450 Tietê";-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;12;3;1;-;-;-;11;-;-;-;-;-;-;1;1;-;43
"355460 Timburi";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355465 Torre de Pedra";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355470 Torrinha";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"355475 Trabiju";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355480 Tremembé";-;4;13;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;28
"355490 Três Fronteiras";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355495 Tuiuti";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355500 Tupã";-;2;22;-;-;-;-;-;-;-;-;-;-;-;-;-;42;6;-;-;-;-;9;-;-;-;-;-;-;-;4;-;85
"355510 Tupi Paulista";-;2;7;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;13
"355520 Turiúba";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355530 Turmalina";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355535 Ubarana";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355540 Ubatuba";-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1;-;-;-;-;4;-;-;-;-;-;-;-;1;-;40
"355550 Ubirajara";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"355560 Uchoa";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;11
"355570 União Paulista";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
