"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"105-8 Órgão Público do Poder Legislativo Estadual ou do Distrito Federal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"121-0 Consórcio Público de Direito Público (Associação Pública)";"122-8 Consórcio Público de Direito Privado";"124-4 Município";"127-9 Fundação Pública de Direito Privado Municipal";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"322-0 Organização Religiosa";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"350240 Anhumas";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350250 Aparecida";-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;26
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7
"350270 Apiaí";-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;4;2;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;29
"350275 Araçariguama";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;11
"350280 Araçatuba";-;7;-;-;-;5;-;-;2;-;-;-;47;-;-;-;-;-;97;26;3;-;-;1;49;-;5;1;-;1;-;-;-;12;-;256
"350290 Araçoiaba da Serra";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;7;1;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;25
"350300 Aramina";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350310 Arandu";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350315 Arapeí";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350320 Araraquara";-;7;-;-;-;4;-;-;-;-;-;-;82;1;-;-;-;-;92;16;7;-;-;116;53;-;11;1;2;1;-;1;-;16;-;410
"350330 Araras";-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;22;1;1;-;-;65;14;-;2;3;1;-;-;-;-;5;-;153
"350335 Arco-Íris";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350340 Arealva";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;11
"350350 Areias";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350360 Areiópolis";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"350370 Ariranha";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7
"350380 Artur Nogueira";-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;7;-;-;-;-;-;8;-;1;-;-;-;-;-;-;3;-;41
"350390 Arujá";-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;2;9;2;-;-;-;-;15;-;2;-;-;-;-;-;-;1;-;46
"350395 Aspásia";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350400 Assis";-;5;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;58;49;1;-;-;-;21;-;5;1;-;-;-;1;-;2;-;183
"350410 Atibaia";-;1;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;7;41;7;-;-;-;5;32;-;3;3;-;-;-;-;-;8;-;139
"350420 Auriflama";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;7;2;-;-;-;-;1;-;1;-;-;-;-;-;-;2;-;24
"350430 Avaí";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;1;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;13
"350450 Avaré";-;4;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;31;4;4;-;-;-;7;-;1;-;-;-;-;1;-;3;-;84
"350460 Bady Bassitt";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"350470 Balbinos";-;2;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350490 Bananal";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"350500 Barão de Antonina";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350510 Barbosa";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350520 Bariri";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;4;2;-;-;-;-;4;-;1;1;-;-;-;1;-;2;-;25
"350530 Barra Bonita";-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;13;3;-;-;-;-;4;-;1;-;-;-;-;-;-;2;-;35
"350535 Barra do Chapéu";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350540 Barra do Turvo";-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"350550 Barretos";-;5;-;-;-;1;-;-;-;-;-;-;36;-;-;-;-;-;28;5;1;-;-;13;28;-;3;-;3;1;-;1;-;6;-;131
"350560 Barrinha";-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;4;-;2;-;-;1;6;-;1;-;-;-;-;-;-;-;-;28
"350570 Barueri";-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;5;3;64;12;-;-;-;5;94;-;8;7;-;-;-;-;-;2;-;242
"350580 Bastos";-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;4;1;-;-;-;-;6;-;-;-;-;-;-;-;-;2;-;29
"350590 Batatais";-;-;-;-;-;-;-;-;1;-;-;-;21;-;-;-;-;1;16;3;1;-;-;-;7;-;2;-;-;-;-;-;-;5;-;57
"350600 Bauru";1;13;-;-;-;3;-;-;-;-;-;-;80;-;-;-;-;3;176;41;3;-;-;2;40;-;11;-;3;1;-;-;-;11;-;388
"350610 Bebedouro";-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;1;17;6;5;-;-;32;11;-;3;-;1;-;-;-;-;2;-;107
"350620 Bento de Abreu";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350630 Bernardino de Campos";-;1;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;13
"350635 Bertioga";-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;1;11;6;-;-;-;-;1;-;2;-;-;-;-;-;-;1;-;39
"350640 Bilac";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"350650 Birigui";-;1;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;45;10;1;-;-;-;14;-;4;-;-;-;-;-;-;4;-;105
"350660 Biritiba-Mirim";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;1;1;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;18
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"350680 Bocaina";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;10
"350690 Bofete";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350700 Boituva";-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;24;2;-;-;-;-;9;-;-;-;1;-;-;-;-;1;-;53
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;7
"350715 Bom Sucesso de Itararé";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350720 Borá";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350740 Borborema";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;4;1;-;-;-;-;4;-;-;-;-;-;-;-;-;2;-;20
"350745 Borebi";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350750 Botucatu";-;9;-;-;-;4;-;-;1;-;-;-;30;-;-;1;-;-;50;12;5;-;-;1;19;-;2;1;2;1;-;-;-;5;-;143
"350760 Bragança Paulista";-;2;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;56;8;1;-;-;34;46;2;4;3;-;1;-;-;-;8;-;221
"350770 Braúna";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350780 Brodowski";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;5;1;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;21
"350790 Brotas";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;3;1;-;-;-;-;3;-;1;-;-;-;-;1;-;4;-;22
"350800 Buri";-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;16
"350810 Buritama";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;6;3;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;21
"350820 Buritizal";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350830 Cabrália Paulista";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350840 Cabreúva";-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;1;7;1;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;27
"350850 Caçapava";-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;1;36;5;3;-;-;2;41;-;-;-;2;-;-;-;-;3;-;126
"350860 Cachoeira Paulista";-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;1;-;6;2;-;-;-;-;3;-;-;-;-;-;-;-;-;2;-;31
"350870 Caconde";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;2;1;-;-;-;-;7;-;1;-;-;-;-;-;-;2;-;23
"350880 Cafelândia";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;6;1;-;-;-;-;3;-;-;-;-;-;-;-;-;1;-;18
"350890 Caiabu";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350900 Caieiras";-;1;-;-;-;-;-;-;-;-;-;-;21;-;-;-;1;1;12;3;-;-;-;-;15;-;3;-;-;-;-;-;-;3;-;60
"350910 Caiuá";-;1;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350920 Cajamar";-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;1;14;1;-;-;-;-;6;-;3;1;-;-;-;-;-;3;-;41
"350925 Cajati";-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;2;4;3;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;25
"350930 Cajobi";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;10
"350940 Cajuru";-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;11;4;-;-;-;-;6;-;-;-;-;-;-;-;-;2;-;39
"350945 Campina do Monte Alegre";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";-;5;-;-;-;1;1;-;4;-;-;-;134;-;-;1;1;9;379;15;8;-;-;13;369;-;49;13;4;-;-;-;-;28;1;1035
"350960 Campo Limpo Paulista";-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;1;7;-;-;-;-;-;5;-;-;-;-;-;-;-;-;2;-;35
"350970 Campos do Jordão";-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;10;5;-;-;-;5;-;-;1;-;-;-;-;-;-;2;-;45
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351000 Cândido Mota";-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;10;12;-;-;-;-;1;-;3;-;-;-;-;1;-;2;-;41
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351015 Canitar";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351020 Capão Bonito";-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;6;-;-;-;-;-;-;-;-;3;-;33
"351030 Capela do Alto";-;2;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;15
"351040 Capivari";-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;19;7;1;-;-;1;14;-;1;1;-;-;-;2;-;2;-;66
"351050 Caraguatatuba";-;3;-;-;-;-;-;-;1;-;-;-;43;-;-;-;-;-;51;2;1;-;-;-;8;-;6;1;-;-;-;-;-;4;-;120
"351060 Carapicuíba";-;2;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;2;24;-;-;-;-;1;21;-;2;2;-;-;-;-;-;1;-;93
"351070 Cardoso";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;15
"351080 Casa Branca";-;4;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;3;2;-;-;-;-;5;-;2;-;-;-;-;-;-;2;-;30
"351090 Cássia dos Coqueiros";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;9;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;15
"351110 Catanduva";-;1;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;84;39;5;-;-;2;48;-;6;-;4;-;-;-;-;8;-;242
"351120 Catiguá";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351130 Cedral";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;6;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;15
"351140 Cerqueira César";-;2;-;-;-;-;-;-;1;-;-;-;6;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;15
"351150 Cerquilho";-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;1;12;-;-;-;-;-;9;-;1;1;-;-;-;1;-;2;-;41
"351160 Cesário Lange";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;9
"351170 Charqueada";-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;14
"355720 Chavantes";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;2;-;11
"351190 Clementina";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7
"351200 Colina";-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;3;1;-;-;-;-;2;1;-;-;-;-;-;-;-;1;-;16
"351210 Colômbia";-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"351220 Conchal";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;3;-;1;-;-;2;6;-;-;-;-;-;-;1;-;1;-;27
"351230 Conchas";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;7;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;22
"351240 Cordeirópolis";-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;24
"351250 Coroados";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351270 Corumbataí";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351280 Cosmópolis";-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;5;-;-;-;-;-;7;-;2;1;1;-;-;-;-;3;-;42
"351290 Cosmorama";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351300 Cotia";-;1;-;-;-;-;-;-;-;-;-;-;44;-;-;-;2;-;32;7;-;-;-;-;25;-;4;1;-;-;-;-;-;3;-;119
"351310 Cravinhos";-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;5;1;-;-;-;1;1;-;-;-;-;-;-;-;-;2;-;27
"351320 Cristais Paulista";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"351330 Cruzália";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351340 Cruzeiro";-;-;-;-;-;-;1;-;-;-;-;-;28;-;-;-;1;1;36;6;1;-;-;21;68;-;-;2;-;-;-;-;-;5;-;170
"351350 Cubatão";-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;4;24;-;1;-;-;-;11;-;1;-;-;1;-;-;-;4;-;86
