"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"105-8 Órgão Público do Poder Legislativo Estadual ou do Distrito Federal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"121-0 Consórcio Público de Direito Público (Associação Pública)";"124-4 Município";"127-9 Fundação Pública de Direito Privado Municipal";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"212-7 Sociedade em Conta de Participação";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"232-1 Sociedade Unipessoal de Advogados";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"322-0 Organização Religiosa";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"354740 Santa Rita d'Oeste";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354750 Santa Rita do Passa Quatro";-;2;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;8;-;3;1;-;-;-;12;-;-;-;-;-;-;-;-;-;3;-;39
"354760 Santa Rosa de Viterbo";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;6;-;2;1;-;-;5;4;-;1;-;-;-;-;-;-;-;3;-;35
"354765 Santa Salete";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354720 Santana da Ponte Pensa";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354730 Santana de Parnaíba";-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;12;-;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;2;-;40
"354770 Santo Anastácio";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;6;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;2;-;17
"354780 Santo André";-;5;-;-;-;-;1;-;-;-;-;83;1;-;-;7;14;149;-;13;-;-;-;5;212;-;15;11;-;1;-;-;-;-;14;-;531
"354790 Santo Antônio da Alegria";-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;19
"354800 Santo Antônio de Posse";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;18
"354805 Santo Antônio do Aracanguá";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354810 Santo Antônio do Jardim";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"354820 Santo Antônio do Pinhal";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"354830 Santo Expedito";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354840 Santópolis do Aguapeí";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354850 Santos";-;8;-;-;-;1;-;-;-;-;-;79;-;-;-;2;9;257;-;27;7;-;-;7;161;-;29;5;-;-;-;-;8;-;20;-;620
"354860 São Bento do Sapucaí";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;1;-;13
"354870 São Bernardo do Campo";-;2;-;-;-;-;1;-;-;-;-;97;-;-;-;11;28;165;-;26;1;-;-;16;246;-;17;13;-;1;1;-;-;-;16;-;641
"354880 São Caetano do Sul";-;-;-;-;-;-;1;-;-;-;-;45;-;-;-;4;7;123;-;14;-;-;-;10;196;-;14;13;-;1;-;-;1;-;6;-;435
"354890 São Carlos";-;2;-;-;-;-;-;1;1;-;-;56;-;1;-;-;-;65;-;12;3;-;-;141;40;-;9;34;-;-;-;-;1;-;5;-;371
"354900 São Francisco";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354910 São João da Boa Vista";-;4;-;-;-;1;2;-;-;-;-;31;-;-;-;-;-;74;-;17;3;-;-;2;14;-;10;1;-;-;-;-;3;-;8;-;170
"354920 São João das Duas Pontes";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354925 São João de Iracema";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354930 São João do Pau d'Alho";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354940 São Joaquim da Barra";-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;39;-;40;-;-;-;17;7;-;2;1;-;-;-;-;-;-;2;-;128
"354950 São José da Bela Vista";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"354960 São José do Barreiro";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"354970 São José do Rio Pardo";-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;33;-;13;3;-;-;20;22;-;7;1;-;-;-;-;-;-;3;-;124
"354980 São José do Rio Preto";-;12;-;-;-;2;-;-;1;-;-;74;-;-;-;1;-;338;-;35;7;-;-;30;221;-;30;7;-;2;-;-;-;-;14;-;774
"354990 São José dos Campos";1;7;-;-;-;2;-;-;-;-;-;82;1;-;1;10;7;252;-;25;5;-;-;31;338;-;25;7;-;1;1;-;-;-;29;-;825
"354995 São Lourenço da Serra";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;10
"355000 São Luís do Paraitinga";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"355010 São Manuel";-;-;1;-;-;-;-;-;-;-;-;11;-;-;-;-;1;14;-;4;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;35
"355020 São Miguel Arcanjo";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;9;-;5;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3;-;30
"355030 São Paulo";2;90;1060;1;3;7;1;10;24;-;-;-;-;2;1;263;229;3283;-;555;16;-;-;1392;4786;-;522;374;-;20;4;-;7;1;270;-;12923
"355040 São Pedro";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;10;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;4;-;31
"355050 São Pedro do Turvo";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"355060 São Roque";-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;29;-;16;4;-;-;13;15;-;9;8;-;-;-;-;-;-;10;-;123
"355070 São Sebastião";-;-;-;-;-;-;-;-;-;-;-;49;1;-;-;-;1;22;-;7;-;-;-;-;10;-;-;2;-;-;-;-;-;-;2;-;94
"355080 São Sebastião da Grama";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;13
"355090 São Simão";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;1;-;1;-;-;-;2;2;-;-;-;-;-;-;-;-;-;2;-;19
"355100 São Vicente";-;4;-;-;-;1;-;-;1;-;-;69;-;-;-;-;5;49;-;7;-;-;-;-;15;-;1;1;-;1;-;-;-;-;5;-;159
"355110 Sarapuí";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"355120 Sarutaiá";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355130 Sebastianópolis do Sul";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355140 Serra Azul";-;3;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"355160 Serra Negra";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;14;-;3;1;-;-;4;1;-;2;-;-;-;-;-;-;-;1;-;42
"355150 Serrana";-;1;-;-;-;-;-;-;-;-;-;18;-;-;-;-;1;8;-;1;-;-;-;1;3;-;2;-;-;-;-;-;-;-;2;-;37
"355170 Sertãozinho";-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;1;62;-;21;1;-;-;8;59;-;9;3;-;-;1;-;-;-;3;-;199
"355180 Sete Barras";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"355190 Severínia";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;3;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;13
"355200 Silveiras";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355210 Socorro";-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;8;-;3;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2;-;35
"355220 Sorocaba";-;11;-;-;-;1;1;-;2;-;-;71;-;-;-;2;11;311;-;41;3;-;-;6;111;-;23;3;-;2;1;-;-;-;32;-;632
"355230 Sud Mennucci";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6
"355240 Sumaré";-;2;-;-;-;-;-;-;-;-;-;41;-;-;-;1;-;47;-;6;1;-;-;1;17;-;4;1;-;-;-;-;-;-;6;-;127
"355255 Suzanápolis";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"355250 Suzano";-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;3;3;67;-;7;-;-;-;1;40;-;7;1;-;-;-;-;-;-;3;-;183
"355260 Tabapuã";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;12
"355270 Tabatinga";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;7;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;20
"355280 Taboão da Serra";-;2;-;-;-;-;-;-;-;-;-;39;-;-;-;1;3;21;-;6;-;-;-;1;22;-;8;-;-;-;-;-;-;-;1;-;104
"355290 Taciba";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355300 Taguaí";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;10
"355310 Taiaçu";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;8
"355320 Taiúva";-;1;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;4;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;11
"355330 Tambaú";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;14;-;3;-;-;-;-;3;-;-;-;-;-;-;-;-;-;3;-;38
"355340 Tanabi";-;-;-;-;-;-;-;-;1;-;-;13;-;-;-;-;-;12;-;3;-;-;-;-;4;-;-;-;-;-;-;-;-;-;2;-;35
"355350 Tapiraí";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"355360 Tapiratiba";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;3;-;14
"355365 Taquaral";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355370 Taquaritinga";-;1;-;-;-;-;-;-;1;-;-;20;-;-;-;-;-;7;-;3;1;-;-;10;16;-;3;4;-;-;-;-;1;-;5;-;72
"355380 Taquarituba";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;17
"355385 Taquarivaí";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"355390 Tarabai";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"355395 Tarumã";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;18
"355400 Tatuí";-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;63;-;9;6;-;-;-;9;-;6;-;-;-;-;-;1;-;5;-;136
"355410 Taubaté";-;6;-;-;-;-;1;-;1;-;-;79;-;-;-;-;1;245;-;14;1;-;-;2;41;-;9;-;-;-;1;-;-;-;5;-;406
"355420 Tejupá";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355430 Teodoro Sampaio";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;3;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;3;-;23
"355440 Terra Roxa";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;12
"355450 Tietê";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;17;-;4;2;-;-;-;12;-;3;-;-;-;-;-;1;-;1;-;54
"355460 Timburi";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355465 Torre de Pedra";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355470 Torrinha";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"355475 Trabiju";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355480 Tremembé";-;5;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;7;-;1;-;-;-;-;2;-;1;-;-;-;-;-;-;-;2;-;33
"355490 Três Fronteiras";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355495 Tuiuti";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355500 Tupã";-;2;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;59;-;14;-;-;-;-;7;-;4;-;-;-;-;-;-;-;7;-;125
"355510 Tupi Paulista";-;2;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;16
"355520 Turiúba";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355530 Turmalina";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355535 Ubarana";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355540 Ubatuba";1;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;5;-;2;-;-;-;-;5;-;-;-;-;-;-;-;-;-;1;-;46
"355550 Ubirajara";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"355560 Uchoa";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"355570 União Paulista";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355580 Urânia";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;8
"355590 Uru";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355600 Urupês";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;4;-;7;-;-;-;-;1;-;2;-;-;-;-;-;-;-;1;-;22
"355610 Valentim Gentil";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"355620 Valinhos";-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;46;-;3;-;-;-;2;18;-;10;3;-;-;-;-;1;-;5;-;120
"355630 Valparaíso";-;2;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;4;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;20
"355635 Vargem";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355640 Vargem Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;4;-;2;-;-;-;-;6;-;2;-;-;-;-;-;-;-;4;-;35
"355645 Vargem Grande Paulista";-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;11;-;1;1;-;-;1;5;-;4;-;-;-;-;-;-;-;1;-;41
"355650 Várzea Paulista";-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;2;10;-;1;-;-;-;-;5;-;2;-;-;-;-;-;-;-;1;-;42
"355660 Vera Cruz";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"355670 Vinhedo";-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;42;-;1;-;-;-;1;22;-;4;1;-;-;-;-;-;-;6;-;96
"355680 Viradouro";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;5;-;1;-;-;-;4;2;-;-;-;-;-;-;-;-;-;2;-;29
"355690 Vista Alegre do Alto";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
