"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"350010 Adamantina";-;-;-;-;1;-;4;-;19;69;-;1;1;1;-;-;1;-;-;-;-;1;-;12;-;-;1;-;-;111
"350020 Adolfo";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"350030 Aguaí";-;-;-;-;-;-;5;-;4;21;-;4;-;1;-;-;1;-;-;-;1;1;-;4;-;-;-;-;-;42
"350040 Águas da Prata";-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;7
"350050 Águas de Lindóia";-;-;-;-;1;-;4;-;4;12;-;-;-;1;-;-;1;-;-;-;-;1;-;5;-;-;-;-;-;29
"350055 Águas de Santa Bárbara";-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;7
"350060 Águas de São Pedro";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;-;-;6
"350070 Agudos";-;-;-;-;1;-;7;-;4;18;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;33
"350075 Alambari";-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;8
"350080 Alfredo Marcondes";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"350090 Altair";-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"350100 Altinópolis";-;-;-;-;-;-;8;-;2;19;-;1;-;1;-;-;1;-;-;-;-;1;-;1;1;-;-;-;-;35
"350110 Alto Alegre";-;-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
"350115 Alumínio";-;-;-;-;-;-;2;-;1;3;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;1;-;-;10
"350120 Álvares Florence";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"350130 Álvares Machado";-;-;-;-;-;-;7;-;2;3;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;16
"350140 Álvaro de Carvalho";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"350150 Alvinlândia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"350160 Americana";-;-;-;-;2;-;24;1;20;455;-;1;2;5;1;-;1;-;-;-;-;1;-;36;-;-;1;-;-;550
"350170 Américo Brasiliense";1;-;-;-;-;-;2;-;6;8;-;1;-;2;-;-;-;-;-;-;-;1;-;1;1;1;1;-;-;25
"350180 Américo de Campos";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"350190 Amparo";6;-;2;-;2;-;12;-;32;136;-;-;2;2;-;-;2;3;1;-;-;1;-;22;-;-;-;-;-;223
"350200 Analândia";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350210 Andradina";-;-;1;-;1;-;6;-;5;101;-;-;-;1;-;1;1;-;-;-;1;1;-;8;-;-;-;-;-;127
"350220 Angatuba";-;-;-;-;1;-;6;-;-;13;-;-;-;1;-;-;1;-;-;-;-;1;-;4;-;-;1;-;-;28
"350230 Anhembi";-;-;-;-;-;-;2;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;8
"350240 Anhumas";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"350250 Aparecida";-;-;-;-;-;-;2;-;3;9;-;2;-;1;-;-;-;6;-;-;-;1;-;5;-;-;1;-;-;30
"350260 Aparecida d'Oeste";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;6
"350270 Apiaí";-;-;-;-;1;-;8;-;3;20;-;-;-;1;-;-;1;-;-;-;-;1;-;4;-;-;-;-;-;39
"350275 Araçariguama";-;-;-;-;-;-;1;-;3;4;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;11
"350280 Araçatuba";-;-;-;1;1;-;22;-;93;327;2;1;5;3;-;1;3;-;2;-;-;2;-;28;-;-;-;5;-;496
"350290 Araçoiaba da Serra";-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;2;-;-;1;-;-;10
"350300 Aramina";-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;5
"350310 Arandu";-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;5
"350315 Arapeí";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;4
"350320 Araraquara";-;1;-;-;2;-;31;2;78;394;-;6;2;3;1;-;10;-;-;-;4;2;-;16;3;-;11;2;-;568
"350330 Araras";-;-;-;-;1;-;25;-;27;229;-;-;1;3;-;-;1;-;1;-;-;1;-;9;2;-;-;-;-;300
"350335 Arco-Íris";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"350340 Arealva";-;-;-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
"350350 Areias";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"350360 Areiópolis";-;-;-;-;-;-;3;-;1;10;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;1;-;-;18
"350370 Ariranha";-;-;-;-;-;-;2;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;8
"350380 Artur Nogueira";-;-;-;-;1;-;15;1;5;23;-;1;-;1;-;-;3;1;-;-;1;1;-;2;1;-;-;-;-;56
"350390 Arujá";-;-;-;-;1;-;6;-;10;19;-;-;-;2;-;-;-;-;1;-;-;1;-;7;-;-;-;1;-;48
"350395 Aspásia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"350400 Assis";-;-;-;-;1;-;20;1;16;154;-;1;-;4;4;-;6;1;-;-;1;1;-;20;1;-;-;-;-;231
"350410 Atibaia";-;-;-;-;-;-;18;-;10;130;-;-;-;3;-;-;11;1;-;-;-;1;-;21;-;-;1;1;-;197
"350420 Auriflama";1;-;-;-;-;-;3;-;-;11;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;19
"350430 Avaí";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;-;-;-;-;-;4;-;1;6;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;13
"350450 Avaré";-;1;-;-;-;-;16;-;9;136;1;-;-;1;-;-;-;-;1;-;-;1;-;13;1;-;2;1;-;183
"350460 Bady Bassitt";-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;6
"350470 Balbinos";-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"350490 Bananal";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;6
"350500 Barão de Antonina";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"350510 Barbosa";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"350520 Bariri";-;-;-;-;1;-;7;-;1;32;-;-;-;1;-;-;1;-;-;-;-;1;-;5;-;-;-;-;-;49
"350530 Barra Bonita";-;-;-;-;1;-;6;-;1;53;-;-;-;1;-;-;-;-;-;-;-;1;-;6;-;-;-;-;-;69
"350535 Barra do Chapéu";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3
"350540 Barra do Turvo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;1;-;-;-;-;-;-;-;6
"350550 Barretos";-;1;-;-;1;-;16;-;19;158;-;2;2;2;1;-;4;-;1;-;-;2;-;7;-;-;3;-;-;219
"350560 Barrinha";-;-;-;-;-;-;4;-;1;3;-;-;-;-;-;-;3;-;-;-;-;1;-;2;-;1;-;-;-;15
"350570 Barueri";-;-;-;-;3;-;17;-;51;90;-;-;-;3;-;-;7;-;-;2;3;1;-;12;-;-;-;-;-;189
"350580 Bastos";-;-;-;-;-;-;1;1;4;6;-;-;-;1;-;-;-;5;-;-;1;1;-;3;-;-;-;-;-;23
"350590 Batatais";-;-;-;-;1;-;8;-;9;163;-;1;-;1;-;-;3;-;1;-;1;1;-;9;-;-;2;-;-;200
"350600 Bauru";-;1;-;-;3;-;23;1;71;383;-;1;3;7;1;1;16;-;2;-;1;2;-;27;-;-;1;1;-;545
"350610 Bebedouro";-;-;-;-;2;-;16;1;47;105;-;1;-;3;-;-;4;-;-;-;-;1;-;10;-;-;-;-;-;190
"350620 Bento de Abreu";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;4
"350630 Bernardino de Campos";-;-;-;-;-;-;3;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;10
"350635 Bertioga";-;-;-;-;1;-;5;-;8;5;-;-;-;1;-;-;1;-;-;-;-;1;-;5;1;-;-;1;-;29
"350640 Bilac";-;-;-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;8
"350650 Birigui";-;-;-;-;-;-;10;-;22;78;-;1;1;2;-;-;3;-;-;-;-;1;-;12;-;-;-;-;-;130
"350660 Biritiba-Mirim";-;-;-;-;-;-;6;1;2;9;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;21
"350670 Boa Esperança do Sul";-;-;-;-;-;-;4;-;-;6;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;14
"350680 Bocaina";-;-;-;-;-;-;4;-;2;7;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;16
"350690 Bofete";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"350700 Boituva";-;-;-;-;1;-;6;-;12;40;-;1;-;1;-;-;1;1;-;-;-;1;-;4;-;-;-;1;-;69
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;-;1;8;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;1;-;-;-;14
"350715 Bom Sucesso de Itararé";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"350720 Borá";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350740 Borborema";-;-;-;-;-;-;5;-;3;14;-;-;-;1;-;-;1;-;-;-;1;1;-;2;-;-;-;-;-;28
"350745 Borebi";-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"350750 Botucatu";-;1;-;-;3;-;14;1;22;400;-;1;1;2;-;-;3;-;1;-;-;3;-;6;1;-;2;1;-;462
"350760 Bragança Paulista";-;1;2;-;2;-;25;1;83;140;-;1;-;3;1;-;2;4;-;-;1;1;-;17;1;-;2;3;-;290
"350770 Braúna";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350780 Brodowski";-;-;-;-;-;-;3;-;1;26;-;-;-;-;-;-;3;-;-;-;-;1;-;4;-;-;-;-;-;38
"350790 Brotas";-;-;-;-;-;-;4;-;3;31;-;-;-;1;-;-;1;-;-;-;-;1;-;2;-;-;-;-;-;43
"350800 Buri";-;-;-;-;1;-;3;-;-;2;-;-;-;-;-;-;-;3;-;-;1;1;-;1;-;-;-;-;-;12
"350810 Buritama";1;-;-;-;1;-;2;-;3;2;-;1;-;1;-;-;-;-;-;-;1;1;-;3;-;-;-;-;-;16
"350820 Buritizal";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;4
"350830 Cabrália Paulista";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3
"350840 Cabreúva";-;-;-;-;-;-;3;-;2;5;-;-;-;1;-;-;2;-;1;-;-;1;-;3;-;-;-;-;-;18
"350850 Caçapava";-;-;1;-;2;-;16;-;7;181;-;2;1;3;-;-;1;-;-;-;-;1;-;3;-;-;-;-;-;218
"350860 Cachoeira Paulista";-;-;-;-;-;-;10;-;4;28;-;1;-;1;-;-;3;-;-;-;1;1;-;2;-;-;-;-;-;51
"350870 Caconde";-;-;-;-;-;-;2;-;3;17;-;1;-;1;-;-;-;1;-;-;-;1;-;4;-;-;-;-;-;30
"350880 Cafelândia";-;-;-;-;-;-;4;-;1;21;-;-;-;1;-;-;1;-;-;-;-;1;-;3;-;-;-;-;-;32
"350890 Caiabu";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3
"350900 Caieiras";-;-;-;-;-;-;6;-;14;8;-;-;-;1;-;-;4;5;-;-;-;-;-;2;2;1;-;-;-;43
"350910 Caiuá";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"350920 Cajamar";-;-;-;-;-;-;9;-;6;17;-;-;-;1;-;-;-;-;-;-;1;1;-;2;-;-;-;1;-;38
"350925 Cajati";-;-;-;-;-;-;5;-;3;14;-;-;-;1;-;-;-;1;-;-;-;1;-;3;-;-;-;-;-;28
"350930 Cajobi";-;-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;9
"350940 Cajuru";-;-;-;-;-;-;6;-;5;19;-;-;-;1;-;-;4;-;1;-;-;1;-;2;-;-;1;-;-;40
"350945 Campina do Monte Alegre";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"350950 Campinas";-;1;-;-;11;-;65;1;337;1411;1;4;7;20;9;1;49;5;3;-;1;7;-;108;-;-;19;-;-;2060
"350960 Campo Limpo Paulista";-;-;-;-;-;-;7;-;11;8;1;-;-;1;-;-;7;-;-;-;-;1;-;4;1;-;-;-;-;41
"350970 Campos do Jordão";-;-;-;-;1;-;3;-;3;24;-;-;-;3;-;-;1;10;-;-;1;1;-;3;-;-;-;-;-;50
"350980 Campos Novos Paulista";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351000 Cândido Mota";-;-;-;-;1;-;6;-;2;37;-;-;-;1;-;-;1;-;-;-;-;1;-;4;-;-;-;-;-;53
"351010 Cândido Rodrigues";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"351015 Canitar";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;-;-;-;1;-;11;-;6;18;-;-;-;1;-;-;2;-;-;-;-;1;-;4;-;-;-;-;-;44
"351030 Capela do Alto";-;-;-;-;-;-;3;-;1;3;-;-;-;-;-;-;1;1;-;-;-;1;-;1;-;-;-;-;-;11
"351040 Capivari";-;-;-;-;2;-;4;-;22;96;-;-;-;2;-;-;3;3;-;-;-;1;-;12;-;-;-;-;-;145
"351050 Caraguatatuba";-;-;-;-;1;-;11;-;17;68;-;-;-;2;2;-;5;1;-;-;-;1;-;9;1;-;5;-;-;123
"351060 Carapicuíba";-;-;-;-;3;-;12;-;14;24;-;-;-;3;-;-;9;-;-;-;2;-;-;7;2;1;-;2;-;79
"351070 Cardoso";-;-;-;-;-;-;5;-;1;7;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;1;-;-;19
"351080 Casa Branca";-;-;-;-;1;-;6;1;5;39;-;-;1;1;-;-;-;-;-;-;1;1;-;10;-;-;1;-;-;67
"351090 Cássia dos Coqueiros";1;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;1;-;-;9;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;13
"351110 Catanduva";-;1;-;-;-;-;22;-;74;192;-;2;1;3;1;-;2;-;-;-;-;1;-;17;-;-;8;-;-;324
"351120 Catiguá";-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;6
"351130 Cedral";-;-;-;-;-;-;2;-;2;5;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;1;-;-;13
"351140 Cerqueira César";-;-;-;-;-;-;5;-;1;8;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;17
"351150 Cerquilho";-;-;-;-;-;-;6;-;9;102;-;-;-;1;-;-;10;-;-;-;-;1;-;6;-;-;-;-;-;135
"351160 Cesário Lange";-;-;-;-;-;-;4;-;-;6;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;14
"351170 Charqueada";-;-;-;-;-;-;4;-;2;6;-;-;-;1;-;-;4;-;-;-;-;1;-;1;-;-;-;-;-;19
"355720 Chavantes";-;-;-;-;1;-;3;-;1;9;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;17
"351190 Clementina";-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"351200 Colina";-;-;-;-;-;-;5;-;13;25;-;-;-;1;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;47
"351210 Colômbia";-;-;-;-;-;-;3;-;2;3;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;12
"351220 Conchal";-;-;-;-;-;-;6;-;2;27;-;-;-;1;-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;40
"351230 Conchas";-;-;-;-;-;-;5;-;2;27;-;1;-;1;-;-;-;-;-;-;-;1;-;5;-;-;-;-;-;42
"351240 Cordeirópolis";-;-;-;-;-;-;4;-;3;8;-;-;-;-;-;-;2;1;1;-;-;1;-;4;-;-;-;-;-;24
"351250 Coroados";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3
"351270 Corumbataí";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;4
"351280 Cosmópolis";-;-;-;-;2;-;11;1;7;42;-;-;-;1;-;-;7;-;-;-;-;1;-;7;1;-;-;-;-;80
"351290 Cosmorama";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;5
"351300 Cotia";-;-;-;-;3;-;23;1;25;21;-;1;1;2;-;-;7;1;-;-;4;-;-;6;2;-;1;1;-;99
"351310 Cravinhos";-;-;-;-;-;-;2;-;3;21;-;-;-;1;-;-;1;-;-;-;1;1;-;2;-;-;-;-;-;32
"351320 Cristais Paulista";-;-;-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;10
"351330 Cruzália";-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"351340 Cruzeiro";-;-;-;-;1;-;12;-;52;150;-;1;-;1;1;-;5;4;1;-;-;1;-;18;1;-;2;-;-;250
"351350 Cubatão";-;1;-;-;3;-;13;-;16;100;-;-;-;2;-;-;2;-;-;2;1;1;-;17;1;-;5;-;-;164
"351360 Cunha";-;-;-;-;1;-;6;-;1;4;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;17
"351370 Descalvado";-;-;-;-;1;-;10;1;11;58;-;-;-;1;-;-;1;-;1;-;-;-;-;3;1;-;-;-;-;88
"351380 Diadema";-;2;-;-;5;-;21;1;24;58;-;-;-;4;2;-;13;-;1;-;2;1;-;9;2;-;18;-;-;163
"351385 Dirce Reis";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351390 Divinolândia";-;-;-;-;-;-;1;-;2;11;-;-;-;1;-;-;1;3;-;-;-;1;-;1;-;-;-;-;-;21
"351400 Dobrada";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;5
"351410 Dois Córregos";-;-;-;-;-;-;4;-;5;21;-;-;-;1;-;-;-;1;-;-;-;-;-;3;1;-;-;-;-;36
"351420 Dolcinópolis";-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;-;1;-;-;4;-;-;-;1;-;-;-;2;-;-;1;1;-;1;-;-;-;-;-;11
"351440 Dracena";-;-;-;-;1;-;8;-;12;125;-;-;-;1;-;-;2;-;-;-;-;1;-;8;1;-;-;-;-;159
"351450 Duartina";-;-;-;-;-;-;4;-;1;22;-;-;-;1;-;-;-;-;-;-;-;1;-;5;-;-;-;-;-;34
"351460 Dumont";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351470 Echaporã";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;4
"351480 Eldorado";-;-;-;-;-;-;3;-;2;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;8
"351490 Elias Fausto";-;-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;7
"351492 Elisiário";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351495 Embaúba";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351500 Embu das Artes";-;1;-;-;2;-;15;-;6;8;-;-;-;2;-;-;1;-;-;-;-;1;-;1;-;-;3;-;-;40
"351510 Embu-Guaçu";-;-;-;-;1;-;6;1;1;2;-;-;-;-;-;-;2;-;-;-;-;1;-;2;1;1;2;-;-;20
"351512 Emilianópolis";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;-;-;3;-;1;2;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;9
"351518 Espírito Santo do Pinhal";-;-;-;-;1;-;5;1;9;101;-;-;2;1;-;-;-;-;-;-;-;1;-;6;-;-;1;-;-;128
"351519 Espírito Santo do Turvo";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;4
"355730 Estiva Gerbi";-;-;-;-;-;-;3;-;1;2;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;-;1;-;-;11
"351520 Estrela d'Oeste";-;-;-;-;-;-;2;-;1;11;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;18
"351530 Estrela do Norte";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351535 Euclides da Cunha Paulista";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;5
"351540 Fartura";-;-;-;-;-;-;2;-;2;21;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;30
"351560 Fernando Prestes";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3
"351550 Fernandópolis";-;1;-;-;1;-;17;-;22;175;1;1;-;2;-;-;3;1;-;-;-;1;-;21;-;-;4;1;-;251
"351565 Fernão";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;-;-;-;1;-;13;-;10;4;-;-;-;1;-;-;-;-;-;-;-;1;-;4;2;-;1;-;-;37
"351580 Flora Rica";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351590 Floreal";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;4
"351600 Flórida Paulista";-;-;-;-;-;-;2;-;-;4;-;-;-;1;-;-;-;2;-;-;-;1;-;3;-;-;-;-;-;13
"351610 Florínia";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
