"Município";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"350380 Artur Nogueira";-;8;-;1;-;-;-;-;2;-;2;-;-;-;-;2;1;-;-;-;-;16
"350390 Arujá";-;5;-;4;2;-;-;-;-;-;1;-;-;-;-;7;1;-;-;-;1;21
"350395 Aspásia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350400 Assis";-;18;2;15;78;-;1;2;4;1;7;1;-;2;-;17;1;-;-;-;-;149
"350410 Atibaia";-;17;-;11;154;-;-;-;4;-;17;2;-;-;-;38;1;-;-;-;-;244
"350420 Auriflama";-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;7
"350430 Avaí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350440 Avanhandava";-;5;-;1;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;10
"350450 Avaré";-;14;-;4;47;-;-;-;1;-;-;-;-;1;-;10;2;-;-;-;1;80
"350460 Bady Bassitt";-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;6
"350470 Balbinos";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350480 Bálsamo";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350490 Bananal";-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;8
"350500 Barão de Antonina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350510 Barbosa";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350520 Bariri";-;4;-;1;24;-;-;-;1;-;-;-;-;-;-;3;-;-;-;-;-;33
"350530 Barra Bonita";-;5;-;-;32;-;-;-;1;-;-;-;-;-;-;4;-;-;-;-;-;42
"350535 Barra do Chapéu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350540 Barra do Turvo";-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"350550 Barretos";-;15;1;14;81;-;1;2;2;1;10;-;-;-;-;8;1;-;-;-;-;136
"350560 Barrinha";-;4;-;1;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;8
"350570 Barueri";-;16;-;42;30;-;-;1;2;-;6;-;-;3;-;10;2;-;-;-;-;112
"350580 Bastos";-;5;-;3;4;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;15
"350590 Batatais";-;6;-;5;132;-;-;-;1;-;3;1;-;1;-;6;1;-;-;-;-;156
"350600 Bauru";-;23;-;56;103;-;1;3;7;-;6;-;-;4;-;33;4;-;-;-;-;240
"350610 Bebedouro";-;16;-;26;62;1;-;-;3;-;2;-;-;-;-;8;1;-;-;-;-;119
"350620 Bento de Abreu";-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"350630 Bernardino de Campos";-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"350635 Bertioga";-;5;-;2;2;-;-;-;1;-;1;1;-;-;-;2;1;-;-;-;-;15
"350640 Bilac";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;3
"350650 Birigui";-;8;-;11;29;-;-;1;2;-;1;-;-;-;-;12;-;-;-;-;-;64
"350660 Biritiba-Mirim";-;5;-;-;4;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;-;13
"350670 Boa Esperança do Sul";-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;7
"350680 Bocaina";-;3;-;1;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;7
"350690 Bofete";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"350700 Boituva";-;3;-;2;31;-;-;-;1;-;2;-;-;-;-;6;2;-;-;-;1;48
"350710 Bom Jesus dos Perdões";-;-;-;1;8;-;-;-;-;-;1;-;-;-;-;2;1;1;-;-;-;14
"350715 Bom Sucesso de Itararé";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350720 Borá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350730 Boracéia";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350740 Borborema";-;5;-;3;2;-;-;-;1;-;3;-;-;1;-;1;-;-;-;-;-;16
"350745 Borebi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350750 Botucatu";-;18;1;9;228;-;1;2;3;1;1;-;-;-;-;12;2;-;-;-;1;279
"350760 Bragança Paulista";-;22;-;32;41;-;-;-;2;1;1;4;-;1;-;12;2;-;1;-;1;120
"350770 Braúna";-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"350775 Brejo Alegre";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350780 Brodowski";-;4;-;-;3;-;-;-;-;-;2;-;-;-;-;2;1;-;-;-;-;12
"350790 Brotas";-;4;-;1;13;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;21
"350800 Buri";-;3;-;-;2;-;-;-;-;-;-;3;-;-;-;2;1;1;-;-;-;12
"350810 Buritama";-;4;-;-;4;-;-;-;1;-;-;-;-;-;-;4;1;-;-;-;-;14
"350820 Buritizal";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350830 Cabrália Paulista";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350840 Cabreúva";-;2;-;1;2;-;-;-;1;-;3;-;-;-;1;1;-;-;-;-;-;11
"350850 Caçapava";-;19;-;4;139;1;-;-;2;-;1;1;-;1;-;4;-;-;-;-;-;172
"350860 Cachoeira Paulista";-;9;-;-;11;-;1;-;1;-;2;-;-;1;-;3;-;-;-;-;-;28
"350870 Caconde";-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;3;-;-;-;-;-;6
"350880 Cafelândia";-;4;-;-;10;-;-;-;1;-;-;-;-;-;-;3;-;-;-;-;-;18
"350890 Caiabu";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350900 Caieiras";-;3;-;5;5;-;-;-;1;-;4;5;-;-;-;2;2;1;-;-;1;29
"350910 Caiuá";-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;4
"350920 Cajamar";-;8;-;-;12;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;1;24
"350925 Cajati";-;4;-;3;3;-;-;-;1;-;-;2;-;-;-;2;-;-;-;-;-;15
"350930 Cajobi";-;4;-;-;3;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;9
"350940 Cajuru";-;9;-;2;13;-;-;-;1;-;3;-;-;-;-;2;1;-;1;-;-;32
"350945 Campina do Monte Alegre";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350950 Campinas";-;53;-;221;387;1;2;18;18;6;19;1;2;3;3;93;5;-;1;-;-;833
"350960 Campo Limpo Paulista";-;6;-;8;4;-;-;-;1;-;6;-;-;-;-;6;1;-;-;-;-;32
"350970 Campos do Jordão";-;2;-;3;15;-;-;1;4;-;1;11;-;1;-;-;-;-;-;-;-;38
"350980 Campos Novos Paulista";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350990 Cananéia";-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350995 Canas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351000 Cândido Mota";-;7;-;2;22;-;-;-;1;-;4;-;-;-;-;3;1;-;-;-;-;40
"351010 Cândido Rodrigues";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351015 Canitar";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;10;-;4;3;-;-;-;1;-;3;-;-;-;-;2;1;-;-;-;-;24
"351030 Capela do Alto";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"351040 Capivari";-;3;-;24;80;-;-;-;2;-;6;2;-;-;-;7;1;-;-;-;-;125
"351050 Caraguatatuba";-;11;-;9;38;-;-;-;2;1;4;1;-;-;-;8;2;-;2;-;1;79
"351060 Carapicuíba";-;11;-;12;7;-;-;-;2;-;5;-;-;2;-;3;2;1;-;-;1;46
"351070 Cardoso";-;1;-;-;3;-;-;-;1;-;-;1;-;-;-;3;-;-;-;-;-;9
"351080 Casa Branca";-;5;-;3;30;-;-;2;1;-;-;-;-;1;-;6;-;-;-;-;-;48
"351090 Cássia dos Coqueiros";-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351100 Castilho";-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;6
"351110 Catanduva";-;22;-;181;22;2;2;1;3;-;2;-;-;-;-;20;1;-;1;-;1;258
"351120 Catiguá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351130 Cedral";-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351140 Cerqueira César";-;3;-;1;2;-;-;-;1;-;-;1;-;-;-;1;1;-;-;-;-;10
"351150 Cerquilho";-;6;-;8;89;-;-;-;1;-;12;-;-;-;-;4;2;-;-;-;-;122
"351160 Cesário Lange";-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;5
"351170 Charqueada";-;4;-;-;3;-;-;-;1;-;2;-;-;-;-;1;-;-;-;-;-;11
"355720 Chavantes";-;2;-;1;3;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;9
"351190 Clementina";-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;5
"351200 Colina";-;5;-;11;20;-;-;-;1;-;1;-;-;1;-;1;-;-;-;-;-;40
"351210 Colômbia";-;3;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;7
"351220 Conchal";-;6;-;-;17;-;-;-;1;-;1;-;-;-;-;3;1;-;-;-;-;29
"351230 Conchas";-;4;-;1;23;-;-;-;1;-;-;2;-;-;-;4;1;-;-;-;-;36
"351240 Cordeirópolis";-;2;-;2;1;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;9
"351250 Coroados";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"351260 Coronel Macedo";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;3
"351270 Corumbataí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351280 Cosmópolis";-;7;-;7;12;-;-;-;1;-;4;3;-;-;-;5;1;-;-;-;-;40
"351290 Cosmorama";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"351300 Cotia";-;22;-;12;13;-;-;1;2;-;6;-;-;1;-;1;2;-;-;-;-;60
"351310 Cravinhos";-;3;-;3;11;-;-;-;1;-;-;-;-;-;-;3;-;-;-;-;-;21
"351320 Cristais Paulista";-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351330 Cruzália";-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351340 Cruzeiro";-;12;-;18;95;-;1;-;1;1;1;4;-;1;-;16;1;-;-;-;1;152
"351350 Cubatão";-;18;-;2;55;-;-;-;2;-;2;-;1;2;-;18;1;-;-;-;-;101
"351360 Cunha";-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"351370 Descalvado";-;9;-;1;14;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;25
"351380 Diadema";-;20;1;27;27;-;-;1;4;3;14;-;-;1;-;10;2;-;1;-;-;111
"351385 Dirce Reis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351390 Divinolândia";-;1;-;-;12;-;-;-;1;-;1;3;-;-;-;3;-;-;-;-;-;21
"351400 Dobrada";-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351410 Dois Córregos";-;5;-;2;18;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;28
"351420 Dolcinópolis";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351430 Dourado";-;2;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;6
"351440 Dracena";-;7;-;5;78;-;-;-;1;-;3;-;-;-;-;6;-;-;-;-;-;100
"351450 Duartina";-;4;-;1;6;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;14
"351460 Dumont";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351470 Echaporã";-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"351480 Eldorado";-;3;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;6
"351490 Elias Fausto";-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;5
"351492 Elisiário";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351495 Embaúba";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351500 Embu das Artes";-;13;-;5;3;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;25
"351510 Embu-Guaçu";-;6;-;1;-;-;-;-;-;-;2;-;-;-;-;-;1;1;-;-;-;11
"351512 Emilianópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351515 Engenheiro Coelho";-;3;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"351518 Espírito Santo do Pinhal";-;5;-;5;83;-;-;2;1;-;-;-;-;-;-;6;2;-;-;-;-;104
"351519 Espírito Santo do Turvo";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355730 Estiva Gerbi";-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;4
"351520 Estrela d'Oeste";-;1;-;1;7;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;12
"351530 Estrela do Norte";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351535 Euclides da Cunha Paulista";-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;1;6
"351540 Fartura";-;2;-;1;21;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;27
"351560 Fernando Prestes";-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"351550 Fernandópolis";-;12;-;10;142;1;-;-;2;-;2;-;-;-;-;22;2;-;-;-;-;193
"351565 Fernão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351570 Ferraz de Vasconcelos";-;9;-;4;3;-;-;-;1;-;-;-;-;-;-;3;2;-;-;-;-;22
"351580 Flora Rica";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351590 Floreal";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351600 Flórida Paulista";-;3;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;7
"351610 Florínia";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351620 Franca";-;22;2;62;189;-;-;2;3;-;3;-;-;2;-;19;4;-;2;-;1;311
"351630 Francisco Morato";-;13;-;3;1;-;-;-;2;-;3;-;-;2;-;1;1;-;-;-;1;27
"351640 Franco da Rocha";-;19;-;8;10;-;1;1;1;-;-;-;-;-;-;5;2;2;-;-;-;49
"351650 Gabriel Monteiro";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351660 Gália";-;2;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"351670 Garça";-;10;-;6;18;-;-;2;1;-;1;-;-;-;-;1;-;-;-;-;-;39
"351680 Gastão Vidigal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351685 Gavião Peixoto";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"351690 General Salgado";-;1;-;3;4;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;12
"351700 Getulina";-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"351710 Glicério";-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"351720 Guaiçara";-;5;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"351730 Guaimbê";-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"351740 Guaíra";-;8;-;3;26;-;-;-;1;-;-;1;-;-;-;4;2;-;-;-;-;45
"351750 Guapiaçu";-;3;-;4;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;9
"351760 Guapiara";-;6;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;9
"351770 Guará";-;5;-;2;8;-;-;-;1;-;-;1;-;-;-;2;-;-;-;-;-;19
"351780 Guaraçaí";-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"351790 Guaraci";-;3;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"351800 Guarani d'Oeste";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351810 Guarantã";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"351820 Guararapes";-;4;-;-;4;-;-;-;1;-;-;-;-;-;-;4;1;-;-;-;-;14
"351830 Guararema";-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;6
"351840 Guaratinguetá";-;9;-;6;73;-;-;-;3;1;7;3;-;-;-;10;3;-;-;-;-;115
"351850 Guareí";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;6
"351860 Guariba";-;4;-;3;8;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;17
"351870 Guarujá";-;23;-;23;98;-;-;-;3;1;2;-;-;3;-;12;1;-;-;-;-;166
"351880 Guarulhos";-;68;1;110;142;-;-;3;8;1;17;1;-;6;-;51;1;-;1;-;-;410
"351885 Guatapará";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351890 Guzolândia";-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351900 Herculândia";-;2;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;5
"351905 Holambra";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351907 Hortolândia";-;19;-;7;4;-;2;-;1;1;3;-;-;1;-;3;2;-;-;-;2;45
"351910 Iacanga";-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"351920 Iacri";-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"351925 Iaras";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351930 Ibaté";-;7;-;1;5;-;-;-;2;-;-;-;-;-;-;3;-;-;-;-;-;18
"351940 Ibirá";-;3;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;6
"351950 Ibirarema";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351960 Ibitinga";-;8;-;-;66;-;-;-;2;-;-;-;-;1;-;9;1;-;-;-;-;87
"351970 Ibiúna";-;13;-;1;10;-;-;-;1;-;1;-;-;-;-;2;1;-;-;-;-;29
"351980 Icém";-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;7
"351990 Iepê";-;3;-;1;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;7
"352000 Igaraçu do Tietê";-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"352010 Igarapava";-;4;-;-;19;-;-;-;1;-;1;-;-;-;-;4;-;-;-;-;-;29
"352020 Igaratá";-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;5
"352030 Iguape";-;6;-;-;3;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;12
"352042 Ilha Comprida";-;3;-;-;1;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;7
"352044 Ilha Solteira";-;4;-;5;32;-;-;-;1;-;2;2;-;-;-;8;1;-;-;-;-;55
"352040 Ilhabela";-;7;-;1;1;-;-;-;1;-;-;-;1;-;-;2;-;-;-;-;-;13
"352050 Indaiatuba";-;10;1;22;113;-;-;1;2;2;4;2;-;1;-;18;2;1;1;-;-;180
