"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"354200 Quintana";-;-;-;-;-;-;-;4;-;2;6;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;14
"354210 Rafard";-;-;-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"354220 Rancharia";-;-;-;-;-;1;-;9;-;3;34;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;6;-;-;-;-;-;56
"354230 Redenção da Serra";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"354240 Regente Feijó";-;-;-;-;-;-;-;8;-;-;9;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;22
"354250 Reginópolis";-;-;-;-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"354260 Registro";2;-;-;-;-;1;-;15;-;13;51;-;1;-;2;-;-;-;2;-;-;-;1;2;-;-;9;-;-;-;-;-;99
"354270 Restinga";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"354280 Ribeira";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"354290 Ribeirão Bonito";-;-;-;-;-;-;-;4;-;2;18;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;27
"354300 Ribeirão Branco";-;1;-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;10
"354310 Ribeirão Corrente";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"354320 Ribeirão do Sul";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354323 Ribeirão dos Índios";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354325 Ribeirão Grande";-;1;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"354330 Ribeirão Pires";-;1;-;-;-;3;-;10;-;17;48;-;-;-;2;1;-;-;10;-;1;-;1;1;-;-;9;-;-;-;-;-;104
"354340 Ribeirão Preto";-;1;1;-;6;4;-;44;-;350;1130;1;1;4;13;2;1;-;75;2;1;-;1;2;2;-;94;1;-;14;5;-;1755
"354360 Rifaina";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"354370 Rincão";-;-;-;-;-;-;-;1;-;1;6;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;11
"354380 Rinópolis";-;-;-;-;-;-;-;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;10
"354390 Rio Claro";-;-;1;-;-;3;-;18;1;36;255;1;2;1;3;1;1;-;15;-;3;-;-;1;-;-;34;3;-;3;-;-;382
"354400 Rio das Pedras";-;-;-;-;-;1;-;1;-;4;57;-;-;-;1;-;-;-;5;-;-;-;1;1;-;-;4;-;-;-;-;-;75
"354410 Rio Grande da Serra";-;-;-;-;-;1;-;8;-;3;6;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2;1;-;-;-;-;23
"354420 Riolândia";-;-;-;-;-;-;-;3;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
"354350 Riversul";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"354425 Rosana";-;-;-;-;-;-;-;1;-;-;19;-;-;-;1;-;-;-;1;8;-;-;-;1;-;-;5;-;-;-;-;-;36
"354430 Roseira";-;1;-;-;-;-;-;4;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;9
"354440 Rubiácea";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"354450 Rubinéia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"354460 Sabino";-;-;-;-;-;-;-;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"354470 Sagres";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354480 Sales";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;4
"354490 Sales Oliveira";-;-;-;-;-;-;-;3;-;1;21;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;3;1;-;-;-;-;31
"354500 Salesópolis";-;1;-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;3;-;1;-;-;11
"354510 Salmourão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354515 Saltinho";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"354520 Salto";-;1;-;-;-;1;-;10;-;14;89;-;1;-;2;-;-;-;3;-;-;-;-;1;-;-;4;-;-;-;-;-;126
"354530 Salto de Pirapora";-;1;-;-;-;-;-;7;-;2;36;-;-;2;1;-;-;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;53
"354540 Salto Grande";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"354550 Sandovalina";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"354560 Santa Adélia";-;1;-;-;-;-;-;3;-;1;21;-;-;-;1;-;-;-;-;4;-;-;-;1;-;-;3;-;-;-;-;-;35
"354570 Santa Albertina";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;6
"354580 Santa Bárbara d'Oeste";-;-;-;-;-;-;-;14;-;15;173;-;-;-;1;1;-;-;3;-;1;1;-;1;-;-;15;2;-;1;-;-;228
"354600 Santa Branca";-;-;-;-;-;-;-;2;-;1;4;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;10
"354610 Santa Clara d'Oeste";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"354620 Santa Cruz da Conceição";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"354625 Santa Cruz da Esperança";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"354630 Santa Cruz das Palmeiras";-;-;-;-;-;-;-;3;-;2;49;-;-;-;1;1;-;-;4;-;-;-;-;1;-;-;7;-;-;2;-;-;70
"354640 Santa Cruz do Rio Pardo";-;1;-;-;-;1;-;5;-;9;104;-;-;-;2;-;-;-;1;-;1;-;-;1;-;-;15;-;-;3;-;-;143
"354650 Santa Ernestina";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354660 Santa Fé do Sul";-;-;-;-;-;1;-;9;-;21;49;-;-;-;1;-;-;-;5;-;1;-;1;1;-;-;8;-;-;-;-;-;97
"354670 Santa Gertrudes";-;-;-;-;-;1;-;6;-;5;28;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;2;1;-;1;-;-;47
"354680 Santa Isabel";-;1;-;-;-;-;-;9;-;4;7;-;-;-;1;-;-;-;1;-;1;-;-;1;-;-;1;-;-;-;1;-;27
"354690 Santa Lúcia";-;-;-;-;-;-;-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;7
"354700 Santa Maria da Serra";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;4
"354710 Santa Mercedes";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"354740 Santa Rita d'Oeste";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"354750 Santa Rita do Passa Quatro";-;-;-;-;-;2;-;5;-;13;51;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;76
"354760 Santa Rosa de Viterbo";-;-;-;-;-;-;-;3;-;5;36;-;-;-;1;-;-;-;-;1;1;-;-;2;-;-;3;-;-;1;-;-;53
"354765 Santa Salete";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354720 Santana da Ponte Pensa";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354730 Santana de Parnaíba";-;1;-;-;-;3;-;9;-;4;8;-;-;-;1;-;-;-;3;-;1;-;-;1;-;-;3;-;-;-;-;-;34
"354770 Santo Anastácio";-;-;-;-;-;-;-;5;-;1;28;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;37
"354780 Santo André";-;-;1;-;-;5;-;35;1;250;329;1;3;1;10;5;1;-;109;-;5;-;3;1;2;-;55;2;-;14;-;-;833
"354790 Santo Antônio da Alegria";-;-;-;-;-;-;-;5;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;1;-;-;11
"354800 Santo Antônio de Posse";-;-;-;-;-;1;-;4;-;2;10;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;21
"354805 Santo Antônio do Aracanguá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"354810 Santo Antônio do Jardim";-;-;-;-;-;-;-;1;-;-;4;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;10
"354820 Santo Antônio do Pinhal";1;1;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;7;1;-;-;1;-;-;-;-;-;-;-;-;14
"354830 Santo Expedito";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354840 Santópolis do Aguapeí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354850 Santos";-;3;1;-;-;7;-;34;-;152;1051;3;3;2;12;9;-;1;4;-;-;1;3;2;-;-;69;-;-;8;1;-;1366
"354860 São Bento do Sapucaí";-;1;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;8
"354870 São Bernardo do Campo";1;1;1;-;-;7;-;33;-;249;333;-;4;6;11;2;-;-;43;-;9;1;2;-;3;-;52;4;-;14;3;1;780
"354880 São Caetano do Sul";-;1;-;-;-;1;-;13;-;174;354;-;-;-;6;2;-;-;-;1;-;-;-;1;-;-;34;-;-;3;3;-;593
"354890 São Carlos";-;-;1;1;-;2;-;30;1;38;272;-;-;-;3;-;-;-;50;-;1;-;2;1;-;-;39;-;-;6;1;-;448
"354900 São Francisco";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354910 São João da Boa Vista";-;1;1;1;-;2;-;12;-;25;367;-;8;-;2;1;-;-;2;-;-;-;1;2;-;-;17;1;-;2;1;-;446
"354920 São João das Duas Pontes";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354925 São João de Iracema";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354930 São João do Pau d'Alho";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"354940 São Joaquim da Barra";-;-;-;-;-;-;-;11;-;9;136;-;-;-;1;-;-;-;2;-;-;-;1;1;-;-;12;1;-;-;-;-;174
"354950 São José da Bela Vista";-;-;-;-;-;-;-;4;-;1;4;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;11
"354960 São José do Barreiro";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;4
"354970 São José do Rio Pardo";-;-;-;-;-;1;-;7;-;42;74;1;-;-;1;-;-;-;-;-;-;-;1;1;-;-;21;-;-;2;-;-;151
"354980 São José do Rio Preto";-;2;1;1;3;6;-;29;-;146;460;2;3;6;7;5;-;1;68;-;5;-;-;2;2;-;91;2;-;10;2;-;854
"354990 São José dos Campos";-;1;-;-;7;4;-;39;-;142;1109;-;1;8;12;4;-;-;12;2;-;2;5;1;-;-;62;1;1;-;3;-;1416
"354995 São Lourenço da Serra";-;-;-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;8
"355000 São Luís do Paraitinga";-;1;-;-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;9
"355010 São Manuel";-;-;-;-;-;-;-;7;-;3;85;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;8;-;-;-;-;-;105
"355020 São Miguel Arcanjo";-;1;-;-;-;1;-;7;-;2;21;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;2;1;-;-;-;-;39
"355030 São Paulo";-;6;1;-;11;82;2;572;5;2060;11475;9;23;52;147;32;1;2;202;16;18;6;20;5;24;2;618;28;1;209;18;3;15650
"355040 São Pedro";-;-;-;-;-;-;-;3;-;3;55;-;1;-;1;-;-;-;2;1;-;-;-;1;-;-;4;-;-;-;-;-;71
"355050 São Pedro do Turvo";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"355060 São Roque";-;1;-;-;-;1;-;9;-;15;168;1;-;-;2;-;-;-;8;-;-;-;-;1;-;-;9;-;-;-;-;-;215
"355070 São Sebastião";-;1;1;-;-;2;-;15;-;6;110;-;2;-;1;-;-;-;-;-;-;-;1;1;-;-;7;-;-;6;-;-;153
"355080 São Sebastião da Grama";-;-;-;-;-;-;-;5;-;1;13;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;3;1;-;-;-;-;26
"355090 São Simão";-;-;-;-;-;-;-;4;-;6;19;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;1;-;1;-;-;35
"355100 São Vicente";-;1;1;-;-;5;-;29;-;36;147;-;-;-;5;1;-;-;9;3;-;-;3;1;-;-;12;1;-;5;1;-;260
"355110 Sarapuí";-;1;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;8
"355120 Sarutaiá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"355130 Sebastianópolis do Sul";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"355140 Serra Azul";-;-;-;-;-;-;-;7;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;11
"355160 Serra Negra";-;-;-;1;-;1;-;9;-;5;42;-;-;-;1;-;-;-;3;-;-;-;-;1;-;-;6;-;-;-;-;-;69
"355150 Serrana";-;-;-;-;-;-;-;7;1;7;6;-;1;-;1;-;-;-;2;-;1;-;-;1;-;-;1;2;-;1;-;-;31
"355170 Sertãozinho";-;1;-;-;-;-;-;15;-;41;153;-;1;-;2;1;-;-;6;-;-;-;1;1;-;-;16;-;-;3;-;-;241
"355180 Sete Barras";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;7
"355190 Severínia";-;-;-;-;-;-;-;2;-;1;5;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;2;-;-;-;-;-;13
"355200 Silveiras";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;6
"355210 Socorro";-;-;-;-;-;1;-;6;-;1;34;-;-;-;1;-;-;-;2;5;-;-;-;1;-;-;5;-;-;-;-;-;56
"355220 Sorocaba";-;2;1;-;1;6;-;35;-;50;424;-;1;7;7;2;-;2;66;-;2;1;1;2;1;-;72;-;-;9;13;-;705
"355230 Sud Mennucci";-;-;-;-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;8
"355240 Sumaré";-;-;-;-;-;1;-;25;-;10;81;-;2;-;1;1;-;-;28;-;1;-;2;1;-;-;19;1;-;-;-;-;173
"355255 Suzanápolis";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"355250 Suzano";-;-;1;-;-;2;-;23;-;42;71;-;2;-;2;-;-;-;13;-;1;-;1;1;-;-;17;-;-;5;1;-;182
"355260 Tabapuã";-;-;-;-;-;-;-;1;-;2;7;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;15
"355270 Tabatinga";-;-;-;-;-;-;-;4;-;1;29;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;5;-;-;-;-;-;43
"355280 Taboão da Serra";-;1;1;-;-;3;-;11;-;23;47;-;1;1;3;-;-;-;11;-;-;1;1;1;-;-;7;2;-;3;-;-;117
"355290 Taciba";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"355300 Taguaí";-;-;-;-;-;-;-;1;-;1;5;-;-;-;1;-;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;12
"355310 Taiaçu";-;-;-;-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;11
"355320 Taiúva";-;-;-;-;-;-;-;1;-;-;9;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;1;-;-;-;15
"355330 Tambaú";-;-;-;-;-;-;-;7;-;-;24;-;1;-;1;-;-;-;1;1;-;-;1;1;-;-;7;-;-;1;-;-;45
