"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"Total"
"350775 Brejo Alegre";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"350780 Brodowski";-;-;-;-;3;-;1;8;-;-;-;-;-;-;3;-;-;-;-;1;4;-;-;-;-;20
"350790 Brotas";-;-;-;-;4;-;3;21;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;-;32
"350800 Buri";-;-;1;-;3;-;-;2;-;-;-;-;-;-;-;3;-;-;1;1;1;-;-;-;-;12
"350810 Buritama";-;-;-;-;3;-;1;1;-;1;-;1;-;-;-;-;-;-;-;1;3;-;-;-;-;11
"350820 Buritizal";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"350830 Cabrália Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"350840 Cabreúva";-;-;-;-;3;-;-;4;-;-;-;1;-;-;2;-;1;-;-;1;3;-;-;-;-;15
"350850 Caçapava";-;-;1;-;15;-;7;182;-;-;1;3;-;-;1;-;-;-;-;1;4;-;-;-;-;215
"350860 Cachoeira Paulista";-;-;-;-;10;-;3;23;-;1;-;1;-;-;3;-;-;-;1;-;2;-;-;-;-;44
"350870 Caconde";-;-;-;-;2;-;3;17;-;1;-;1;-;-;-;1;-;-;-;1;3;-;-;-;-;29
"350880 Cafelândia";-;-;-;-;4;-;1;22;-;-;-;1;-;-;-;-;-;-;-;1;3;-;-;-;-;32
"350890 Caiabu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350900 Caieiras";-;-;-;-;6;-;12;8;-;-;-;1;-;-;4;5;-;-;-;-;2;2;1;-;-;41
"350910 Caiuá";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"350920 Cajamar";-;-;-;-;9;-;5;16;-;-;-;1;-;-;-;-;-;-;1;1;2;-;-;-;1;36
"350925 Cajati";-;-;-;-;5;-;3;15;-;-;-;1;-;-;-;1;-;-;-;1;4;-;-;-;-;30
"350930 Cajobi";-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;9
"350940 Cajuru";-;-;-;-;7;-;5;19;-;-;-;1;-;-;4;-;-;-;-;1;2;-;-;-;-;39
"350945 Campina do Monte Alegre";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350950 Campinas";-;-;10;-;63;1;331;1333;1;4;7;20;8;1;45;5;3;-;1;7;101;-;-;1;-;1942
"350960 Campo Limpo Paulista";-;-;-;-;7;-;10;7;1;-;-;1;-;-;8;-;-;-;-;1;4;1;-;-;-;40
"350970 Campos do Jordão";-;-;1;-;3;-;4;23;-;-;-;3;-;-;1;10;-;-;1;1;2;-;-;-;-;49
"350980 Campos Novos Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"350995 Canas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351000 Cândido Mota";-;-;1;-;6;-;2;36;-;-;-;1;-;-;1;-;-;-;-;1;3;-;-;-;-;51
"351010 Cândido Rodrigues";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"351015 Canitar";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351020 Capão Bonito";-;-;1;-;11;-;6;18;-;-;-;1;-;-;2;-;-;-;-;1;3;-;-;-;-;43
"351030 Capela do Alto";-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;8
"351040 Capivari";-;-;2;-;4;-;20;93;-;-;-;2;-;-;3;2;-;-;-;1;11;-;-;-;-;138
"351050 Caraguatatuba";-;-;1;-;9;-;18;73;-;-;-;2;2;-;5;3;-;-;-;1;11;1;-;1;-;127
"351060 Carapicuíba";-;-;3;-;12;-;14;25;-;-;-;2;-;-;7;-;-;-;2;-;6;2;1;1;1;76
"351070 Cardoso";-;-;-;-;5;-;-;6;-;-;-;1;-;-;-;-;-;-;-;1;3;-;-;-;-;16
"351080 Casa Branca";-;-;1;-;6;1;4;39;-;-;1;1;-;-;-;-;-;-;1;1;9;-;-;-;-;64
"351090 Cássia dos Coqueiros";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"351100 Castilho";-;-;-;-;1;-;-;8;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;12
"351110 Catanduva";-;-;-;-;23;-;69;182;-;2;2;3;1;-;2;-;-;-;-;1;17;-;-;1;1;304
"351120 Catiguá";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"351130 Cedral";-;-;-;-;2;-;3;3;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;11
"351140 Cerqueira César";-;-;-;-;5;-;1;8;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;17
"351150 Cerquilho";-;-;-;-;6;-;9;96;-;-;-;1;-;-;11;-;-;-;-;1;6;-;-;-;-;130
"351160 Cesário Lange";-;-;-;-;4;-;-;6;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;13
"351170 Charqueada";-;-;-;-;4;-;2;8;-;-;-;1;-;-;3;-;-;-;-;1;1;-;-;-;-;20
"355720 Chavantes";-;-;-;-;3;-;1;9;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;16
"351190 Clementina";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"351200 Colina";-;-;-;-;5;-;13;21;-;-;-;1;-;-;-;-;1;-;-;1;1;-;-;-;-;43
"351210 Colômbia";-;-;-;-;3;-;1;3;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;10
"351220 Conchal";-;-;-;-;6;-;2;29;-;-;-;1;-;-;-;-;-;-;1;-;2;2;-;-;-;43
"351230 Conchas";-;-;-;-;5;-;2;27;-;1;-;1;-;-;-;-;-;-;-;1;5;-;-;-;-;42
"351240 Cordeirópolis";-;-;-;-;4;-;3;7;-;-;-;-;-;-;2;1;1;-;-;1;3;-;-;-;-;22
"351250 Coroados";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"351270 Corumbataí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351280 Cosmópolis";-;-;1;-;10;1;7;37;-;-;-;1;-;-;6;-;-;-;-;1;6;1;-;-;-;71
"351290 Cosmorama";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;-;5
"351300 Cotia";-;-;1;-;20;1;22;23;-;1;1;2;-;1;9;-;-;-;2;-;4;2;-;-;-;89
"351310 Cravinhos";-;-;-;-;3;-;2;19;-;-;-;1;-;-;1;-;-;-;1;1;2;-;-;-;-;30
"351320 Cristais Paulista";-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;10
"351330 Cruzália";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"351340 Cruzeiro";-;-;1;-;12;-;50;145;-;1;-;1;1;-;5;4;1;-;-;1;17;1;-;1;-;241
"351350 Cubatão";-;-;2;-;13;-;12;94;-;-;-;2;-;-;1;-;-;2;1;-;18;1;-;1;-;147
"351360 Cunha";-;-;1;-;6;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;13
"351370 Descalvado";-;-;-;-;12;-;4;55;-;-;-;1;-;-;1;-;-;-;-;-;2;1;-;-;-;76
"351380 Diadema";-;-;5;-;21;1;23;54;-;-;-;4;2;-;13;-;-;-;2;1;9;2;-;1;-;138
"351385 Dirce Reis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351390 Divinolândia";-;-;-;-;1;-;2;11;-;-;-;1;-;-;1;3;-;-;-;1;1;-;-;-;-;21
"351400 Dobrada";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;4
"351410 Dois Córregos";-;-;-;-;4;-;5;20;-;-;-;1;-;-;-;1;-;-;-;-;3;1;-;-;-;35
"351420 Dolcinópolis";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;2;-;-;4;-;-;-;1;-;-;-;1;-;-;1;1;2;-;-;-;-;12
"351440 Dracena";-;-;1;-;8;-;10;117;-;-;-;1;-;-;2;-;-;-;-;1;8;1;-;-;-;149
"351450 Duartina";-;-;-;-;4;-;1;13;-;-;-;1;-;-;-;-;-;-;-;1;5;-;-;-;-;25
"351460 Dumont";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351470 Echaporã";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"351480 Eldorado";-;-;-;-;3;-;2;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;8
"351490 Elias Fausto";-;-;-;-;1;-;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;6
"351492 Elisiário";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351495 Embaúba";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351500 Embu das Artes";-;-;2;-;13;-;6;7;-;-;-;2;-;-;3;-;-;-;-;1;1;-;-;-;-;35
"351510 Embu-Guaçu";-;-;1;-;6;-;2;1;-;-;-;-;-;-;2;-;-;-;-;-;1;1;1;-;-;15
"351512 Emilianópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;3;-;1;2;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;9
"351518 Espírito Santo do Pinhal";-;-;1;-;5;1;9;99;-;-;2;1;-;-;-;-;-;-;-;1;6;-;-;-;-;125
"351519 Espírito Santo do Turvo";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"355730 Estiva Gerbi";-;-;-;-;3;-;-;2;-;-;-;-;-;-;1;-;-;-;-;1;2;-;-;-;-;9
"351520 Estrela d'Oeste";-;-;-;-;2;-;1;11;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;-;18
"351530 Estrela do Norte";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351535 Euclides da Cunha Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;-;5
"351540 Fartura";-;-;-;-;2;-;1;21;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;27
"351560 Fernando Prestes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"351550 Fernandópolis";-;-;1;-;17;-;17;182;1;1;-;2;-;-;5;1;-;-;-;1;22;-;-;1;1;252
"351565 Fernão";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;-;-;-;13;-;9;4;-;-;-;1;-;-;-;-;-;-;-;1;4;2;-;1;-;35
"351580 Flora Rica";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351590 Floreal";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"351600 Flórida Paulista";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;2;-;-;-;1;2;-;-;-;-;11
"351610 Florínia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"351620 Franca";-;1;1;-;23;1;129;381;-;2;3;3;-;-;4;-;2;-;-;2;21;4;-;2;1;580
"351630 Francisco Morato";-;-;1;-;12;-;5;15;-;1;-;2;-;-;2;-;-;-;-;1;3;2;-;-;1;45
"351640 Franco da Rocha";-;-;-;-;11;1;8;26;-;2;2;2;-;-;-;-;1;-;-;-;5;7;-;-;-;65
"351650 Gabriel Monteiro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351660 Gália";-;-;-;-;2;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;11
"351670 Garça";-;-;2;-;11;-;5;29;-;-;2;1;-;-;1;-;-;-;-;1;1;-;-;-;-;53
"351680 Gastão Vidigal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;6
"351690 General Salgado";-;-;-;-;1;-;3;7;-;-;-;1;-;-;-;2;-;-;-;1;2;-;-;-;-;17
"351700 Getulina";-;-;-;-;3;-;-;11;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;16
"351710 Glicério";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"351720 Guaiçara";-;-;-;-;2;-;-;5;-;-;-;-;-;-;-;3;-;-;-;1;1;-;-;-;-;12
"351730 Guaimbê";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;4
"351740 Guaíra";-;-;-;-;10;-;5;36;-;-;-;1;-;-;-;1;-;-;-;1;4;-;-;-;-;58
"351750 Guapiaçu";-;-;1;-;7;-;4;2;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;17
"351760 Guapiara";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;6;-;-;1;1;1;-;-;-;-;11
