"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"350580 Bastos";-;-;-;-;6;-;4;5;-;-;-;1;-;-;-;-;-;1;1;2;-;-;-;-;-;20
"350590 Batatais";-;-;1;-;7;-;5;136;-;-;-;1;-;-;3;1;-;1;-;9;1;-;-;-;-;165
"350600 Bauru";-;-;3;-;24;-;56;290;-;1;3;8;1;1;9;-;-;2;1;26;4;-;-;-;1;430
"350610 Bebedouro";-;-;-;-;16;-;30;70;-;-;-;3;-;-;2;-;-;-;1;10;1;-;-;-;-;133
"350620 Bento de Abreu";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350630 Bernardino de Campos";-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350635 Bertioga";-;-;-;-;5;-;5;2;-;-;-;1;-;-;1;1;-;-;-;2;1;-;-;-;1;19
"350640 Bilac";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350650 Birigui";-;-;-;-;9;-;10;34;-;-;1;2;-;-;1;-;-;-;-;14;-;-;-;-;-;71
"350660 Biritiba-Mirim";-;-;-;-;7;-;-;4;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;14
"350670 Boa Esperança do Sul";-;-;-;-;4;-;-;4;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;11
"350680 Bocaina";-;-;-;-;3;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;6
"350690 Bofete";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"350700 Boituva";-;-;-;-;5;-;3;33;-;-;-;1;-;-;1;-;-;-;-;3;2;-;-;-;1;49
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;1;8;-;-;-;-;-;-;1;-;-;-;-;2;1;1;-;-;-;14
"350715 Bom Sucesso de Itararé";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350720 Borá";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350730 Boracéia";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350740 Borborema";-;-;-;-;6;-;3;2;-;-;-;1;-;-;3;-;-;1;-;1;-;-;-;-;-;17
"350745 Borebi";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350750 Botucatu";-;-;3;-;13;1;11;353;-;1;2;3;-;-;4;1;-;-;-;7;2;-;-;-;1;402
"350760 Bragança Paulista";1;-;2;-;22;1;39;76;-;1;-;2;1;-;1;4;-;1;-;12;2;-;1;-;1;167
"350770 Braúna";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350775 Brejo Alegre";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350780 Brodowski";-;-;-;-;3;-;-;3;-;-;-;-;-;-;3;-;-;-;-;2;1;-;-;-;-;12
"350790 Brotas";-;-;-;-;4;-;1;14;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;22
"350800 Buri";-;-;1;-;3;-;-;2;-;-;-;-;-;-;-;3;-;-;-;2;1;1;-;-;-;13
"350810 Buritama";-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;3;1;-;-;-;-;11
"350820 Buritizal";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350830 Cabrália Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350840 Cabreúva";-;-;-;-;2;-;-;4;-;-;-;1;-;-;4;-;-;-;-;3;1;-;-;-;-;15
"350850 Caçapava";-;-;-;-;16;-;6;167;1;-;-;2;-;-;1;-;-;1;-;3;1;-;-;-;-;198
"350860 Cachoeira Paulista";-;-;-;-;11;-;3;19;-;1;-;1;-;-;3;-;-;1;-;3;-;-;-;-;-;42
"350870 Caconde";-;-;-;-;1;-;1;13;-;-;-;1;-;-;-;1;-;-;-;3;-;-;-;-;-;20
"350880 Cafelândia";-;-;-;-;4;-;1;18;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;27
"350890 Caiabu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350900 Caieiras";-;-;-;-;4;-;8;7;-;-;-;1;-;-;4;6;-;-;-;3;2;1;-;-;1;37
"350910 Caiuá";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;4
"350920 Cajamar";-;-;-;-;9;-;3;13;-;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;1;30
"350925 Cajati";-;-;-;-;4;-;3;3;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;14
"350930 Cajobi";-;-;-;-;3;-;-;3;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;9
"350940 Cajuru";-;-;-;-;9;-;4;11;-;-;-;1;-;-;3;-;-;-;-;2;1;-;1;-;-;32
"350945 Campina do Monte Alegre";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350950 Campinas";-;-;10;-;63;1;261;872;1;3;11;18;8;1;24;-;2;4;7;86;1;-;1;-;-;1374
"350960 Campo Limpo Paulista";-;-;-;-;7;-;7;7;-;-;-;1;-;-;8;-;-;-;1;4;1;-;-;-;-;36
"350970 Campos do Jordão";-;-;1;-;2;-;2;16;-;-;1;4;-;-;1;10;-;1;-;-;-;-;-;-;-;38
"350980 Campos Novos Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350990 Cananéia";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350995 Canas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351000 Cândido Mota";-;-;1;-;7;-;1;30;-;-;-;1;-;-;1;-;-;-;-;3;1;-;-;-;-;45
"351010 Cândido Rodrigues";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351015 Canitar";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;-;1;-;10;-;4;13;-;-;-;1;-;-;3;-;-;-;-;4;1;-;-;-;-;37
"351030 Capela do Alto";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;6
"351040 Capivari";-;-;2;-;4;-;18;93;-;-;-;2;-;-;2;2;-;-;-;9;1;-;-;-;-;133
"351050 Caraguatatuba";-;-;1;-;9;-;14;55;-;-;-;2;1;-;4;2;-;-;-;9;2;-;1;-;1;101
"351060 Carapicuíba";-;-;2;-;11;-;11;7;-;-;-;2;-;-;6;-;-;2;-;4;2;1;-;-;1;49
"351070 Cardoso";-;-;-;-;5;-;-;5;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;13
"351080 Casa Branca";-;-;1;-;5;-;3;32;-;-;1;1;-;-;-;-;-;1;-;9;-;-;-;-;-;53
"351090 Cássia dos Coqueiros";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351100 Castilho";-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"351110 Catanduva";-;-;-;-;21;-;57;165;-;2;1;3;-;-;2;-;-;-;-;20;1;-;1;-;1;274
"351120 Catiguá";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351130 Cedral";-;-;-;-;1;-;4;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"351140 Cerqueira César";-;-;-;-;4;-;1;2;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;11
"351150 Cerquilho";-;-;1;-;6;-;7;94;-;-;-;1;-;-;12;-;-;-;-;4;2;-;-;-;-;127
"351160 Cesário Lange";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"351170 Charqueada";-;-;-;-;4;-;2;4;-;-;-;1;-;-;3;-;-;-;-;1;-;-;-;-;-;15
"355720 Chavantes";-;-;-;-;3;-;1;6;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;13
"351190 Clementina";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"351200 Colina";-;-;-;-;5;-;11;20;-;-;-;1;-;-;1;-;-;1;-;1;-;-;-;-;-;40
"351210 Colômbia";-;-;-;-;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;7
"351220 Conchal";-;-;1;-;6;-;-;19;-;-;-;1;-;-;-;-;-;1;-;3;1;-;-;-;-;32
"351230 Conchas";-;-;-;-;3;-;1;24;-;1;-;1;-;-;-;1;-;-;1;4;2;-;-;-;-;38
"351240 Cordeirópolis";-;-;-;-;3;-;1;-;-;-;-;-;-;-;1;2;-;-;-;2;-;-;-;-;-;9
"351250 Coroados";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;3
"351270 Corumbataí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351280 Cosmópolis";-;-;1;-;7;-;9;17;-;-;-;1;-;-;4;4;-;-;-;6;1;-;-;-;-;50
"351290 Cosmorama";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;4
"351300 Cotia";-;-;1;-;22;1;14;18;-;-;1;2;-;1;5;-;-;1;-;4;2;-;-;-;-;72
"351310 Cravinhos";-;-;-;-;3;-;2;13;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;22
"351320 Cristais Paulista";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351330 Cruzália";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351340 Cruzeiro";-;-;1;-;12;-;35;142;-;1;-;1;1;-;5;4;-;1;-;18;1;-;-;-;1;223
"351350 Cubatão";-;-;2;-;18;-;4;71;-;-;-;2;-;-;2;-;1;2;-;18;-;-;1;-;-;121
"351360 Cunha";-;-;-;-;5;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"351370 Descalvado";-;-;-;-;10;-;2;23;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;38
"351380 Diadema";-;-;2;-;20;1;26;37;-;-;1;4;2;-;15;-;-;1;1;10;2;1;1;-;-;124
"351385 Dirce Reis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351390 Divinolândia";-;-;-;-;1;-;1;11;-;-;-;1;-;-;1;3;-;-;-;2;-;-;-;-;-;20
"351400 Dobrada";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351410 Dois Córregos";-;-;-;-;4;-;4;19;-;-;-;1;-;-;-;1;-;-;-;3;-;-;-;-;-;32
"351420 Dolcinópolis";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351430 Dourado";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;1;-;1;-;2;-;-;-;-;-;10
"351440 Dracena";-;-;1;-;8;-;3;94;-;-;-;1;-;-;3;-;-;-;-;6;-;-;-;-;-;116
"351450 Duartina";-;-;-;-;4;-;1;8;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;16
"351460 Dumont";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351470 Echaporã";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"351480 Eldorado";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"351490 Elias Fausto";-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;4
"351492 Elisiário";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351495 Embaúba";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351500 Embu das Artes";-;-;2;-;14;-;5;4;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;29
"351510 Embu-Guaçu";-;-;1;-;6;-;-;1;-;-;-;-;-;-;2;-;-;-;-;1;1;1;-;-;-;13
"351512 Emilianópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351515 Engenheiro Coelho";-;-;-;-;3;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"351518 Espírito Santo do Pinhal";-;-;-;-;6;-;5;91;-;-;2;1;-;-;-;-;-;-;-;5;2;-;-;-;-;112
"351519 Espírito Santo do Turvo";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"355730 Estiva Gerbi";-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;5
"351520 Estrela d'Oeste";-;-;-;-;1;-;1;10;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;14
"351530 Estrela do Norte";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351535 Euclides da Cunha Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;-;5
"351540 Fartura";-;-;-;-;2;-;1;21;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;27
"351560 Fernando Prestes";-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"351550 Fernandópolis";-;-;1;-;14;-;4;166;1;-;-;2;-;-;3;2;-;-;1;21;-;-;-;-;-;215
"351565 Fernão";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351570 Ferraz de Vasconcelos";-;-;-;-;9;-;6;4;-;-;-;1;-;-;-;-;-;-;-;3;2;-;1;-;-;26
"351580 Flora Rica";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351590 Floreal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351600 Flórida Paulista";-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;7
"351610 Florínia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351620 Franca";-;1;1;-;22;2;81;259;-;1;3;3;-;-;4;-;-;2;1;20;4;-;2;-;1;407
"351630 Francisco Morato";-;-;1;-;5;-;3;11;-;1;-;2;-;-;3;8;-;1;-;2;2;-;-;-;1;40
"351640 Franco da Rocha";-;-;-;-;18;-;10;12;-;1;2;2;-;-;-;-;-;-;-;5;4;1;-;-;-;55
"351650 Gabriel Monteiro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351660 Gália";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351670 Garça";-;-;1;-;10;-;8;21;-;-;2;1;-;-;1;-;-;-;-;1;-;-;-;-;-;45
"351680 Gastão Vidigal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351685 Gavião Peixoto";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"351690 General Salgado";-;-;-;-;1;-;3;4;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;12
"351700 Getulina";-;-;-;-;3;-;-;9;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"351710 Glicério";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"351720 Guaiçara";-;-;-;-;5;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;10
"351730 Guaimbê";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"351740 Guaíra";-;-;-;-;10;-;3;30;-;-;-;1;-;-;-;1;-;-;-;3;2;-;-;-;-;50
"351750 Guapiaçu";-;-;-;-;4;-;5;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;12
"351760 Guapiara";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;5;-;1;-;1;1;-;-;-;-;10
"351770 Guará";-;-;1;-;5;-;2;8;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;20
"351780 Guaraçaí";-;-;-;-;1;-;-;8;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;11
"351790 Guaraci";-;-;-;-;3;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"351800 Guarani d'Oeste";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351810 Guarantã";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351820 Guararapes";-;-;-;-;4;-;-;22;-;-;-;1;-;-;-;-;-;-;-;3;1;-;-;-;-;31
"351830 Guararema";-;-;-;-;1;-;1;1;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;7
"351840 Guaratinguetá";-;-;-;-;10;-;7;108;-;-;-;2;1;-;8;4;-;1;-;8;3;-;-;-;-;152
"351850 Guareí";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;6
"351860 Guariba";-;-;-;-;3;-;5;7;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;18
"351870 Guarujá";-;-;3;-;27;-;19;113;-;-;-;3;2;-;2;-;-;4;-;13;1;-;-;-;-;187
"351880 Guarulhos";-;-;4;-;70;1;116;181;-;1;3;8;1;-;20;1;-;6;1;52;1;-;1;-;-;467
"351885 Guatapará";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351890 Guzolândia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351900 Herculândia";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;5
"351905 Holambra";-;-;-;-;3;-;-;2;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;8
"351907 Hortolândia";-;-;2;-;19;-;10;13;-;2;-;1;1;-;4;-;-;1;-;4;2;-;1;-;2;62
"351910 Iacanga";-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;6
"351920 Iacri";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351925 Iaras";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351930 Ibaté";-;-;-;-;7;-;1;5;-;-;-;2;-;-;-;-;-;-;-;3;-;-;-;-;-;18
"351940 Ibirá";-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;8
"351950 Ibirarema";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351960 Ibitinga";-;-;-;-;6;-;1;75;-;-;-;2;-;-;1;1;-;2;-;9;1;-;-;-;-;98
"351970 Ibiúna";-;-;-;-;17;-;1;11;-;-;-;1;-;-;1;-;-;-;-;2;2;-;-;-;-;35
"351980 Icém";-;-;-;-;2;-;2;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;8
"351990 Iepê";-;-;-;-;3;-;2;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"352000 Igaraçu do Tietê";-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"352010 Igarapava";-;-;-;-;5;-;-;23;-;-;-;1;-;-;1;-;-;-;-;4;-;-;-;-;-;34
"352020 Igaratá";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;5
"352030 Iguape";-;-;-;-;6;-;-;5;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;14
"352042 Ilha Comprida";-;-;-;-;3;-;-;1;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;7
"352044 Ilha Solteira";-;-;-;-;4;-;6;34;-;-;-;1;-;-;2;2;-;-;-;8;1;-;-;-;-;58
"352040 Ilhabela";-;-;1;-;7;-;1;2;-;-;-;1;-;-;-;-;1;-;-;2;-;-;-;-;-;15
"352050 Indaiatuba";-;-;2;-;14;1;20;151;-;-;1;2;3;-;4;-;-;1;-;20;2;-;1;-;1;223
"352060 Indiana";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352070 Indiaporã";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352080 Inúbia Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352090 Ipaussu";-;-;-;-;2;-;-;6;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;11
"352100 Iperó";-;-;-;-;4;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;8
"352110 Ipeúna";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3
"352115 Ipiguá";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352120 Iporanga";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352130 Ipuã";-;-;-;-;3;-;-;16;-;-;-;1;-;-;-;2;-;1;-;2;2;-;-;-;-;27
"352140 Iracemápolis";-;-;-;-;4;-;2;7;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;16
"352150 Irapuã";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352160 Irapuru";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352170 Itaberá";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;4;-;-;-;1;1;-;-;-;-;12
"352180 Itaí";-;-;-;-;6;-;-;15;-;-;-;1;-;-;1;-;-;-;-;3;1;-;-;-;-;27
"352190 Itajobi";-;-;-;-;4;-;-;4;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;11
"352200 Itaju";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352210 Itanhaém";-;-;1;-;8;-;12;11;-;2;-;1;-;-;4;-;-;1;-;2;2;-;-;-;1;45
"352215 Itaóca";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"352220 Itapecerica da Serra";-;-;1;-;12;-;6;10;-;-;1;2;-;-;2;-;-;1;1;2;-;-;-;-;-;38
"352230 Itapetininga";-;-;2;-;22;-;10;136;-;-;-;2;-;-;4;7;-;-;-;14;4;-;-;-;-;201
"352240 Itapeva";-;-;2;-;21;-;9;64;-;-;-;1;-;-;7;-;-;-;-;6;3;-;-;-;-;113
"352250 Itapevi";-;-;1;-;12;-;10;14;-;-;-;2;1;-;1;-;-;4;1;2;1;-;1;-;1;51
"352260 Itapira";-;-;1;-;16;-;9;76;-;-;3;2;-;-;1;-;-;-;-;8;1;-;-;-;-;117
"352265 Itapirapuã Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;4
"352270 Itápolis";-;-;-;-;7;-;-;49;-;-;-;1;-;-;1;1;-;-;-;7;1;-;-;-;-;67
"352280 Itaporanga";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;6
"352290 Itapuí";-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"352300 Itapura";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352310 Itaquaquecetuba";-;-;-;-;4;-;5;6;-;-;-;1;-;-;4;11;-;1;-;5;1;-;-;-;-;38
"352320 Itararé";-;-;1;-;7;-;6;43;-;-;-;1;-;-;2;6;-;-;-;4;1;-;-;-;-;71
"352330 Itariri";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352340 Itatiba";-;-;1;-;15;-;15;31;-;1;-;2;1;-;6;-;-;-;-;11;1;-;1;-;1;86
"352350 Itatinga";-;-;-;-;1;-;1;9;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;14
"352360 Itirapina";-;-;-;-;3;-;-;18;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;23
"352370 Itirapuã";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352380 Itobi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2
"352390 Itu";-;-;1;-;15;-;27;95;-;-;2;2;-;-;7;-;-;2;-;15;3;-;-;-;5;174
"352400 Itupeva";-;-;1;-;12;-;4;17;-;-;1;1;-;-;2;-;-;-;-;5;1;-;1;-;2;47
"352410 Ituverava";-;-;-;-;10;1;12;82;-;-;1;1;-;-;-;-;-;-;-;8;1;-;-;-;-;116
"352420 Jaborandi";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
