"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"350010 Adamantina";-;-;-;1;-;1;-;7;-;7;92;-;1;1;1;-;-;-;7;-;-;-;-;-;1;-;-;-;14;-;-;1;-;-;-;134
"350020 Adolfo";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;5
"350030 Aguaí";-;-;-;-;-;-;-;5;-;4;41;1;3;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;5;1;-;1;-;-;-;64
"350040 Águas da Prata";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350050 Águas de Lindóia";-;-;-;-;-;1;-;3;-;4;20;-;-;-;1;-;-;-;1;-;2;-;-;-;1;-;-;-;4;-;-;-;-;-;-;37
"350055 Águas de Santa Bárbara";-;-;-;-;-;-;-;3;-;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11
"350060 Águas de São Pedro";-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;6
"350070 Agudos";-;-;-;-;-;1;-;8;-;3;22;-;-;-;1;-;-;-;2;-;2;1;-;-;1;-;-;-;1;-;-;1;-;-;-;43
"350075 Alambari";-;1;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;1;-;-;-;9
"350080 Alfredo Marcondes";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350090 Altair";1;-;-;-;-;-;-;3;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;9
"350100 Altinópolis";-;-;-;1;-;-;-;6;-;3;18;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;2;-;1;-;-;-;36
"350110 Alto Alegre";-;-;-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"350115 Alumínio";-;1;-;-;-;-;-;2;-;4;1;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;11
"350120 Álvares Florence";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350130 Álvares Machado";-;-;-;-;-;-;-;7;-;3;7;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;22
"350140 Álvaro de Carvalho";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350150 Alvinlândia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350160 Americana";-;-;-;-;1;3;-;22;1;16;724;-;1;1;5;1;-;-;2;-;-;-;-;-;1;2;-;-;47;1;-;1;-;-;1;830
"350170 Américo Brasiliense";2;-;-;-;-;1;-;4;-;6;9;-;1;-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;1;3;1;2;-;-;-;34
"350180 Américo de Campos";-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350190 Amparo";1;-;-;1;-;2;-;14;-;8;185;-;-;1;2;-;-;-;12;-;2;1;-;-;2;1;-;-;30;1;-;-;2;-;1;266
"350200 Analândia";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"350210 Andradina";1;1;-;1;-;2;-;6;-;6;159;-;-;-;1;1;1;-;1;-;-;1;-;1;1;-;-;-;9;1;-;-;6;1;-;200
"350220 Angatuba";-;1;-;-;-;1;-;6;-;-;15;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;6;1;-;1;-;-;-;34
"350230 Anhembi";1;-;-;-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;9
"350240 Anhumas";1;-;-;-;-;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"350250 Aparecida";-;-;-;-;-;1;-;2;-;4;15;-;1;-;1;-;-;-;-;-;8;-;-;1;1;-;-;-;6;-;-;1;-;-;-;41
"350260 Aparecida d'Oeste";1;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;8
"350270 Apiaí";-;1;-;-;-;1;-;9;-;4;23;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;4;-;-;2;-;-;-;47
"350275 Araçariguama";-;1;-;-;-;-;-;2;-;3;4;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;15
"350280 Araçatuba";-;1;1;-;-;3;-;18;-;104;511;1;1;3;3;-;-;1;3;-;2;2;-;-;2;7;-;-;28;2;-;3;1;-;-;697
"350290 Araçoiaba da Serra";-;1;-;-;-;1;-;6;-;1;3;-;-;-;-;5;-;-;2;-;-;1;-;-;1;1;-;-;3;-;-;1;-;-;-;26
"350300 Aramina";-;-;-;-;-;-;-;2;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;8
"350310 Arandu";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350315 Arapeí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;4
"350320 Araraquara";2;2;1;-;-;2;-;37;-;61;533;-;4;3;3;1;-;-;10;-;-;4;-;-;2;-;-;-;21;3;-;11;1;-;-;701
"350330 Araras";-;-;1;-;1;2;-;20;-;34;242;-;-;1;3;-;-;-;1;-;3;1;-;-;1;-;-;-;11;2;-;3;-;-;-;326
"350335 Arco-Íris";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350340 Arealva";1;-;-;-;-;-;-;4;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;11
"350350 Areias";-;1;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350360 Areiópolis";-;-;-;-;-;-;-;3;-;1;4;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;13
"350370 Ariranha";-;-;-;-;-;-;-;2;-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;10
"350380 Artur Nogueira";-;1;-;-;-;1;-;18;-;4;40;-;1;-;2;-;-;1;4;-;-;-;-;1;1;-;-;-;5;1;-;-;-;-;-;80
"350390 Arujá";-;-;-;-;-;1;-;7;-;10;25;-;-;-;2;-;-;-;4;-;1;-;-;-;1;-;-;-;5;1;-;1;-;-;-;58
"350395 Aspásia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350400 Assis";1;1;1;2;-;1;-;19;-;11;257;-;1;-;4;6;-;-;6;-;2;2;-;-;2;-;-;-;22;-;-;2;-;-;-;340
"350410 Atibaia";1;-;-;-;-;1;-;20;-;5;185;-;-;-;3;-;-;-;20;-;-;1;-;-;1;3;-;-;31;1;-;3;-;-;-;275
"350420 Auriflama";-;1;-;-;-;-;-;5;-;-;13;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;24
"350430 Avaí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;-;-;-;-;-;-;3;-;1;8;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;-;16
"350450 Avaré";-;-;1;-;-;1;-;17;-;12;168;2;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;18;1;-;2;-;-;1;227
"350460 Bady Bassitt";-;-;-;-;-;-;-;4;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;11
"350470 Balbinos";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"350490 Bananal";-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;-;-;1;-;-;-;-;10
"350500 Barão de Antonina";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350510 Barbosa";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350520 Bariri";-;-;-;-;-;-;-;7;-;2;44;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;7;-;-;-;-;-;-;64
"350530 Barra Bonita";1;-;-;-;-;1;-;8;-;2;68;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;7;-;-;-;-;-;-;89
"350535 Barra do Chapéu";-;1;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"350540 Barra do Turvo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;1;-;-;-;-;-;-;-;1;-;-;8
"350550 Barretos";1;2;1;-;-;1;-;15;-;27;201;-;2;3;2;1;-;1;3;-;-;2;-;-;2;1;-;-;8;1;-;3;-;-;-;277
"350560 Barrinha";-;-;-;-;-;-;-;6;-;3;9;-;-;-;-;-;-;-;3;-;-;2;-;-;1;-;-;-;2;2;-;1;-;-;-;29
"350570 Barueri";-;1;-;-;-;3;-;16;-;44;192;-;-;-;3;-;-;-;17;-;-;-;2;5;1;-;-;-;15;-;-;-;-;-;-;299
"350580 Bastos";-;1;-;-;-;-;-;6;-;8;8;-;2;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;-;31
"350590 Batatais";-;1;-;-;-;1;-;8;-;7;196;-;1;-;1;-;-;-;1;-;1;1;-;1;1;-;-;-;8;-;-;2;-;-;-;230
"350600 Bauru";-;2;1;-;-;4;-;25;-;37;603;-;4;3;6;2;-;1;25;1;4;4;1;-;2;-;1;-;32;1;-;11;-;-;-;770
"350610 Bebedouro";1;1;-;-;-;2;-;18;-;39;148;-;1;-;3;3;-;-;17;-;-;1;-;-;1;-;-;-;11;-;-;-;1;-;-;247
"350620 Bento de Abreu";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
"350630 Bernardino de Campos";-;-;-;-;-;1;-;4;-;1;4;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;14
"350635 Bertioga";-;-;-;-;-;1;-;5;-;9;11;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;7;3;-;2;-;-;-;41
"350640 Bilac";-;-;-;-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;8
"350650 Birigui";-;-;-;-;-;-;-;10;-;27;114;-;1;-;2;-;-;-;3;-;-;1;-;1;1;1;-;-;14;-;-;-;-;-;-;175
"350660 Biritiba-Mirim";-;1;-;-;-;1;-;6;-;1;9;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;1;1;-;1;-;-;-;25
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;4;-;1;10;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;20
"350680 Bocaina";-;-;-;-;-;-;-;4;-;1;11;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;19
"350690 Bofete";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350700 Boituva";1;1;-;-;-;1;-;7;-;11;54;-;1;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;6;-;-;-;2;-;-;88
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;1;-;1;11;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;1;-;-;-;18
"350715 Bom Sucesso de Itararé";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350720 Borá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350740 Borborema";-;-;-;-;-;1;-;4;-;5;20;-;-;-;1;-;-;-;2;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;37
"350745 Borebi";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350750 Botucatu";-;1;1;-;-;3;-;19;1;33;506;-;2;1;4;-;-;-;1;-;-;1;-;-;1;-;-;-;8;1;-;2;-;-;-;585
"350760 Bragança Paulista";2;1;1;3;-;2;-;28;-;13;243;-;1;-;6;2;-;-;25;-;4;1;-;-;1;-;-;-;21;-;-;3;2;-;-;359
"350770 Braúna";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"350780 Brodowski";-;-;-;-;-;-;-;6;-;1;30;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;-;47
"350790 Brotas";-;-;-;-;-;-;-;4;-;3;52;-;1;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;-;66
"350800 Buri";-;1;-;-;-;1;-;4;-;1;3;-;-;-;-;-;-;-;1;-;3;1;-;-;1;-;-;-;1;-;-;-;-;-;-;17
"350810 Buritama";1;-;-;-;-;1;-;2;-;4;8;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;-;-;-;-;-;23
"350820 Buritizal";-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;7
"350830 Cabrália Paulista";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350840 Cabreúva";-;-;-;-;-;1;-;7;-;6;7;-;1;-;1;-;-;-;3;-;-;1;-;-;1;-;-;-;5;-;-;-;-;-;-;33
"350850 Caçapava";-;1;-;1;-;2;-;18;-;10;222;-;1;-;4;-;-;-;1;-;-;-;-;1;1;-;-;-;5;1;-;2;-;-;1;271
"350860 Cachoeira Paulista";1;-;-;-;-;-;-;9;-;5;36;-;1;-;1;-;-;-;3;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;60
"350870 Caconde";1;-;-;-;-;-;-;4;-;5;18;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;4;-;-;-;-;-;-;36
"350880 Cafelândia";1;-;-;-;-;1;-;4;-;-;27;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;39
