"Município";"ACADEMIA DA SAÚDE";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"Total"
"352150 Irapuã";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"352160 Irapuru";-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;6
"352170 Itaberá";-;-;-;-;-;5;-;1;-;-;-;-;1;-;-;-;4;-;-;-;1;-;2;-;-;-;-;14
"352180 Itaí";-;-;-;-;-;7;-;-;15;-;-;-;1;-;-;1;-;-;-;-;1;-;2;-;-;-;-;27
"352190 Itajobi";-;-;-;-;-;4;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;14
"352200 Itaju";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"352210 Itanhaém";-;-;-;2;-;10;-;12;14;-;2;-;1;-;-;3;-;-;-;1;1;-;2;2;-;1;1;52
"352215 Itaóca";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"352220 Itapecerica da Serra";-;-;-;1;-;12;-;6;18;-;-;1;2;-;-;2;-;-;-;1;1;-;2;-;-;-;-;46
"352230 Itapetininga";-;1;-;2;-;26;-;14;189;-;-;-;2;1;-;3;7;-;-;-;1;-;13;1;-;-;1;261
"352240 Itapeva";-;-;-;2;-;22;-;14;69;-;2;-;1;-;-;16;-;-;-;-;1;-;5;1;-;-;-;133
"352250 Itapevi";-;-;-;1;-;12;1;14;16;-;1;-;2;-;-;1;-;-;-;4;1;-;3;1;-;1;1;59
"352260 Itapira";-;-;-;1;-;16;-;10;108;-;-;3;2;-;-;4;-;-;-;-;1;-;9;-;-;-;-;154
"352265 Itapirapuã Paulista";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"352270 Itápolis";-;-;-;1;-;7;-;6;54;-;-;-;1;-;-;1;-;-;-;-;1;-;7;-;-;-;-;78
"352280 Itaporanga";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;3;1;-;-;-;10
"352290 Itapuí";-;-;-;-;-;4;-;-;2;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;9
"352300 Itapura";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;3
"352310 Itaquaquecetuba";-;-;-;-;-;16;1;4;11;-;-;-;1;-;-;4;-;-;-;1;1;-;5;3;-;1;-;48
"352320 Itararé";-;-;-;1;-;6;1;7;45;-;-;-;1;-;-;-;5;-;-;-;1;-;3;-;-;-;-;70
"352330 Itariri";-;-;-;-;-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352340 Itatiba";-;-;-;1;-;14;-;23;45;-;1;-;2;1;-;4;-;-;-;-;1;-;13;1;-;1;1;108
"352350 Itatinga";-;-;-;-;-;2;-;1;11;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;16
"352360 Itirapina";-;-;-;-;-;6;-;1;18;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;28
"352370 Itirapuã";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"352380 Itobi";-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"352390 Itu";-;-;-;2;-;15;-;37;125;-;1;2;1;-;-;8;-;2;-;1;1;-;15;-;-;-;4;214
"352400 Itupeva";-;-;-;1;-;12;-;6;15;-;-;1;1;-;-;2;-;-;-;-;1;-;4;-;-;1;2;46
"352410 Ituverava";-;-;-;-;-;10;1;12;101;-;-;-;2;-;-;-;-;-;-;-;-;-;8;1;-;-;-;135
"352420 Jaborandi";-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;6
"352430 Jaboticabal";-;-;-;2;-;9;-;19;61;-;-;-;2;-;-;6;-;1;-;-;1;-;8;-;-;-;-;109
"352440 Jacareí";-;-;-;2;-;17;-;24;220;-;-;-;5;-;-;2;-;2;-;1;1;-;18;-;-;1;-;293
"352450 Jaci";-;-;-;-;-;3;-;4;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;10
"352460 Jacupiranga";-;-;-;-;-;5;-;-;5;-;1;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;14
"352470 Jaguariúna";-;-;-;-;-;6;1;6;30;-;-;-;1;-;-;5;-;-;-;-;1;-;6;-;-;1;1;58
"352480 Jales";-;-;-;-;-;10;-;7;119;-;-;-;1;-;-;2;-;-;-;1;1;-;14;1;-;-;-;156
"352490 Jambeiro";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352500 Jandira";-;-;-;1;-;9;-;4;8;-;-;-;1;1;-;2;-;1;-;-;1;-;1;-;-;-;1;30
"352510 Jardinópolis";-;-;-;-;-;8;-;4;18;-;-;-;-;-;-;3;-;1;-;-;1;-;2;-;-;-;-;37
"352520 Jarinu";-;-;-;-;-;3;1;3;4;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;-;-;16
"352530 Jaú";-;-;-;1;-;15;-;73;257;-;-;2;1;-;-;1;-;1;-;1;1;-;12;-;-;1;-;366
"352540 Jeriquara";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352550 Joanópolis";-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;7
"352560 João Ramalho";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"352570 José Bonifácio";-;-;-;-;-;7;-;6;14;-;-;-;1;-;-;4;-;-;-;-;1;-;5;-;-;-;-;38
"352580 Júlio Mesquita";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"352585 Jumirim";-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"352590 Jundiaí";-;-;2;3;-;36;-;179;1066;-;1;1;5;4;-;9;-;4;-;-;1;-;49;-;-;2;-;1362
"352600 Junqueirópolis";-;-;-;1;-;7;-;1;7;-;-;-;1;-;-;-;1;-;-;1;1;-;2;-;-;-;-;22
"352610 Juquiá";-;-;-;-;-;5;-;-;2;-;-;-;1;-;-;-;2;-;-;-;-;-;2;-;-;-;-;12
"352620 Juquitiba";-;-;-;1;-;4;-;-;3;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;-;-;12
"352630 Lagoinha";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"352640 Laranjal Paulista";-;-;-;1;-;6;-;5;43;-;-;-;1;-;-;2;-;-;-;-;1;-;5;-;-;-;-;64
"352650 Lavínia";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"352660 Lavrinhas";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"352670 Leme";-;-;-;1;-;13;-;24;86;-;-;-;2;-;-;2;-;-;-;-;1;-;12;1;-;-;1;143
"352680 Lençóis Paulista";-;-;-;-;-;9;1;5;97;-;-;-;1;1;-;2;-;-;-;1;1;-;16;-;-;1;1;136
"352690 Limeira";-;-;-;-;-;25;-;38;394;-;-;-;4;-;-;6;-;-;-;-;1;-;23;1;-;-;-;492
"352700 Lindóia";-;-;-;-;-;3;-;2;2;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;1;-;11
"352710 Lins";-;-;1;4;-;7;-;4;272;-;-;2;3;-;-;1;3;-;-;-;1;-;12;-;-;-;-;310
"352720 Lorena";-;-;-;1;-;15;-;7;144;-;-;-;2;-;-;-;-;-;-;-;1;-;11;-;-;-;-;181
"352725 Lourdes";1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"352730 Louveira";-;-;-;-;-;4;-;4;13;-;-;-;1;-;-;3;-;-;-;-;1;-;2;-;-;-;-;28
"352740 Lucélia";-;-;-;-;-;6;-;3;15;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;27
"352750 Lucianópolis";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"352760 Luís Antônio";1;-;-;-;-;4;-;1;8;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;15
"352770 Luiziânia";-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;7
"352780 Lupércio";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
"352790 Lutécia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"352800 Macatuba";-;-;-;-;-;4;-;4;14;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;26
"352810 Macaubal";-;-;-;-;-;1;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;10
"352820 Macedônia";-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"352830 Magda";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"352840 Mairinque";-;-;-;-;-;15;-;9;15;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;41
"352850 Mairiporã";-;-;-;1;-;8;-;8;15;-;1;-;1;-;-;4;1;-;-;-;1;-;5;-;-;-;-;45
"352860 Manduri";-;-;-;-;-;2;-;2;5;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;12
"352870 Marabá Paulista";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"352880 Maracaí";-;-;-;1;-;4;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;13
"352885 Marapoama";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"352890 Mariápolis";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"352900 Marília";-;-;-;2;-;49;-;37;455;-;3;2;4;-;1;1;-;3;-;-;2;-;20;1;-;3;-;583
"352910 Marinópolis";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"352920 Martinópolis";-;-;-;2;-;7;-;3;13;-;-;-;1;-;-;-;1;-;-;-;1;-;2;-;-;-;-;30
"352930 Matão";-;-;-;1;-;11;-;25;95;-;-;-;1;-;-;2;-;1;-;-;1;-;6;-;-;-;1;144
"352940 Mauá";-;-;-;3;-;24;-;19;118;-;-;1;4;-;-;8;-;1;-;-;1;-;23;1;-;2;1;206
"352950 Mendonça";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"352960 Meridiano";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"352965 Mesópolis";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"352970 Miguelópolis";-;-;-;-;-;7;1;3;9;-;-;-;1;-;-;1;-;-;-;1;-;-;5;-;-;-;-;28
"352980 Mineiros do Tietê";-;-;-;-;-;2;-;2;3;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;9
"353000 Mira Estrela";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"352990 Miracatu";-;-;-;-;-;2;-;1;2;-;-;-;1;-;-;-;3;-;-;-;1;-;1;-;-;-;-;11
"353010 Mirandópolis";-;-;-;-;-;6;-;-;29;-;1;-;2;-;-;-;3;-;-;-;1;-;7;1;-;-;-;50
"353020 Mirante do Paranapanema";-;-;-;-;-;6;-;1;8;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;-;-;-;19
"353030 Mirassol";-;-;-;1;-;6;-;22;55;-;-;-;2;-;-;-;1;-;-;1;1;-;7;1;-;-;-;97
"353040 Mirassolândia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"353050 Mococa";-;-;-;3;-;10;1;42;89;-;-;-;1;-;-;5;1;-;1;-;1;-;10;2;-;1;1;168
"353060 Mogi das Cruzes";-;-;1;1;-;31;2;75;125;-;1;1;6;-;-;2;5;1;-;-;1;-;25;2;-;-;3;282
"353070 Mogi Guaçu";1;-;-;2;-;16;-;43;189;-;-;-;3;-;-;6;-;-;-;1;1;-;13;-;-;-;-;275
"353080 Mogi Mirim";-;-;-;2;-;14;-;12;121;-;1;1;1;1;-;5;-;-;-;-;1;-;15;-;-;-;-;174
"353090 Mombuca";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"353100 Monções";1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;5
"353110 Mongaguá";-;-;-;-;-;9;-;8;5;-;1;-;1;-;-;1;-;-;-;2;-;-;1;1;-;-;-;29
"353120 Monte Alegre do Sul";-;-;-;-;-;3;-;2;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;9
"353130 Monte Alto";-;-;-;1;-;7;-;7;130;1;1;-;2;-;-;17;-;-;-;1;-;-;1;1;-;-;-;169
"353140 Monte Aprazível";-;-;-;-;-;4;-;11;8;-;-;-;1;-;-;-;2;-;-;-;1;-;1;-;-;-;-;28
"353150 Monte Azul Paulista";-;-;-;-;-;2;-;2;12;-;-;-;2;-;-;1;-;-;-;1;1;-;3;-;-;-;-;24
"353160 Monte Castelo";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"353180 Monte Mor";-;-;-;1;-;11;-;6;22;-;-;-;1;-;-;-;-;-;-;-;1;-;3;2;-;-;1;48
"353170 Monteiro Lobato";-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;6
"353190 Morro Agudo";-;-;-;1;-;5;-;7;29;-;-;-;1;-;-;-;2;-;-;-;1;-;6;-;-;-;-;52
"353200 Morungaba";-;-;-;-;-;5;-;2;-;-;-;-;2;-;-;-;-;-;-;-;1;-;3;-;-;-;-;13
"353205 Motuca";-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;5
"353210 Murutinga do Sul";-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"353215 Nantes";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;3
"353220 Narandiba";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"353230 Natividade da Serra";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"353240 Nazaré Paulista";-;-;-;-;-;1;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;6
"353250 Neves Paulista";-;-;-;-;-;3;-;1;4;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;12
"353260 Nhandeara";-;-;-;-;-;4;-;2;18;-;-;1;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;29
"353270 Nipoã";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"353280 Nova Aliança";-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"353282 Nova Campina";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;4
"353284 Nova Canaã Paulista";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"353286 Nova Castilho";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353290 Nova Europa";-;-;-;-;-;3;-;2;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;9
"353300 Nova Granada";1;-;-;-;-;3;-;2;2;-;-;-;1;-;-;3;2;-;-;-;1;-;1;-;-;-;-;16
"353310 Nova Guataporanga";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"353320 Nova Independência";-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"353330 Nova Luzitânia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"353340 Nova Odessa";-;-;-;-;-;4;-;4;38;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;49
"353325 Novais";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"353350 Novo Horizonte";-;-;-;-;-;5;-;12;28;-;-;-;1;-;-;1;1;-;-;-;1;-;4;-;-;-;-;53
"353360 Nuporanga";-;-;-;-;-;4;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;20
"353370 Ocauçu";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
"353380 Óleo";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;4
"353390 Olímpia";-;-;-;-;-;8;-;9;52;-;-;-;1;-;-;6;-;-;-;-;1;-;13;-;-;-;-;90
"353400 Onda Verde";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;4
"353410 Oriente";1;-;-;-;-;2;-;-;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;11
"353420 Orindiúva";-;-;-;-;-;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;6
"353430 Orlândia";-;-;-;1;-;6;-;15;88;1;1;-;1;-;-;5;1;-;-;-;1;-;8;-;-;1;-;129
"353440 Osasco";-;-;1;2;-;36;-;168;364;-;4;2;6;1;-;7;-;4;-;4;1;-;38;1;-;2;1;642
"353450 Oscar Bressane";1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"353460 Osvaldo Cruz";-;-;-;-;-;6;1;4;28;-;-;-;2;-;-;1;1;-;-;-;1;-;10;-;-;-;1;55
"353470 Ourinhos";-;-;1;1;-;14;1;21;218;-;1;2;3;-;-;3;3;-;-;-;1;-;26;1;-;-;-;296
"353480 Ouro Verde";-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;6
