"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"Total"
"350010 Adamantina";-;-;1;-;4;-;9;62;-;1;1;1;-;-;1;-;-;-;1;9;1;-;1;-;92
"350020 Adolfo";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"350030 Aguaí";-;-;-;-;5;-;2;21;-;1;-;1;-;-;1;-;-;1;1;5;1;-;-;-;39
"350040 Águas da Prata";-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;6
"350050 Águas de Lindóia";-;-;1;-;3;-;4;12;-;-;-;1;-;-;2;-;-;-;-;4;1;-;-;-;28
"350055 Águas de Santa Bárbara";-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"350060 Águas de São Pedro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;3
"350070 Agudos";-;-;-;-;7;-;2;15;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;27
"350075 Alambari";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;7
"350080 Alfredo Marcondes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350090 Altair";-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350100 Altinópolis";-;-;-;-;7;-;2;18;-;1;-;1;-;-;1;-;-;-;1;1;1;-;-;-;33
"350110 Alto Alegre";-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"350115 Alumínio";-;-;-;-;2;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"350120 Álvares Florence";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350130 Álvares Machado";-;-;-;-;7;-;2;3;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;15
"350140 Álvaro de Carvalho";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350150 Alvinlândia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350160 Americana";-;-;2;-;24;1;16;399;-;1;2;4;1;-;1;-;-;-;1;34;-;-;1;-;487
"350170 Américo Brasiliense";-;-;-;-;1;-;5;4;-;-;-;2;-;-;-;-;-;-;1;1;-;1;-;-;15
"350180 Américo de Campos";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"350190 Amparo";2;-;1;-;11;-;27;126;-;-;2;2;-;-;2;3;-;1;1;22;1;-;-;-;201
"350200 Analândia";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350210 Andradina";-;-;1;-;4;-;2;76;-;-;-;1;-;1;1;-;-;1;1;7;3;-;-;-;98
"350220 Angatuba";-;-;1;-;5;-;-;2;-;-;-;1;-;-;1;-;-;-;1;4;-;-;-;-;15
"350230 Anhembi";-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"350240 Anhumas";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350250 Aparecida";-;-;-;-;2;-;3;8;-;2;-;1;-;-;-;6;-;-;1;5;-;-;-;-;28
"350260 Aparecida d'Oeste";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;4
"350270 Apiaí";-;-;1;-;8;-;2;16;-;-;-;1;-;-;2;-;-;-;1;4;-;-;-;-;35
"350275 Araçariguama";-;-;-;-;1;-;2;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"350280 Araçatuba";-;1;1;-;19;1;79;293;1;1;5;3;-;1;3;-;-;2;1;20;1;-;4;1;437
"350290 Araçoiaba da Serra";-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;8
"350300 Aramina";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;5
"350310 Arandu";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;5
"350315 Arapeí";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"350320 Araraquara";-;-;1;-;28;2;70;346;-;3;1;3;1;-;10;-;-;4;2;16;2;-;1;3;493
"350330 Araras";-;-;1;-;23;-;26;214;-;-;1;4;-;-;1;-;-;-;1;9;2;-;-;-;282
"350335 Arco-Íris";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350340 Arealva";-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"350350 Areias";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350360 Areiópolis";-;-;-;-;4;-;1;10;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;18
"350370 Ariranha";-;-;-;-;2;-;1;2;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;7
"350380 Artur Nogueira";-;-;-;-;10;1;5;19;-;-;-;1;-;-;2;-;-;1;1;2;1;-;-;-;43
"350390 Arujá";-;-;1;-;5;-;5;10;-;-;1;1;-;-;1;-;-;-;1;7;-;-;-;1;33
"350395 Aspásia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350400 Assis";-;-;1;-;20;1;17;146;-;1;3;4;1;-;6;1;-;1;-;20;1;-;-;-;223
"350410 Atibaia";-;-;-;-;17;-;11;162;-;-;-;3;-;-;15;1;-;-;1;19;1;-;-;-;230
"350420 Auriflama";-;-;-;-;1;-;-;9;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;13
"350430 Avaí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
