"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"Total"
"351510 Embu-Guaçu";-;-;1;-;6;-;-;1;-;-;-;-;-;-;2;-;-;-;-;1;1;1;-;-;13
"351512 Emilianópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351515 Engenheiro Coelho";-;-;-;-;3;-;2;3;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;11
"351518 Espírito Santo do Pinhal";-;-;-;-;5;1;5;98;-;-;2;1;-;-;-;-;-;-;1;6;2;-;-;-;121
"351519 Espírito Santo do Turvo";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"355730 Estiva Gerbi";-;-;-;-;2;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;6
"351520 Estrela d'Oeste";-;-;-;-;1;-;1;13;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;17
"351530 Estrela do Norte";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351535 Euclides da Cunha Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;5
"351540 Fartura";-;-;-;-;2;-;1;21;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;27
"351560 Fernando Prestes";-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;7
"351550 Fernandópolis";-;-;1;-;15;-;7;179;1;-;-;2;-;-;5;2;-;-;1;22;-;-;-;1;236
"351565 Fernão";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351570 Ferraz de Vasconcelos";-;-;-;-;9;-;7;4;-;-;-;1;-;-;-;-;-;-;1;4;2;-;1;-;29
"351580 Flora Rica";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351590 Floreal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351600 Flórida Paulista";-;-;-;-;2;-;-;2;-;-;-;1;-;-;-;2;-;-;-;2;-;-;-;-;9
"351610 Florínia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351620 Franca";-;1;1;-;22;2;103;312;-;2;3;3;-;-;4;-;-;2;1;21;4;-;2;1;484
"351630 Francisco Morato";-;-;1;-;12;-;6;10;-;1;-;2;-;-;3;-;-;-;1;2;2;-;-;1;41
"351640 Franco da Rocha";-;-;-;-;11;1;7;23;-;2;2;2;-;-;-;-;-;-;-;5;6;1;-;-;60
"351650 Gabriel Monteiro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351660 Gália";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"351670 Garça";-;-;1;-;10;-;5;25;-;-;2;1;-;-;1;-;-;-;1;1;-;-;-;-;47
"351680 Gastão Vidigal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351685 Gavião Peixoto";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"351690 General Salgado";-;-;-;-;1;-;3;5;-;-;-;1;-;-;-;2;-;-;-;2;-;-;-;-;14
"351700 Getulina";-;-;-;-;3;-;-;11;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;15
"351710 Glicério";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"351720 Guaiçara";-;-;-;-;5;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"351730 Guaimbê";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"351740 Guaíra";-;-;-;-;10;-;6;33;-;-;-;1;-;-;-;1;-;-;-;3;2;-;-;-;56
"351750 Guapiaçu";-;-;-;-;4;-;5;2;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;14
"351760 Guapiara";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6;-;1;-;1;1;-;-;-;10
"351770 Guará";-;-;1;-;5;-;4;11;-;-;-;1;-;-;-;1;-;-;1;2;-;-;-;-;26
"351780 Guaraçaí";-;-;-;-;1;-;-;9;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;12
"351790 Guaraci";-;-;-;-;3;-;1;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9
"351800 Guarani d'Oeste";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351810 Guarantã";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"351820 Guararapes";-;-;-;-;4;-;-;20;-;-;-;1;-;-;-;-;-;-;-;3;1;-;-;-;29
"351830 Guararema";-;-;-;-;2;-;1;3;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;10
"351840 Guaratinguetá";-;-;-;-;9;1;9;123;-;-;-;2;1;-;9;5;-;1;-;9;3;-;-;-;172
"351850 Guareí";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;6
"351860 Guariba";-;-;-;-;4;-;5;11;-;-;-;1;-;-;1;-;-;-;1;1;-;-;-;-;24
"351870 Guarujá";-;-;3;-;26;-;24;131;-;1;-;2;3;-;2;-;-;5;-;15;1;-;1;-;214
"351880 Guarulhos";-;-;5;-;71;1;133;222;-;1;3;9;1;-;21;1;-;5;1;50;1;-;2;-;527
"351885 Guatapará";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351890 Guzolândia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351900 Herculândia";-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;6
"351905 Holambra";-;-;-;-;3;-;1;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;10
"351907 Hortolândia";-;-;2;-;20;-;9;23;-;2;-;1;1;-;5;-;-;1;1;4;1;-;1;2;73
"351910 Iacanga";-;-;-;-;-;-;1;4;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;8
"351920 Iacri";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"351925 Iaras";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"351930 Ibaté";-;-;-;-;7;-;1;8;-;-;-;2;-;-;-;-;-;-;-;4;-;-;-;-;22
"351940 Ibirá";-;-;-;-;3;-;1;1;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;8
"351950 Ibirarema";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351960 Ibitinga";-;-;-;-;6;-;1;80;-;-;-;2;-;-;1;1;-;2;-;7;1;-;-;-;101
"351970 Ibiúna";-;-;-;-;16;-;2;14;-;-;-;1;-;-;1;-;-;-;-;2;2;-;-;-;38
"351980 Icém";-;-;-;-;2;-;2;4;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;10
"351990 Iepê";-;-;-;-;3;-;2;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;8
"352000 Igaraçu do Tietê";-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;8
"352010 Igarapava";-;-;-;-;5;-;-;27;-;-;-;1;-;-;1;-;-;-;-;4;-;-;-;-;38
"352020 Igaratá";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;5
"352030 Iguape";-;-;-;-;1;-;-;6;-;-;-;-;-;-;1;5;-;-;-;1;-;1;-;-;15
"352042 Ilha Comprida";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;6
"352044 Ilha Solteira";-;-;-;-;4;-;5;43;-;-;-;1;-;-;2;2;-;-;1;3;1;-;-;-;62
"352040 Ilhabela";-;-;1;-;7;-;1;2;-;-;-;1;-;-;-;-;1;-;-;2;-;-;-;-;15
"352050 Indaiatuba";-;-;2;-;14;-;23;179;-;-;1;2;3;-;18;-;-;1;1;23;2;-;1;1;271
"352060 Indiana";-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"352070 Indiaporã";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"352080 Inúbia Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352090 Ipaussu";-;-;-;-;2;-;-;5;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;10
"352100 Iperó";-;-;-;-;5;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;8
"352110 Ipeúna";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;3
"352115 Ipiguá";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352130 Ipuã";-;-;-;-;4;-;-;16;-;-;-;1;-;-;-;1;-;1;1;2;1;-;-;-;27
"352140 Iracemápolis";-;-;-;-;3;-;2;8;-;-;-;-;-;-;1;1;-;1;1;1;-;-;-;-;18
"352150 Irapuã";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352160 Irapuru";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352170 Itaberá";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;4;-;-;1;2;1;-;-;-;14
"352180 Itaí";-;-;-;-;6;-;-;15;-;-;-;1;-;-;1;-;-;-;-;3;1;-;-;-;27
"352190 Itajobi";-;-;-;-;4;-;-;4;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;11
"352200 Itaju";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352210 Itanhaém";-;-;1;-;9;-;13;12;-;2;-;1;-;-;3;-;-;1;1;2;2;-;1;1;49
"352215 Itaóca";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"352220 Itapecerica da Serra";-;-;1;-;12;-;5;12;-;-;1;2;-;-;2;-;-;1;1;2;-;-;-;-;39
"352230 Itapetininga";-;-;2;-;24;-;12;152;-;-;-;2;-;-;4;7;-;-;1;14;4;-;-;-;222
"352240 Itapeva";-;-;2;-;21;-;13;67;-;2;-;1;-;-;9;-;-;-;1;6;3;-;-;-;125
"352250 Itapevi";-;-;1;-;12;-;9;17;-;-;-;2;1;-;1;-;-;3;1;3;1;-;1;1;53
"352260 Itapira";-;-;1;-;16;-;10;95;-;-;3;2;-;-;2;-;-;-;-;9;1;-;-;-;139
"352265 Itapirapuã Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;5
"352270 Itápolis";-;-;-;-;7;-;4;52;-;-;-;1;-;-;1;1;-;-;1;8;-;-;-;-;75
"352280 Itaporanga";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;1;-;-;-;7
"352290 Itapuí";-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"352300 Itapura";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352310 Itaquaquecetuba";-;-;-;-;3;-;5;7;-;-;-;1;-;-;4;12;-;1;1;5;1;-;-;-;40
"352320 Itararé";-;-;1;-;5;-;7;40;-;-;-;1;-;-;1;5;-;-;1;4;-;-;-;-;65
"352330 Itariri";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352340 Itatiba";-;-;1;-;15;-;17;37;-;1;-;2;-;-;5;-;-;-;1;12;1;-;1;1;94
"352350 Itatinga";-;-;-;-;1;-;1;9;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;14
"352360 Itirapina";-;-;-;-;6;-;1;18;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;27
"352370 Itirapuã";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352380 Itobi";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352390 Itu";-;-;1;-;16;1;28;113;-;-;2;2;-;-;6;-;-;2;-;16;3;-;-;5;195
"352400 Itupeva";-;-;1;-;12;-;6;21;-;-;1;1;-;-;2;-;-;-;1;5;-;-;1;2;53
"352410 Ituverava";-;-;-;-;10;1;12;88;-;-;1;1;-;-;-;-;-;-;-;8;1;-;-;-;122
"352420 Jaborandi";-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;5
"352430 Jaboticabal";-;-;1;-;8;-;17;57;-;-;-;2;-;-;6;-;-;1;1;6;1;-;-;-;100
"352440 Jacareí";-;-;2;-;17;1;26;251;-;-;-;5;-;-;1;1;1;1;1;21;1;-;1;-;330
"352450 Jaci";-;-;-;-;2;-;4;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;8
"352460 Jacupiranga";-;-;-;-;4;-;-;5;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;12
"352470 Jaguariúna";-;-;-;-;6;1;2;33;-;-;-;1;-;-;2;-;-;-;1;4;2;-;-;1;53
"352480 Jales";-;-;-;-;9;-;10;107;-;-;-;1;-;-;2;-;-;1;1;14;1;-;-;-;146
"352490 Jambeiro";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352500 Jandira";-;-;1;-;9;1;4;5;-;-;1;1;-;-;3;-;-;1;-;1;1;-;-;1;29
"352510 Jardinópolis";-;-;-;-;8;-;4;6;-;-;-;1;-;-;4;-;-;-;1;4;1;-;-;-;29
"352520 Jarinu";-;-;-;-;2;1;2;3;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;12
"352530 Jaú";-;-;1;-;16;-;44;222;-;-;2;1;-;-;1;-;-;2;-;9;2;-;-;-;300
"352540 Jeriquara";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352550 Joanópolis";-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;5
"352560 João Ramalho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352570 José Bonifácio";-;-;-;-;8;-;6;9;-;-;-;1;-;-;3;-;-;-;-;5;-;-;-;-;32
"352580 Júlio Mesquita";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352585 Jumirim";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"352590 Jundiaí";-;1;3;-;35;-;151;947;-;1;1;5;3;-;10;-;-;3;3;39;-;-;-;-;1202
"352600 Junqueirópolis";-;-;1;-;4;-;-;7;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;16
"352610 Juquiá";-;-;-;-;5;-;-;2;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;11
"352620 Juquitiba";-;-;-;-;4;-;1;2;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;10
"352630 Lagoinha";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352640 Laranjal Paulista";-;-;1;-;6;-;4;37;-;-;-;1;-;-;2;-;-;-;1;5;1;-;-;-;58
"352650 Lavínia";-;-;-;-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"352660 Lavrinhas";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352670 Leme";-;-;1;-;12;-;24;93;-;-;-;2;-;-;2;-;-;-;1;10;1;-;-;3;149
"352680 Lençóis Paulista";-;-;-;-;10;1;1;104;-;-;-;1;1;-;1;-;-;1;1;7;-;-;-;1;129
"352690 Limeira";-;-;-;-;25;-;31;263;-;-;-;4;-;-;6;-;-;-;1;21;1;-;1;-;353
"352700 Lindóia";-;-;-;-;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"352710 Lins";-;1;5;-;7;-;4;253;-;-;1;3;-;-;1;3;-;-;-;8;2;-;-;-;288
"352720 Lorena";-;-;1;-;19;-;6;134;-;-;-;2;-;-;-;-;-;-;-;9;-;-;-;-;171
"352725 Lourdes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352730 Louveira";-;-;-;-;3;-;2;12;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;20
"352740 Lucélia";-;-;-;-;4;-;2;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;20
"352750 Lucianópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352760 Luís Antônio";-;-;-;-;4;-;1;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10
"352770 Luiziânia";-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;6
"352780 Lupércio";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352790 Lutécia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352800 Macatuba";-;-;-;-;4;-;4;5;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;15
"352810 Macaubal";-;-;-;-;1;-;-;5;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;8
"352820 Macedônia";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352830 Magda";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352840 Mairinque";-;-;-;-;16;-;7;12;-;-;-;-;-;-;-;-;-;1;-;1;2;-;-;-;39
"352850 Mairiporã";-;-;1;-;7;-;5;13;-;1;-;1;-;-;4;1;-;-;1;5;2;-;-;-;41
"352860 Manduri";-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10
"352870 Marabá Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352880 Maracaí";-;-;1;-;4;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;12
"352885 Marapoama";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352890 Mariápolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352900 Marília";-;-;2;-;48;-;32;408;-;2;2;6;-;1;2;-;1;1;1;18;2;-;3;-;529
"352910 Marinópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
