"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"Total"
"351590 Floreal";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"351600 Flórida Paulista";-;-;-;-;2;-;-;2;-;-;-;1;-;-;-;2;-;-;-;1;2;-;-;-;-;10
"351610 Florínia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"351620 Franca";-;1;1;-;23;1;119;367;-;2;3;3;-;-;4;-;2;-;-;2;21;4;-;2;1;556
"351630 Francisco Morato";-;-;1;-;12;-;6;10;-;1;-;2;-;-;3;-;-;-;-;1;2;2;-;-;1;41
"351640 Franco da Rocha";-;-;-;-;11;1;8;25;-;2;2;2;-;-;-;-;-;-;-;-;5;7;1;-;-;64
"351650 Gabriel Monteiro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351660 Gália";-;-;-;-;2;-;1;3;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;9
"351670 Garça";-;-;1;-;11;-;5;29;-;-;2;1;-;-;1;-;-;-;-;1;1;-;-;-;-;52
"351680 Gastão Vidigal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"351690 General Salgado";-;-;-;-;1;-;3;6;-;-;-;1;-;-;-;2;-;-;-;1;2;-;-;-;-;16
"351700 Getulina";-;-;-;-;3;-;-;11;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;16
"351710 Glicério";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"351720 Guaiçara";-;-;-;-;5;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;12
"351730 Guaimbê";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;4
"351740 Guaíra";-;-;-;-;10;-;5;34;-;-;-;1;-;-;-;1;-;-;-;1;4;1;-;-;-;57
"351750 Guapiaçu";-;-;1;-;7;-;4;2;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;17
"351760 Guapiara";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;6;-;-;1;1;1;-;-;-;-;11
"351770 Guará";-;-;1;-;5;1;4;14;-;-;-;1;-;-;-;1;-;-;-;1;2;-;-;-;-;30
"351780 Guaraçaí";-;-;-;-;1;-;-;9;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;13
"351790 Guaraci";-;-;-;-;4;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;9
"351800 Guarani d'Oeste";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351810 Guarantã";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"351820 Guararapes";-;-;-;-;4;-;-;21;-;-;-;1;-;-;-;-;-;-;-;-;3;1;-;-;-;30
"351830 Guararema";-;-;-;-;3;-;1;6;-;-;-;1;-;-;-;2;-;-;-;1;1;1;-;-;-;16
"351840 Guaratinguetá";-;-;-;-;9;1;10;145;-;1;-;2;1;-;9;5;-;-;1;1;10;1;-;-;1;197
"351850 Guareí";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"351860 Guariba";-;-;-;-;4;-;5;11;-;-;-;1;-;-;3;-;-;-;-;1;3;1;-;-;-;29
"351870 Guarujá";-;-;3;-;26;1;26;139;-;2;1;2;3;-;2;-;-;-;5;-;15;1;-;1;-;227
"351880 Guarulhos";-;-;6;-;72;-;140;238;-;1;3;10;1;-;27;1;-;-;5;1;53;1;-;2;-;561
"351885 Guatapará";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351890 Guzolândia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"351900 Herculândia";-;-;-;-;3;1;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;9
"351905 Holambra";-;-;-;-;3;-;1;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
"351907 Hortolândia";-;-;2;-;23;-;10;24;-;3;-;1;1;-;6;-;-;-;1;1;4;1;-;1;2;80
"351910 Iacanga";-;-;-;-;-;-;1;5;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;9
"351920 Iacri";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"351925 Iaras";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"351930 Ibaté";-;-;-;-;8;-;1;8;-;-;-;2;-;-;-;-;-;-;-;1;4;-;-;-;-;24
"351940 Ibirá";-;-;-;-;3;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;3;-;-;-;-;10
"351950 Ibirarema";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3
"351960 Ibitinga";-;-;-;-;6;-;3;83;-;-;-;2;-;-;2;1;-;-;2;1;7;-;-;-;-;107
"351970 Ibiúna";-;-;-;-;15;-;4;13;-;-;-;1;-;-;1;-;-;-;-;1;2;-;-;-;-;37
"351980 Icém";-;-;-;-;2;-;2;4;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;10
"351990 Iepê";-;-;-;-;3;-;2;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;9
"352000 Igaraçu do Tietê";-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;8
"352010 Igarapava";-;-;-;-;5;-;-;25;-;-;-;1;-;-;1;-;-;-;-;1;4;-;-;-;-;37
"352020 Igaratá";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;4
"352030 Iguape";-;-;-;-;1;-;-;6;-;-;-;-;-;-;1;5;-;-;-;-;1;-;1;-;-;15
"352042 Ilha Comprida";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;6
"352044 Ilha Solteira";-;-;-;-;4;-;5;52;-;-;-;1;-;-;2;2;-;-;-;1;3;-;-;-;-;70
"352040 Ilhabela";-;-;1;-;7;-;1;2;-;-;-;1;-;-;-;-;-;1;-;1;2;-;-;-;-;16
"352050 Indaiatuba";-;-;3;-;4;-;26;195;-;-;1;2;3;-;18;8;-;-;1;1;24;2;-;1;1;290
"352060 Indiana";-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"352070 Indiaporã";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"352080 Inúbia Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352090 Ipaussu";-;-;-;-;2;-;-;5;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;11
"352100 Iperó";-;-;1;-;5;-;-;3;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;11
"352110 Ipeúna";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;3
"352115 Ipiguá";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352130 Ipuã";-;-;-;-;4;-;-;18;-;-;-;1;-;-;-;1;-;-;1;1;2;-;-;-;-;28
"352140 Iracemápolis";-;-;-;-;3;-;2;8;-;-;-;-;-;-;1;1;-;-;1;1;1;-;-;-;-;18
"352150 Irapuã";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"352160 Irapuru";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352170 Itaberá";-;-;-;-;5;-;1;-;-;-;-;1;-;-;-;4;-;-;-;1;2;-;-;-;-;14
"352180 Itaí";-;-;-;-;6;-;-;16;-;-;-;1;-;-;1;-;-;-;-;1;2;1;-;-;-;28
"352190 Itajobi";-;-;-;-;4;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;13
"352200 Itaju";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352210 Itanhaém";-;-;1;-;9;-;13;14;-;2;-;1;-;-;3;-;-;-;1;1;2;2;-;1;1;51
"352215 Itaóca";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352220 Itapecerica da Serra";-;-;1;-;12;-;6;12;-;-;1;2;-;-;2;-;-;-;1;1;2;-;-;-;-;40
"352230 Itapetininga";-;-;2;-;25;-;13;176;-;-;-;2;1;-;3;7;-;-;-;1;14;1;-;-;-;245
"352240 Itapeva";-;-;2;-;21;-;14;65;-;2;-;1;-;-;16;-;-;-;-;1;5;1;-;-;-;128
"352250 Itapevi";-;-;1;-;12;1;14;17;-;1;-;2;-;-;2;-;-;-;4;1;3;1;-;1;1;61
"352260 Itapira";-;-;1;-;16;-;10;105;-;-;3;2;-;-;2;-;-;-;-;1;9;1;-;-;-;150
"352265 Itapirapuã Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"352270 Itápolis";-;-;-;-;7;-;4;49;-;-;-;1;-;-;1;-;-;-;-;1;8;-;-;-;-;71
"352280 Itaporanga";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;3;1;-;-;-;9
"352290 Itapuí";-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"352300 Itapura";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352310 Itaquaquecetuba";-;-;-;-;16;-;5;7;-;-;-;1;-;-;4;-;-;-;1;1;5;2;-;1;-;43
"352320 Itararé";-;-;1;-;5;-;7;41;-;-;-;1;-;-;1;5;-;-;-;1;4;-;-;-;-;66
"352330 Itariri";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352340 Itatiba";-;-;1;-;16;-;20;38;-;1;-;2;-;-;5;-;-;-;-;1;12;1;-;1;1;99
"352350 Itatinga";-;-;-;-;1;-;1;13;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;18
"352360 Itirapina";-;-;-;-;6;-;1;18;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;27
"352370 Itirapuã";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"352380 Itobi";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3
"352390 Itu";-;-;1;-;15;-;35;118;-;1;2;2;-;-;7;-;2;-;1;1;14;1;-;-;4;204
"352400 Itupeva";-;-;1;-;12;-;6;21;-;-;1;1;-;-;2;-;-;-;-;1;5;-;-;1;2;53
"352410 Ituverava";-;-;-;-;10;1;12;94;-;-;1;1;-;-;-;-;-;-;-;-;8;1;-;-;-;128
"352420 Jaborandi";-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;5
"352430 Jaboticabal";-;-;2;-;8;-;18;59;-;-;-;2;-;-;6;-;1;-;-;1;8;-;-;-;-;105
"352440 Jacareí";-;-;2;-;17;-;27;271;-;-;-;5;-;-;2;-;2;-;1;1;20;-;-;1;-;349
"352450 Jaci";-;-;-;-;3;-;4;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;10
"352460 Jacupiranga";-;-;-;-;4;-;-;5;-;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;13
"352470 Jaguariúna";-;-;-;-;6;1;4;31;-;-;-;1;-;-;4;-;-;-;-;1;6;-;-;-;1;55
"352480 Jales";-;-;-;-;9;-;9;116;-;-;-;1;-;-;2;-;-;-;1;1;14;1;-;-;-;154
"352490 Jambeiro";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352500 Jandira";-;-;1;-;9;-;4;8;-;-;1;1;-;-;3;-;1;-;-;1;1;1;-;-;1;32
"352510 Jardinópolis";-;-;-;-;8;-;5;16;-;-;-;-;-;-;4;-;-;-;-;1;4;-;-;-;-;38
"352520 Jarinu";-;-;-;-;2;1;2;3;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;-;-;12
"352530 Jaú";-;-;1;-;15;-;54;261;-;-;2;1;-;-;1;-;1;-;1;1;10;-;-;-;-;348
"352540 Jeriquara";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352550 Joanópolis";-;-;-;-;2;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;6
"352560 João Ramalho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352570 José Bonifácio";-;-;-;-;7;-;6;9;-;-;-;1;-;-;4;-;-;-;-;1;5;-;-;-;-;33
"352580 Júlio Mesquita";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352585 Jumirim";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"352590 Jundiaí";-;1;3;-;35;-;166;1007;-;1;1;5;4;-;10;-;4;-;-;2;42;-;-;-;-;1281
"352600 Junqueirópolis";-;-;1;-;4;-;-;7;-;-;-;1;-;-;-;1;-;-;1;-;1;-;-;-;-;16
"352610 Juquiá";-;-;-;-;5;-;-;2;-;-;-;1;-;-;-;2;-;-;-;-;2;-;-;-;-;12
"352620 Juquitiba";-;-;-;-;4;-;1;4;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;13
"352630 Lagoinha";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352640 Laranjal Paulista";-;-;1;-;6;-;5;42;-;-;-;1;-;-;2;-;-;-;-;1;5;-;-;-;-;63
"352650 Lavínia";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"352660 Lavrinhas";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352670 Leme";-;-;1;-;12;-;25;87;-;-;-;2;-;-;2;-;-;-;-;1;11;2;-;-;2;145
"352680 Lençóis Paulista";-;-;-;-;10;1;2;104;-;-;-;1;1;-;1;-;-;-;1;1;11;-;-;1;1;135
"352690 Limeira";-;-;-;-;25;-;34;328;-;-;-;4;-;-;6;-;-;-;-;1;21;1;-;1;-;421
"352700 Lindóia";-;-;-;-;3;-;2;2;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;1;-;12
"352710 Lins";-;1;4;-;7;-;4;256;-;-;2;3;-;-;1;3;-;-;-;1;9;-;-;-;-;291
"352720 Lorena";-;-;1;-;16;-;7;143;-;-;-;2;-;-;-;-;-;-;-;1;11;-;-;-;-;181
"352725 Lourdes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352730 Louveira";-;-;-;-;3;-;2;13;-;-;-;1;-;-;1;-;-;-;-;1;2;1;-;-;-;24
"352740 Lucélia";-;-;-;-;5;-;2;12;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;22
"352750 Lucianópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352760 Luís Antônio";-;-;-;-;4;-;1;7;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;13
"352770 Luiziânia";-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;6
"352780 Lupércio";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"352790 Lutécia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352800 Macatuba";-;-;-;-;4;-;4;7;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;18
"352810 Macaubal";-;-;-;-;1;-;-;5;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;9
"352820 Macedônia";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"352830 Magda";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352840 Mairinque";-;-;-;-;14;-;9;13;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;38
"352850 Mairiporã";-;-;1;-;7;-;6;14;-;1;-;1;-;-;4;1;-;-;-;1;5;2;-;-;-;43
"352860 Manduri";-;-;-;-;3;-;2;5;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;12
"352870 Marabá Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352880 Maracaí";-;-;1;-;4;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;13
"352885 Marapoama";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352890 Mariápolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352900 Marília";-;-;2;-;51;-;33;438;-;2;2;5;-;1;2;1;-;1;1;2;20;1;-;3;-;565
"352910 Marinópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352920 Martinópolis";-;-;2;-;7;-;3;12;-;-;-;1;-;-;-;1;-;-;-;-;2;-;-;-;-;28
"352930 Matão";-;-;1;-;11;-;24;92;-;-;-;1;-;-;2;-;1;-;-;1;5;-;-;-;1;139
"352940 Mauá";-;-;3;-;23;-;24;117;-;-;1;4;-;-;8;-;-;-;-;1;26;2;-;1;1;211
"352950 Mendonça";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352960 Meridiano";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"352965 Mesópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352970 Miguelópolis";-;-;-;-;6;1;3;9;-;-;-;1;-;-;1;-;-;-;1;-;5;-;-;-;-;27
"352980 Mineiros do Tietê";-;-;-;-;2;-;2;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;8
"353000 Mira Estrela";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
