"Município";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"351990 Iepê";-;3;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"352000 Igaraçu do Tietê";-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"352010 Igarapava";-;5;-;-;19;-;-;-;1;-;-;1;-;-;-;-;4;-;-;-;-;-;30
"352020 Igaratá";-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;5
"352030 Iguape";-;6;-;-;4;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;13
"352042 Ilha Comprida";-;3;-;-;1;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;7
"352044 Ilha Solteira";-;4;-;5;33;-;-;-;1;-;-;2;2;-;-;-;8;1;-;-;-;-;56
"352040 Ilhabela";-;7;-;1;1;-;-;-;1;-;-;-;-;1;-;-;2;-;-;-;-;-;13
"352050 Indaiatuba";-;10;1;23;127;-;-;1;2;2;-;4;2;-;1;-;18;2;1;1;-;-;195
"352060 Indiana";-;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352070 Indiaporã";-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352080 Inúbia Paulista";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352090 Ipaussu";-;2;-;-;6;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;10
"352100 Iperó";-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;7
"352110 Ipeúna";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352115 Ipiguá";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352120 Iporanga";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352130 Ipuã";-;5;-;-;14;-;-;-;1;-;-;-;-;-;1;-;2;2;-;-;-;-;25
"352140 Iracemápolis";-;3;-;2;3;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;10
"352150 Irapuã";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352160 Irapuru";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"352170 Itaberá";-;5;-;-;-;-;-;-;1;-;-;-;5;-;-;-;2;1;-;-;-;-;14
"352180 Itaí";-;6;-;-;15;-;-;-;1;-;-;2;-;-;-;-;2;1;-;-;-;-;27
"352190 Itajobi";-;4;-;-;4;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;11
"352200 Itaju";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352210 Itanhaém";-;8;-;14;5;-;1;-;1;-;-;3;-;-;1;-;2;2;-;-;-;-;37
"352215 Itaóca";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"352220 Itapecerica da Serra";-;12;-;6;9;-;-;1;2;-;-;2;-;-;1;1;2;-;-;-;-;-;36
"352230 Itapetininga";-;20;-;11;116;-;-;-;2;-;-;5;6;-;-;-;12;4;-;-;-;-;176
"352240 Itapeva";-;23;-;9;46;-;-;-;1;-;-;7;-;-;-;-;6;3;-;1;-;1;97
"352250 Itapevi";-;11;-;7;9;-;-;-;2;-;-;1;-;-;3;-;1;1;-;-;-;1;36
"352260 Itapira";-;15;-;19;81;-;-;3;2;-;-;10;-;-;-;-;9;1;-;-;-;-;140
"352265 Itapirapuã Paulista";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;4
"352270 Itápolis";-;5;-;-;40;-;-;-;1;-;-;2;2;-;-;-;7;1;-;-;-;1;59
"352280 Itaporanga";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;5
"352290 Itapuí";-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352300 Itapura";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352310 Itaquaquecetuba";-;4;-;3;2;-;-;-;2;-;-;2;10;-;-;-;4;1;-;-;-;-;28
"352320 Itararé";-;7;-;6;39;-;-;-;1;-;-;2;5;-;-;-;4;1;-;-;-;-;65
"352330 Itariri";-;5;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"352340 Itatiba";-;14;-;14;29;-;-;-;2;-;-;6;-;-;-;-;9;1;-;1;-;1;77
"352350 Itatinga";-;1;-;-;6;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;11
"352360 Itirapina";-;3;-;-;16;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;21
"352370 Itirapuã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352380 Itobi";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2
"352390 Itu";-;15;-;28;82;-;-;2;2;-;-;6;-;-;2;-;14;3;-;-;-;4;158
"352400 Itupeva";-;12;-;4;17;-;-;1;1;-;-;3;-;-;-;-;2;1;-;-;-;2;43
"352410 Ituverava";-;12;1;11;71;-;-;1;1;-;-;-;-;-;-;-;9;1;-;-;-;-;107
"352420 Jaborandi";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"352430 Jaboticabal";-;9;-;22;48;-;-;-;2;-;-;7;-;-;1;-;7;1;-;-;-;-;97
"352440 Jacareí";-;17;-;23;228;-;-;-;2;-;-;1;1;1;1;-;16;1;-;-;-;-;291
"352450 Jaci";-;1;-;4;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"352460 Jacupiranga";-;4;-;-;2;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;9
"352470 Jaguariúna";-;5;-;2;17;-;2;-;1;-;-;3;-;-;-;-;3;2;-;-;-;1;36
"352480 Jales";-;9;-;13;46;-;-;-;1;-;-;1;-;-;1;-;17;1;-;-;-;-;89
"352490 Jambeiro";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352500 Jandira";-;10;-;5;1;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;1;21
"352510 Jardinópolis";-;9;-;3;4;-;-;-;1;-;-;1;-;-;-;-;3;1;-;-;-;-;22
"352520 Jarinu";-;2;-;-;2;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;8
"352530 Jaú";-;15;-;46;71;-;-;2;2;-;-;1;-;-;2;-;11;2;-;-;-;-;152
"352540 Jeriquara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352550 Joanópolis";-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;4
"352560 João Ramalho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352570 José Bonifácio";-;8;-;5;7;-;-;-;1;-;-;2;-;-;-;-;4;-;-;-;-;-;27
"352580 Júlio Mesquita";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352585 Jumirim";-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"352590 Jundiaí";-;37;-;137;633;-;1;2;5;5;-;10;-;-;4;3;39;-;-;1;-;-;877
"352600 Junqueirópolis";-;4;-;-;1;-;-;-;1;-;-;-;1;-;1;-;3;-;-;-;-;-;11
"352610 Juquiá";-;5;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;10
"352620 Juquitiba";-;5;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;9
"352630 Lagoinha";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352640 Laranjal Paulista";-;7;-;2;31;-;-;-;1;-;-;2;-;-;-;-;5;1;-;-;-;-;49
"352650 Lavínia";-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"352660 Lavrinhas";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352670 Leme";-;16;-;35;53;-;-;-;2;-;-;2;-;-;-;1;14;1;-;-;-;6;130
"352680 Lençóis Paulista";-;10;-;2;91;-;-;-;1;1;-;1;-;-;1;-;10;1;-;-;-;1;119
"352690 Limeira";-;27;-;54;198;-;-;-;4;-;-;8;-;-;-;1;17;1;-;2;-;-;312
"352700 Lindóia";-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"352710 Lins";-;6;-;7;204;-;-;2;3;-;-;1;3;-;-;-;8;2;-;-;-;-;236
"352720 Lorena";-;17;-;9;124;-;-;-;2;-;-;-;-;-;-;-;9;-;-;-;-;-;161
"352725 Lourdes";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352730 Louveira";-;2;-;1;10;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;17
"352740 Lucélia";-;3;-;-;10;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;16
"352750 Lucianópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352760 Luís Antônio";-;4;-;1;2;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;9
"352770 Luiziânia";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"352780 Lupércio";-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352790 Lutécia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352800 Macatuba";-;3;-;3;4;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;12
"352810 Macaubal";-;1;-;1;1;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;6
"352820 Macedônia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352830 Magda";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352840 Mairinque";-;16;-;4;7;-;-;-;1;-;-;-;-;-;-;-;2;2;-;-;-;-;32
"352850 Mairiporã";-;8;-;5;12;-;1;-;1;-;-;3;1;-;-;-;1;1;-;-;-;-;33
"352860 Manduri";-;3;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10
"352870 Marabá Paulista";-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352880 Maracaí";-;4;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;9
"352885 Marapoama";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352890 Mariápolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352900 Marília";-;47;1;33;296;-;-;2;5;-;1;2;-;1;1;-;18;2;-;3;-;-;412
"352910 Marinópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352920 Martinópolis";-;7;-;2;10;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;22
"352930 Matão";-;8;-;7;82;-;-;-;1;-;-;1;1;-;-;-;3;1;-;-;-;1;105
"352940 Mauá";-;23;-;21;93;-;-;1;4;-;-;7;-;-;-;-;25;3;-;1;-;1;179
"352950 Mendonça";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352960 Meridiano";-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352965 Mesópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352970 Miguelópolis";-;7;-;1;5;-;-;-;1;-;-;-;-;-;1;-;6;-;-;-;-;-;21
"352980 Mineiros do Tietê";-;2;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"353000 Mira Estrela";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352990 Miracatu";-;4;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;8
"353010 Mirandópolis";-;8;-;-;15;-;-;-;2;-;-;-;1;-;-;-;7;2;-;-;-;-;35
"353020 Mirante do Paranapanema";-;7;-;1;4;-;-;-;-;-;-;2;1;-;-;-;1;-;-;-;-;-;16
"353030 Mirassol";-;5;-;17;11;-;-;-;2;-;-;-;1;-;1;-;6;1;-;-;-;-;44
"353040 Mirassolândia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353050 Mococa";-;60;-;40;7;1;-;1;1;1;-;5;-;-;1;-;10;2;-;1;-;-;130
"353060 Mogi das Cruzes";-;33;1;62;79;-;1;-;6;-;-;6;-;-;-;-;34;3;-;-;-;1;226
"353070 Mogi Guaçu";-;16;-;33;161;-;-;-;3;-;-;2;-;-;1;-;12;2;-;-;-;-;230
"353080 Mogi Mirim";-;13;-;10;66;-;-;1;1;-;-;1;-;-;-;-;13;1;-;-;-;-;106
"353090 Mombuca";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353100 Monções";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;3
"353110 Mongaguá";-;8;-;6;5;-;1;-;1;-;-;1;-;-;2;-;-;1;-;-;-;-;25
"353120 Monte Alegre do Sul";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;5
"353130 Monte Alto";-;7;-;4;99;-;-;-;2;-;-;16;-;-;1;-;1;1;-;-;-;-;131
"353140 Monte Aprazível";-;4;-;11;7;-;-;-;1;-;-;-;2;-;-;-;1;1;-;-;-;-;27
"353150 Monte Azul Paulista";-;2;-;1;9;-;-;-;2;-;-;1;-;-;1;-;3;-;-;-;-;-;19
"353160 Monte Castelo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353180 Monte Mor";-;8;-;5;9;-;-;-;1;-;-;-;-;-;-;-;3;2;-;-;-;1;29
"353170 Monteiro Lobato";-;1;-;-;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;5
"353190 Morro Agudo";-;7;-;2;20;-;-;-;1;-;-;-;1;-;-;-;2;2;-;-;-;-;35
"353200 Morungaba";-;3;-;2;-;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;9
"353205 Motuca";-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353210 Murutinga do Sul";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353215 Nantes";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353220 Narandiba";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353230 Natividade da Serra";-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353240 Nazaré Paulista";-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353250 Neves Paulista";-;2;-;1;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;7
"353260 Nhandeara";-;4;-;3;7;-;-;1;1;-;-;-;-;-;-;-;3;-;-;-;-;-;19
"353270 Nipoã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353280 Nova Aliança";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353282 Nova Campina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353284 Nova Canaã Paulista";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353286 Nova Castilho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353290 Nova Europa";-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"353300 Nova Granada";-;2;-;2;-;-;-;-;1;-;-;1;2;-;-;-;1;-;-;-;-;-;9
"353310 Nova Guataporanga";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353320 Nova Independência";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353330 Nova Luzitânia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353340 Nova Odessa";-;4;-;5;21;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;33
"353325 Novais";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353350 Novo Horizonte";-;5;-;22;9;-;-;-;1;-;-;-;1;-;-;-;3;-;-;-;-;-;41
"353360 Nuporanga";-;4;-;-;10;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;17
"353370 Ocauçu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353380 Óleo";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353390 Olímpia";-;8;-;4;29;-;-;-;1;-;-;2;-;-;-;-;11;-;-;-;-;-;55
"353400 Onda Verde";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353410 Oriente";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353420 Orindiúva";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353430 Orlândia";-;6;-;1;72;-;-;-;1;-;-;2;-;-;-;-;5;2;-;1;-;-;90
"353440 Osasco";-;37;-;106;242;-;3;1;7;-;-;5;-;1;4;-;33;3;-;1;-;1;444
"353450 Oscar Bressane";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353460 Osvaldo Cruz";-;5;-;1;16;-;-;-;2;-;-;1;1;-;-;-;7;1;-;-;-;1;35
"353470 Ourinhos";-;15;-;20;178;-;-;3;3;-;-;5;3;-;-;-;22;2;-;-;-;-;251
"353480 Ouro Verde";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;4
"353475 Ouroeste";-;1;-;-;5;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"353490 Pacaembu";-;4;1;-;4;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;13
"353500 Palestina";-;1;-;2;2;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;8
"353510 Palmares Paulista";-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"353520 Palmeira d'Oeste";-;1;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;6
"353530 Palmital";-;5;-;1;5;-;-;-;2;-;-;1;-;-;-;1;1;1;-;-;-;-;17
"353540 Panorama";-;1;-;-;1;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;-;6
"353550 Paraguaçu Paulista";-;12;-;2;23;-;-;-;1;-;-;1;-;-;-;-;6;1;-;-;-;1;47
"353560 Paraibuna";-;1;-;-;-;-;-;-;1;-;-;-;5;-;1;-;1;-;-;-;-;-;9
"353570 Paraíso";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353580 Paranapanema";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;-;-;6
"353590 Paranapuã";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353600 Parapuã";-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"353610 Pardinho";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353620 Pariquera-Açu";-;5;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;10
"353625 Parisi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353630 Patrocínio Paulista";-;5;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"353640 Paulicéia";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353650 Paulínia";-;7;1;11;44;-;-;-;2;-;-;12;-;-;-;1;4;1;-;-;-;1;84
"353657 Paulistânia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353660 Paulo de Faria";-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"353670 Pederneiras";-;9;-;2;7;-;-;-;1;-;-;-;-;-;-;-;4;-;-;-;-;-;23
"353680 Pedra Bela";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353690 Pedranópolis";-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;3
"353700 Pedregulho";-;6;-;3;5;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;17
"353710 Pedreira";-;6;-;2;2;-;-;-;1;-;-;3;-;-;1;-;5;-;-;-;-;-;20
"353715 Pedrinhas Paulista";-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;7
"353720 Pedro de Toledo";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353730 Penápolis";-;13;-;3;69;-;-;1;2;-;-;-;-;-;1;1;14;1;-;-;-;1;106
"353740 Pereira Barreto";-;3;-;-;12;-;-;-;1;-;-;-;1;-;-;-;2;2;-;-;-;-;21
"353750 Pereiras";-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"353760 Peruíbe";-;8;-;5;9;-;-;-;1;-;-;1;4;-;-;-;1;1;-;-;-;-;30
"353770 Piacatu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353780 Piedade";-;6;-;-;12;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"353790 Pilar do Sul";-;3;-;1;3;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;10
"353800 Pindamonhangaba";-;22;-;17;146;-;-;-;3;-;-;8;-;-;1;-;14;1;-;-;-;1;213
"353810 Pindorama";-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"353820 Pinhalzinho";-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"353830 Piquerobi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353850 Piquete";-;4;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"353860 Piracaia";-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;5
"353870 Piracicaba";-;58;1;113;315;-;1;-;6;2;-;4;-;1;4;-;73;2;-;1;-;-;581
"353880 Piraju";-;8;-;1;35;-;-;-;1;-;-;1;-;-;-;-;4;1;-;-;-;-;51
"353890 Pirajuí";-;7;-;1;19;-;-;1;1;-;-;-;-;-;1;-;3;-;-;-;-;-;33
"353900 Pirangi";-;2;-;1;7;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;12
"353910 Pirapora do Bom Jesus";-;4;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;7
"353920 Pirapozinho";-;4;-;1;6;-;-;1;-;-;-;-;1;-;1;-;6;-;-;-;-;-;20
"353930 Pirassununga";-;16;-;9;70;-;-;-;2;-;-;2;1;-;-;-;7;-;-;-;-;-;107
"353940 Piratininga";-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"353950 Pitangueiras";-;7;-;2;13;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;26
"353960 Planalto";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353970 Platina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353980 Poá";-;10;-;2;5;-;-;-;1;-;-;3;-;-;-;-;4;3;-;-;-;-;28
"353990 Poloni";-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"354000 Pompéia";-;6;-;6;26;-;-;-;1;-;-;-;1;-;1;1;4;-;-;-;-;-;46
"354010 Pongaí";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354020 Pontal";-;8;-;1;8;-;-;-;1;-;-;3;-;-;-;-;8;1;-;-;-;-;30
"354025 Pontalinda";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354030 Pontes Gestal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354040 Populina";-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354050 Porangaba";-;3;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
"354060 Porto Feliz";-;7;1;4;27;-;1;-;1;-;-;-;-;-;-;1;3;2;-;-;-;-;47
"354070 Porto Ferreira";-;5;-;-;69;-;-;-;1;-;-;3;4;-;-;-;8;1;-;-;-;-;91
"354075 Potim";-;1;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;4
"354080 Potirendaba";-;4;-;1;6;-;-;-;1;-;-;-;-;-;-;-;3;1;-;-;-;-;16
"354085 Pracinha";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354090 Pradópolis";-;5;-;-;5;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;12
"354100 Praia Grande";-;21;1;17;36;1;-;-;1;3;-;3;1;-;3;-;11;2;-;-;-;1;101
"354105 Pratânia";-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"354110 Presidente Alves";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354120 Presidente Bernardes";-;9;-;-;5;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;17
"354130 Presidente Epitácio";-;8;-;-;16;-;-;-;1;-;-;-;1;-;-;-;5;1;-;-;-;-;32
