"Município";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"350460 Bady Bassitt";-;1;-;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;5
"350470 Balbinos";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350480 Bálsamo";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350490 Bananal";-;2;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;7
"350500 Barão de Antonina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350510 Barbosa";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350520 Bariri";-;4;-;1;15;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;23
"350530 Barra Bonita";-;5;-;-;12;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;21
"350535 Barra do Chapéu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350540 Barra do Turvo";-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"350550 Barretos";-;14;1;8;62;-;1;2;2;-;2;-;-;-;5;1;-;-;-;-;98
"350560 Barrinha";-;3;-;-;1;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;7
"350570 Barueri";-;16;-;33;13;-;-;1;2;-;5;-;-;3;7;2;-;-;-;-;82
"350580 Bastos";-;3;-;3;2;-;-;-;1;-;-;1;-;1;1;-;-;-;-;-;12
"350590 Batatais";-;6;-;3;130;-;-;-;1;-;3;1;-;1;6;1;-;-;-;-;152
"350600 Bauru";-;24;-;51;83;-;1;4;7;-;5;-;-;4;31;4;-;-;-;-;214
"350610 Bebedouro";-;16;-;12;13;-;-;-;3;-;2;-;-;-;8;1;-;-;-;-;55
"350620 Bento de Abreu";-;1;-;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;5
"350630 Bernardino de Campos";-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;5
"350635 Bertioga";-;5;-;3;1;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;12
"350640 Bilac";-;1;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;4
"350650 Birigui";-;7;-;2;10;-;-;1;2;-;1;-;-;-;10;-;-;-;-;-;33
"350660 Biritiba-Mirim";-;5;-;-;2;-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;11
"350670 Boa Esperança do Sul";-;3;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;6
"350680 Bocaina";-;3;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;6
"350690 Bofete";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"350700 Boituva";-;3;-;2;17;-;-;-;1;-;2;-;-;-;4;1;-;-;-;-;30
"350710 Bom Jesus dos Perdões";-;-;-;1;1;-;-;-;-;-;1;-;-;-;2;1;1;-;-;-;7
"350715 Bom Sucesso de Itararé";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350720 Borá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350730 Boracéia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350740 Borborema";-;5;-;3;1;-;-;-;1;-;3;-;-;1;1;-;-;-;-;-;15
"350745 Borebi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350750 Botucatu";-;20;1;8;97;-;1;1;3;2;1;-;-;-;5;2;-;-;-;1;142
"350760 Bragança Paulista";-;20;-;31;32;-;-;-;2;1;1;4;-;1;10;2;-;1;-;1;106
"350770 Braúna";-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"350775 Brejo Alegre";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350780 Brodowski";-;4;-;-;-;-;-;-;-;-;2;-;-;-;2;1;-;-;-;-;9
"350790 Brotas";-;4;-;1;2;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;10
"350800 Buri";-;3;-;-;2;-;-;-;-;-;-;4;-;-;2;1;1;-;-;-;13
"350810 Buritama";-;4;-;-;4;-;-;-;1;-;-;-;-;-;4;1;-;-;-;-;14
"350820 Buritizal";-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350830 Cabrália Paulista";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350840 Cabreúva";-;2;-;1;1;-;-;-;1;-;3;-;-;-;1;1;-;-;-;-;10
"350850 Caçapava";-;7;-;4;105;1;-;-;2;-;1;1;-;1;4;-;-;-;-;-;126
"350860 Cachoeira Paulista";-;9;-;-;7;-;-;-;1;-;2;-;-;1;3;-;-;-;-;-;23
"350870 Caconde";-;1;-;-;-;-;-;-;1;-;-;1;-;-;3;-;-;-;-;-;6
"350880 Cafelândia";-;3;-;-;1;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;8
"350890 Caiabu";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350900 Caieiras";-;3;-;4;6;-;-;-;1;-;5;5;-;-;1;2;1;-;-;1;29
"350910 Caiuá";-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;4
"350920 Cajamar";-;7;-;1;7;-;-;-;1;-;1;-;1;-;-;1;-;-;-;1;20
"350925 Cajati";-;4;-;-;2;-;-;-;1;-;-;2;-;-;2;-;-;-;-;-;11
"350930 Cajobi";-;4;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;7
"350940 Cajuru";-;9;-;2;11;-;-;-;1;-;3;-;-;-;2;1;-;1;-;-;30
"350945 Campina do Monte Alegre";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350950 Campinas";-;53;1;134;119;-;1;17;18;4;12;1;2;2;92;6;-;1;-;-;463
"350960 Campo Limpo Paulista";-;6;-;6;1;-;-;-;1;-;6;-;-;-;7;1;-;-;-;-;28
"350970 Campos do Jordão";-;2;-;3;3;-;-;3;4;-;-;11;-;1;-;-;-;-;-;-;27
"350980 Campos Novos Paulista";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350990 Cananéia";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"350995 Canas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351000 Cândido Mota";-;7;-;2;22;-;-;-;1;-;3;-;-;-;3;1;-;-;-;-;39
"351010 Cândido Rodrigues";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351015 Canitar";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;11;-;3;1;-;-;-;1;-;2;-;-;-;4;1;-;-;-;-;23
"351030 Capela do Alto";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"351040 Capivari";-;3;-;8;63;-;-;-;2;-;4;2;-;-;4;1;-;-;-;-;87
"351050 Caraguatatuba";-;11;-;10;31;-;-;-;2;1;2;2;-;-;8;2;-;1;-;1;71
"351060 Carapicuíba";-;11;-;9;5;-;-;-;2;-;4;-;-;2;3;2;1;-;-;1;40
"351070 Cardoso";-;1;-;-;3;-;-;-;1;-;-;1;-;-;3;-;-;-;-;-;9
"351080 Casa Branca";-;4;-;3;22;-;-;2;1;-;1;-;-;1;8;-;-;-;-;-;42
"351090 Cássia dos Coqueiros";-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351100 Castilho";-;1;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;4
"351110 Catanduva";-;21;-;151;4;2;2;1;3;-;3;-;-;-;20;1;-;1;-;1;210
"351120 Catiguá";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351130 Cedral";-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351140 Cerqueira César";-;2;-;-;1;-;-;-;1;-;-;1;-;-;1;1;-;-;-;1;8
"351150 Cerquilho";-;5;-;5;50;-;-;-;1;-;12;-;-;-;4;2;-;-;-;-;79
"351160 Cesário Lange";-;3;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;6
"351170 Charqueada";-;4;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;7
"355720 Chavantes";-;2;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;6
"351190 Clementina";-;1;-;-;3;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;6
"351200 Colina";-;5;-;10;20;-;-;-;1;-;1;-;-;1;1;-;-;-;-;-;39
"351210 Colômbia";-;3;-;-;2;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;7
"351220 Conchal";-;4;-;-;17;-;-;-;1;-;1;-;-;-;2;1;-;-;-;-;26
"351230 Conchas";-;4;-;1;20;-;-;-;1;-;-;2;-;-;4;1;-;-;-;-;33
"351240 Cordeirópolis";-;3;-;1;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;7
"351250 Coroados";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"351260 Coronel Macedo";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;3
"351270 Corumbataí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351280 Cosmópolis";-;7;-;5;8;-;-;-;1;-;3;2;-;-;1;1;-;-;-;-;28
"351290 Cosmorama";-;2;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"351300 Cotia";-;22;-;9;5;-;-;1;2;-;5;-;-;1;2;2;-;-;-;-;49
"351310 Cravinhos";-;2;-;2;10;-;-;-;1;-;1;-;-;-;3;-;-;-;-;-;19
"351320 Cristais Paulista";-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351330 Cruzália";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351340 Cruzeiro";-;12;-;13;65;-;-;-;1;1;1;4;-;1;14;1;-;-;-;1;114
"351350 Cubatão";-;17;-;2;40;-;-;-;2;-;2;1;1;2;19;1;-;-;-;-;87
"351360 Cunha";-;5;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"351370 Descalvado";-;9;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"351380 Diadema";-;20;-;28;14;-;-;1;4;2;11;-;-;1;10;2;-;1;-;-;94
"351385 Dirce Reis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351390 Divinolândia";-;1;-;-;11;-;-;-;1;-;-;3;-;-;3;-;-;-;-;-;19
"351400 Dobrada";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"351410 Dois Córregos";-;5;-;2;11;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;21
"351420 Dolcinópolis";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351430 Dourado";-;2;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"351440 Dracena";-;7;-;3;36;-;-;-;1;-;3;-;-;-;6;-;-;-;-;-;56
"351450 Duartina";-;4;-;1;1;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;9
"351460 Dumont";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351470 Echaporã";-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"351480 Eldorado";-;3;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;6
"351490 Elias Fausto";-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;4
"351492 Elisiário";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351495 Embaúba";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351500 Embu das Artes";-;12;-;2;2;-;-;-;-;-;1;-;-;-;-;1;2;-;-;-;20
"351510 Embu-Guaçu";-;6;-;1;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;10
"351512 Emilianópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351515 Engenheiro Coelho";-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351518 Espírito Santo do Pinhal";-;5;-;5;74;-;-;2;1;-;-;-;-;-;6;2;-;-;-;-;95
"351519 Espírito Santo do Turvo";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"355730 Estiva Gerbi";-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;4
"351520 Estrela d'Oeste";-;1;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;5
"351530 Estrela do Norte";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351535 Euclides da Cunha Paulista";-;2;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;6
"351540 Fartura";-;2;-;1;21;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;27
"351560 Fernando Prestes";-;1;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"351550 Fernandópolis";-;11;-;5;94;-;-;-;2;-;2;-;-;-;19;2;-;-;-;-;135
"351565 Fernão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351570 Ferraz de Vasconcelos";-;9;-;4;3;-;-;-;1;-;1;-;-;-;3;2;-;-;-;-;23
"351580 Flora Rica";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351590 Floreal";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351600 Flórida Paulista";-;3;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;6
"351610 Florínia";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351620 Franca";-;22;1;20;80;-;-;2;3;-;3;-;-;2;18;4;-;1;-;1;157
"351630 Francisco Morato";-;13;-;2;-;-;-;-;2;-;1;-;-;1;1;1;-;-;-;1;22
"351640 Franco da Rocha";-;17;-;6;3;-;-;1;1;-;-;-;-;-;3;2;2;-;-;-;35
"351650 Gabriel Monteiro";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"351660 Gália";-;2;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"351670 Garça";-;10;-;2;6;-;-;2;2;-;1;-;-;-;1;-;-;-;-;-;24
"351680 Gastão Vidigal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351685 Gavião Peixoto";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"351690 General Salgado";-;1;-;2;4;-;-;-;1;-;-;2;-;-;1;1;-;-;-;-;12
"351700 Getulina";-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"351710 Glicério";-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"351720 Guaiçara";-;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"351730 Guaimbê";-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;3
"351740 Guaíra";-;5;-;3;8;-;-;-;1;-;-;1;-;-;3;2;-;-;-;-;23
"351750 Guapiaçu";-;3;-;4;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;9
"351760 Guapiara";-;6;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;9
"351770 Guará";-;5;-;2;7;-;-;-;1;-;-;1;-;-;2;-;-;-;-;-;18
"351780 Guaraçaí";-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"351790 Guaraci";-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"351800 Guarani d'Oeste";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351810 Guarantã";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"351820 Guararapes";-;4;-;-;4;-;-;-;1;-;-;-;-;-;3;1;-;-;-;-;13
"351830 Guararema";-;3;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;5
"351840 Guaratinguetá";-;10;-;5;39;-;-;-;3;1;7;2;-;-;7;3;-;-;-;-;77
"351850 Guareí";-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;6
"351860 Guariba";-;4;-;1;6;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;14
"351870 Guarujá";-;16;-;17;61;-;-;-;2;1;1;-;-;4;12;1;-;-;-;-;115
"351880 Guarulhos";-;64;1;87;98;-;-;3;8;1;15;1;-;5;45;1;-;2;-;2;333
"351885 Guatapará";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351890 Guzolândia";-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"351900 Herculândia";-;2;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;5
"351905 Holambra";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351907 Hortolândia";-;18;-;5;3;-;2;-;1;-;3;-;-;1;3;2;-;-;-;2;40
"351910 Iacanga";-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"351920 Iacri";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"351925 Iaras";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351930 Ibaté";-;7;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;10
"351940 Ibirá";-;3;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;6
"351950 Ibirarema";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351960 Ibitinga";-;8;-;-;58;-;-;-;2;-;-;-;-;1;6;1;-;-;-;-;76
"351970 Ibiúna";-;13;-;1;9;-;-;-;1;-;-;-;-;-;2;1;-;-;-;-;27
"351980 Icém";-;2;-;1;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;6
"351990 Iepê";-;3;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;7
"352000 Igaraçu do Tietê";-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"352010 Igarapava";-;4;-;-;19;-;-;-;1;-;1;-;-;-;4;-;-;-;-;-;29
"352020 Igaratá";-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;7
"352030 Iguape";-;5;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;8
"352042 Ilha Comprida";-;3;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;5
"352044 Ilha Solteira";-;4;-;4;19;-;-;-;1;-;2;3;-;-;7;1;-;-;-;-;41
"352040 Ilhabela";-;7;-;1;1;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;13
"352050 Indaiatuba";-;10;1;21;49;-;-;1;2;2;4;1;-;1;15;2;1;-;-;1;111
"352060 Indiana";-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352070 Indiaporã";-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;3
"352080 Inúbia Paulista";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352090 Ipaussu";-;2;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;6
"352100 Iperó";-;4;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;7
"352110 Ipeúna";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352115 Ipiguá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352120 Iporanga";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352130 Ipuã";-;5;-;-;12;-;-;-;1;-;-;-;-;1;2;2;-;-;-;-;23
"352140 Iracemápolis";-;3;-;2;2;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;9
